鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,
太平區,房地(土地+建物)+車位,臺中市太平區育賢路３２９號十四樓之１,14.71,商,,,1140430,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040901,153.69,3,2,2,有,有,16600000,108010,坡道平面,19.97,0,,RPQNMLTJOHKGFJB98DA,78.37,3.3,10.53,有,1916,
太平區,房地(土地+建物)+車位,臺中市太平區育賢路３２９號八樓之３,17,商,,,1140428,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040901,177.09,3,2,2,有,有,18560000,104805,坡道平面,23.17,0,,RPSRMLLJPHKGFJB88DA,91.05,3.18,11.86,有,,
太平區,房地(土地+建物)+車位,臺中市太平區育賢路３６６號四樓之１８,16.22,商,,,1140409,土地1建物1車位1,四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060520,187.93,3,2,2,有,有,10900000,58000,坡道平面,25.79,0,,RPTNMLSJPHKGFJB66DA,90.24,4.56,13.54,有,1995,
太平區,房地(土地+建物)+車位,臺中市太平區育賢路１３０號十一樓,18.42,住,,,1140304,土地3建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870626,139.39,4,2,2,有,有,12800000,91829,坡道機械,0,0,,RPXNMLSJMHKGFJB76DA,94.98,0,11.38,有,,
太平區,房地(土地+建物)+車位,臺中市太平區育賢路７０號四樓,13.25,住,,,1140227,土地2建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840728,104.12,3,2,2,有,有,7500000,72032,坡道機械,0,0,本案件依土地法第34條之1辦理。,RPPNMLLKPHKGFJB28DA,76.58,0,11.7,有,,
太平區,房地(土地+建物)+車位,臺中市太平區育賢路３９號十一樓之２,21.85,住,,,1130917,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140604,157.65,3,2,2,有,有,17390000,121228,坡道平面,27.4,1600000,預售屋、或土地及建物分件登記案件；,RPQQMLNJPHKGFJB78DA,76.55,0,9.74,有,,
太平區,房地(土地+建物)+車位,臺中市太平區育賢路３７號九樓之３,21.08,住,,,1130920,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140604,153.09,3,2,2,有,有,16560000,119023,坡道平面,27.4,1600000,預售屋、或土地及建物分件登記案件；,RPUOMLLKQHKGFJB98DA,74.49,0,8.77,有,,
太平區,房地(土地+建物)+車位,臺中市太平區育賢路３７號十一樓之３,21.08,住,,,1130914,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140604,153.09,3,2,2,有,有,17000000,121728,坡道平面,27.4,1700000,預售屋、或土地及建物分件登記案件；,RPQPMLLKQHKGFJB68DA,74.49,0,8.77,有,,
太平區,房地(土地+建物)+車位,臺中市太平區育賢路３７號十樓之２,21.85,住,,,1130817,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140604,157.65,3,2,2,有,有,17320000,119923,坡道平面,27.4,1700000,預售屋、或土地及建物分件登記案件；,RPTPMLNJPHKGFJB98DA,76.55,0,9.74,有,,
太平區,房地(土地+建物)+車位,臺中市太平區育賢路３９號九樓之１,24.88,住,,,1130826,土地1建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140604,201.59,4,2,2,有,有,21000000,119337,坡道平面,53.27,3300000,預售屋、或土地及建物分件登記案件；,RPVOMLLKQHKGFJB09DA,88.43,0,9.81,有,,
