鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
北區,房地(土地+建物),臺南市北區海安路三段９８５巷２７弄１５號,20.99,住,,,1140413,土地1建物1車位0,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),商辦用,鋼筋混凝土造,980109,93.39,0,2,1,有,有,12000000,128493,,0,0,夾層；,RPPNMLNKMHKGFAD47DA,76.35,0,0,有,1312
北區,房地(土地+建物)+車位,臺南市北區海安路三段８１０號八樓之２,11.15,住,,,1140422,土地1建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1090131,129.33,2,2,2,有,有,13680000,126941,坡道平面,33.38,1500000,,RPROMLMLMHKGFAD77DA,59.25,1.55,4.99,有,1333
北區,房地(土地+建物)+車位,臺南市北區海安路三段７９８號十三樓之１,25.08,住,,,1140410,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1060518,249.52,3,2,2,有,有,32380000,129769,坡道平面,38.74,0,,RPQNMLOJQHKGFAD97DA,138.83,0,12.37,有,1364
北區,房地(土地+建物)+車位,臺南市北區海安路三段８７６號,27.95,住,,,1130530,土地1建物1車位2,一層，二層,二十四層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土構造,1070409,270.44,0,2,2,有,有,35000000,129419,坡道平面,70.7,0,,RPOPMLKMPHKGFAD77DA,148.62,0,10.9,有,1524
北區,房地(土地+建物)+車位,臺南市北區海安路三段８６８號二十四樓之２,26.61,住,,,1130414,土地1建物1車位2,二十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1070409,291.66,4,2,2,有,有,35000000,120003,坡道平面,70.7,0,,RPQOMLRKOHKGFAD28DA,140.2,0,16.94,有,1525
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號十樓之２,14.86,住,,,1110411,土地1建物1車位1,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,180.17,3,2,2,有,有,18450000,110981,坡道平面,26.54,1400000,預售屋、或土地及建物分件登記案件；,RPQOMLMKOHKGFAD77DA,89.43,4.2,4.95,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號八樓之２,14.86,住,,,1110406,土地1建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,180.17,3,2,2,有,有,17470000,105904,坡道平面,26.54,1200000,預售屋、或土地及建物分件登記案件；,RPWNMLKLOHKGFAD18DA,89.43,4.2,4.95,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號十七樓之１,14.96,住,,,1110321,土地1建物1車位1,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,181.23,3,2,2,有,有,19800000,119271,坡道平面,26.54,1350000,預售屋、或土地及建物分件登記案件；,RPTOMLMKOHKGFAD08DA,87.78,4.28,7.25,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號十八樓之７,14.27,住,,,1110306,土地1建物1車位1,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,172.37,2,2,2,有,有,17370000,107608,坡道平面,24.89,1500000,預售屋、或土地及建物分件登記案件；,RPSPMLKLOHKGFAD97DA,85.29,5.53,3.8,有,
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號十七樓之２,14.8,住,,,1110321,土地1建物1車位1,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,179.58,3,2,2,有,有,18890000,112977,坡道平面,26.54,1600000,本案於113年8月23日讓渡，其權利契約買賣價格不變預售屋、或土地及建物分件登記案件；,RPPPMLKLOHKGFAD67DA,89.06,4.2,4.95,有,
