鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
三重區,房地(土地+建物),新北市三重區三和路二段１６８巷３３號四樓,26.59,住,,,1140815,土地2建物2車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670930,57,2,1,2,有,無,10500000,184211,,0,0,頂樓加蓋格局:2房1廳1衛頂樓加蓋；,RPXNMLPKQHKGFGF07DA,57,0,0,無,
三重區,房地(土地+建物),新北市三重區三和路二段１６４號,55.88,商,,,1140801,土地3建物2車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,700220,198,0,0,0,無,無,35000000,176768,,0,0,建物打通合併使用。親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPQNMLLMQHKGFGF78DA,198,0,0,無,
三重區,房地(土地+建物),新北市三重區三和路二段２１巷４１號,12.16,都市：其他:住宅區,,,1140601,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,721111,37.76,2,1,1,有,無,3900000,103284,,0,0,其他增建；,RPPNMLLJOHKGFGF18DA,34.21,3.55,0,無,
三重區,房地(土地+建物),新北市三重區三和路二段１６８巷４５號,15.78,住,,,1140504,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,660727,37,2,2,1,有,無,8000000,216216,,0,0,夾層；其他增建；,RPVOMLRLNHKGFGF96DA,37,0,0,無,1861
,,,,,,,,,,,,,,,,,,,,,14350000,170119.75,,,,,,,,,,
三重區,房地(土地+建物),新北市三重區三和路三段８３巷１５６號,26.41,住,,,1140603,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,540830,42.94,0,0,0,無,無,7500000,174662,,0,0,,RPTNMLTJPHKGFGF86DA,42.94,0,0,無,
三重區,房地(土地+建物),新北市三重區三和路三段１２５巷２７號二樓,20.25,住,,,1140522,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,661124,78,2,2,1,有,無,10580000,135641,,0,0,陽台外推；,RPQNMLQKOHKGFGF88DA,78,0,0,無,
三重區,房地(土地+建物),新北市三重區三和路三段１２５巷３０號,20,住,,,1140406,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,661124,78,3,2,1,有,無,8500000,108974,,0,0,,RPUNMLLKOHKGFGF78DA,78,0,0,無,2616
三重區,房地(土地+建物),新北市三重區三和路三段１５１巷２８號三樓,24.5,住,,,1140322,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,661202,75,3,2,1,有,無,10300000,137333,,0,0,,RPWNMLRKOHKGFGF96DA,75,0,0,無,3167
,,,,,,,,,,,,,,,,,,,,,9220000,139152.5,,,,,,,,,,
