鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路１０２號十三樓之１　　,14.86,住,,,1140806,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830709,151.85,3,2,2,有,有,10750000,70794,坡道平面,0,0,陽台加窗其他增建；,RPQPMLLLQHKGFAH48DA,94.54,1.61,10.27,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷５１弄３０號七樓,15.76,住,,,1140606,土地3建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100601,121.32,2,2,2,有,有,15300000,126113,坡道平面,0,0,,RPVUMLLJPHKGFAH56DA,59.34,0,4.43,有,943
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷５１弄２６號十三樓,15.92,住,,,1140619,土地3建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100601,122.52,3,2,2,有,有,14750000,120389,坡道平面,25.38,0,,RPPONLMJPHKGFAH18DA,59.96,0,4.55,有,1150
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路４６９巷６０號四樓,14.95,住,,,1140609,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070912,124.76,2,2,1,有,有,14000000,112215,坡道平面,39.91,0,,RPVNMLOLPHKGFAH98DA,51.03,0,6.83,有,1297
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路２８７號八樓,19.37,住,,,1140615,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061124,144.59,3,2,2,有,有,17850000,134951,坡道平面,27.14,2000000,其他增建；,RPWPMLOJQHKGFAH56DA,68.9,4.51,7.75,有,1406
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路７２５號十八樓,39.22,住,,,1140606,土地1建物1車位2,十八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110422,280.83,0,0,2,有,有,35580000,126696,坡道平面,0,0,,RPVOMLNLOHKGFAH88DA,127.48,3.63,6.59,有,1425
桃園區,房地(土地+建物),桃園市桃園區力行路６８之３號　　,24.5,住,,,1140526,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691118,78.3,5,0,5,有,無,6750000,86207,,0,0,頂樓其他增建；,RPPOMLPJOHKGFAH28DA,78.3,0,0,無,2024
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路７號七樓之２,12.61,商,,,1140529,土地1建物1車位1,七層,十六層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,800430,153.15,1,1,1,有,有,10700000,69866,坡道機械,0,0,,RPSPMLPKQHKGFAH98DA,114.99,0,18.21,有,2250
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷１７號三樓,16.94,住,,,1140301,土地4建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060821,121.73,2,2,1,有,有,15300000,125688,坡道平面,24.03,0,,RPPPMLOKMHKGFAH18DA,58.9,0,7.57,有,2970
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３０１號三樓,23.88,住,,,1140302,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061124,171.3,4,2,2,有,有,21380000,124810,坡道平面,0,0,,RPVNMLNLNHKGFAH68DA,83.89,3.74,11.41,有,3184
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６６２巷３０號二樓,35.17,住,,,1120808,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140612,219.56,3,2,2,有,有,23800000,121151,坡道平面,39.62,2000000,預售屋、或土地及建物分件登記案件；,RPWPMLKMPHKGFAH98DA,107.24,0,9.94,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６６２巷３８號五樓,29.3,住,,,1120707,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140612,186.37,3,2,2,有,有,22100000,133756,坡道平面,36.47,2050000,預售屋、或土地及建物分件登記案件；,RPXOMLTLPHKGFAH17DA,88.79,0,8.83,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６６２巷３６號二樓,29.3,住,,,1120716,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140612,189.53,3,2,2,有,有,22750000,137416,坡道平面,39.62,2150000,預售屋、或土地及建物分件登記案件；,RPSPMLTLPHKGFAH76DA,88.79,0,8.83,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６６２巷３６號十一樓,29.3,住,,,1120721,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140612,189.53,3,2,2,有,有,23300000,141085,坡道平面,39.62,2150000,預售屋、或土地及建物分件登記案件；,RPUNMLKMPHKGFAH58DA,88.79,0,8.83,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６６２巷３８號八樓,29.3,住,,,1120502,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140612,189.53,3,2,2,有,有,22500000,136415,坡道平面,39.62,2050000,預售屋、或土地及建物分件登記案件；,RPUPMLTLPHKGFAH96DA,88.79,0,8.83,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６６２巷３６號十二樓,29.3,住,,,1120503,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140612,189.53,3,2,2,有,有,23300000,141085,坡道平面,39.62,2150000,114年3月25日原價轉讓預售屋、或土地及建物分件登記案件；,RPWSMLLMPHKGFAH76DA,88.79,0,8.83,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６６２巷３８號十一樓,29.3,住,,,1120418,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140612,189.53,3,2,2,有,有,22940000,138683,坡道平面,39.62,2150000,預售屋、或土地及建物分件登記案件；,RPWPMLTLPHKGFAH17DA,88.79,0,8.83,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６６２巷３６號三樓,29.3,住,,,1120417,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140612,189.53,3,2,2,有,有,21900000,132413,坡道平面,39.62,2050000,預售屋、或土地及建物分件登記案件；,RPXPMLTLPHKGFAH27DA,88.79,0,8.83,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６６２巷３２號三樓,35.17,住,,,1120410,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140612,219.56,3,2,2,有,有,26220000,134323,坡道平面,39.62,2050000,114年4月25日原價轉讓.預售屋、或土地及建物分件登記案件；,RPXNMLKMPHKGFAH88DA,107.24,0,9.94,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６６２巷３８號十樓,29.3,住,,,1120418,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140612,189.53,3,2,2,有,有,22750000,138083,坡道平面,39.62,2050000,預售屋、或土地及建物分件登記案件；,RPRTMLLMPHKGFAH98DA,88.79,0,8.83,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６６２巷３０號八樓,35.17,住,,,1120313,土地1建物1車位2,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140612,259.18,3,2,2,有,有,27000000,131155,坡道平面,79.24,3400000,預售屋、或土地及建物分件登記案件；,RPOPMLKMPHKGFAH18DA,107.24,0,9.94,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６６２巷３２號八樓,35.17,住,,,1120221,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140612,219.56,3,2,2,有,有,27250000,140602,坡道平面,39.62,1950000,114年4月14日原價轉讓預售屋、或土地及建物分件登記案件；,RPPOMLKMPHKGFAH18DA,107.24,0,9.94,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６６２巷３２號四樓,35.17,住,,,1120110,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140612,219.56,3,2,2,有,有,26130000,134378,坡道平面,39.62,1950000,預售屋、或土地及建物分件登記案件；,RPOOMLKMPHKGFAH08DA,107.24,0,9.94,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６６２巷３２號十樓,35.17,住,,,1111201,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140612,219.56,3,2,2,有,有,26050000,133656,坡道平面,39.62,2000000,預售屋、或土地及建物分件登記案件；,RPSOMLKMPHKGFAH48DA,107.24,0,9.94,有,
