鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,格局-房,格局-廳,格局-衛,格局-隔間,管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
三民區,房地(土地+建物),高雄市三民區九如一路２３９之６號七樓,10.55,1140811,土地2建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050410,79.98,2,2,1,有,有,8000000,100025,,0,0,,RPTOMLTKQHKGFDE76DA,48.28,0,3.3,有
三民區,房地(土地+建物)+車位,高雄市三民區九如一路５７號七樓,19.4,1140530,土地2建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880513,169.14,5,2,2,有,有,11500000,67991,坡道平面,26.34,0,,RPPNMLKMNHKGFDE87DA,93.33,4.54,8.51,有
三民區,房地(土地+建物),高雄市三民區九如一路８９５號六樓之４,25.09,1140530,土地5建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,671216,68.85,3,1,1,有,有,3380000,49092,,0,0,,RPVNMLQKOHKGFDE98DA,68.85,0,0,有
三民區,房地(土地+建物),高雄市三民區九如一路８８１號七樓之３,25.09,1140526,土地5建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,671216,68.85,3,1,2,有,有,4100000,59550,,0,0,,RPWNMLTJPHKGFDE76DA,68.85,0,0,有
三民區,房地(土地+建物),高雄市三民區九如一路１０２０號六樓之４,6.44,1140424,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,701221,56,1,1,1,有,有,3150000,56250,,0,0,含傢俱設備費；,RPUNMLPLMHKGFDE68DA,35.08,0,13.17,有
三民區,房地(土地+建物)+車位,高雄市三民區九如一路７３號十四樓之２,13.52,1140422,土地2建物1車位1,十四層，電梯樓梯間,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840511,163.09,3,2,2,有,有,5000000,30658,坡道平面,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMLOHKGFDE08DA,101.72,4.37,13.08,有
三民區,房地(土地+建物)+車位,高雄市三民區九如一路A02棟F16樓,9.51,1140512,土地2建物1車位1,十六層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.15,3,2,2,有,無,18170000,145076,坡道平面,20.76,2010000,,RPQNMLQKNHKGFDE38CB,,,,
三民區,房地(土地+建物),高雄市三民區九如一路A11棟F12樓,6.92,1140525,土地2建物1車位0,十二層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.2,2,1,1,有,無,11400000,140394,,0,0,,RPQNMLSLNHKGFDE68CB,,,,
三民區,房地(土地+建物)+車位,高雄市三民區九如一路B03棟F19樓,9.51,1140603,土地2建物1車位1,十九層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.17,3,2,2,有,無,18410000,145499,坡道平面,20.76,2200000,,RPPNMLOJOHKGFDE08CB,,,,
三民區,房地(土地+建物),高雄市三民區九如一路A11棟F18樓,6.92,1140613,土地2建物1車位0,十八層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.2,2,1,1,有,無,11980000,147537,,0,0,,RPPNMLSKOHKGFDE58CB,,,,
