鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
北區,房地(土地+建物),臺南市北區海安路三段７８１巷２１６弄１６號,110.05,住,,,1140303,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,880531,234.79,4,2,6,有,無,13000000,55369,,0,0,,RPTNMLSLLHKGFAD38DA,217.39,0,17.4,無,525
北區,房地(土地+建物)+車位,臺南市北區海安路三段８７０號五樓之１,21.44,住,,,1140329,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1070409,227.9,3,2,2,有,有,25500000,111891,坡道平面,35.35,0,,RPVNMLSLMHKGFAD68DA,122.62,0,14.13,有,699
北區,房地(土地+建物)+車位,臺南市北區海安路三段８７６號十七樓之１,26.39,住,,,1140219,土地1建物1車位2,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1070409,286.8,3,2,2,有,有,36000000,125523,坡道平面,65.85,0,,RPSNMLRLKHKGFAD08DA,140.2,0,16.94,有,886
北區,房地(土地+建物)+車位,臺南市北區海安路三段８７０號十六樓之２,19.88,住,,,1140212,土地1建物1車位1,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1070409,209.8,3,2,2,有,有,27880000,132888,坡道平面,30.49,0,,RPSNMLNKLHKGFAD67DA,114.05,0,13.35,有,951
北區,房地(土地+建物)+車位,臺南市北區海安路三段８６８號十六樓之１,29.86,住,,,1140205,土地1建物1車位2,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1070409,323.34,4,2,3,有,有,37000000,114431,坡道平面,70.7,0,,RPXNMLRLLHKGFAD68DA,161.22,0,17.88,有,1165
北區,房地(土地+建物)+車位,臺南市北區海安路三段８１２號十三樓之７,15.18,住,,,1140205,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1090131,164.47,2,2,2,有,有,19000000,115523,坡道平面,33.38,0,,RPQNMLRKMHKGFAD97DA,80.64,2.55,7.14,有,1181
北區,房地(土地+建物)+車位,臺南市北區海安路三段８１０號十二樓之５,15.21,住,,,1140216,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1090131,164.85,2,2,2,有,有,21190000,128541,坡道平面,33.38,0,,RPRNMLNKNHKGFAD77DA,80.67,2.55,7.14,有,1243
北區,房地(土地+建物),臺南市北區海安路三段６號,92,商,,,1140110,土地3建物1車位0,全,二層,透天厝,住家用,磚造,540000,84.81,4,2,3,有,無,14800000,174508,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLPJLHKGFAD97DA,84.81,0,0,無,
北區,房地(土地+建物)+車位,臺南市北區海安路三段８１０號八樓之６,5.58,住,,,1140127,土地1建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1090131,64.67,2,2,2,有,有,5380000,83192,坡道平面,16.69,0,親友、員工、共有人或其他特殊關係間之交易；,RPTPMLOLLHKGFAD18DA,29.62,0.78,2.5,有,1324
北區,房地(土地+建物)+車位,臺南市北區海安路三段３０９號十六樓之２,14.8,住,,,1110326,土地1建物1車位1,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140313,179.58,3,2,2,有,有,18600000,112389,坡道平面,26.54,1400000,預售屋、或土地及建物分件登記案件；,RPUOMLSLLHKGFAD58DA,89.06,4.2,4.95,有,
