抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,額外資訊2,原始價格,目前價格,是否含車位價格,
2025_10_15 23_12_31,1,https://www.sinyi.com.tw//buy/house/3467QV?breadcrumb=list,高檔裝潢公園首排三房平車樹禾苑,高雄市三民區美都路,大樓,2.2年,建坪 39.74,主 + 陽19.89,7樓/24樓,3房1廳1衛,https://www.sinyi.com.tw/buy/house/3467QV?breadcrumb=list,有裝潢前後陽台有陽台有 2802 人也在關注這間👀,有 2802 人也在關注這間👀,"2,188萬","1,588",坡道平面車位
2025_10_15 23_12_31,1,https://www.sinyi.com.tw//buy/house/5117NT?breadcrumb=list,新市鎮公園景觀亮三房平車水岸花園,高雄市橋頭區新東一街,大樓,5.6年,建坪 50.96,主 + 陽28.5,19樓/22樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/5117NT?breadcrumb=list,有裝潢有景觀前後陽台有 121 人也在關注這間👀,有 121 人也在關注這間👀,"1,788萬","1,468",坡道平面車位
2025_10_15 23_12_31,1,https://www.sinyi.com.tw//buy/house/9235ZK?breadcrumb=list,仁武必看得邑二房平車知一二,高雄市仁武區大正路,大樓,3.3年,建坪 32.39,主 + 陽16.19,13樓/15樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/9235ZK?breadcrumb=list,有裝潢有景觀有陽台有 384 人也在關注這間👀,有 384 人也在關注這間👀,"1,260萬","1,098",坡道平面車位
2025_10_15 23_12_31,1,https://www.sinyi.com.tw//buy/house/7623BT?breadcrumb=list,文山寬敞美大三房附車位,高雄市鳳山區文勇街,華廈,29.8年,建坪 41.5,主 + 陽30.63,8樓/8樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/7623BT?breadcrumb=list,警衛管理具垃圾處理近公園有 18 人也在關注這間👀,有 18 人也在關注這間👀,"1,038萬",888,坡道機械車位
2025_10_15 23_12_31,1,https://www.sinyi.com.tw//buy/house/1169XG?breadcrumb=list,福山學區邊間採光四房平車康庭新世紀,高雄市左營區文自路,大樓,25.3年,建坪 52.31,主 + 陽33.61,4樓/14樓,4房2廳2衛,https://www.sinyi.com.tw/buy/house/1169XG?breadcrumb=list,有裝潢前後陽台有陽台有 314 人也在關注這間👀,有 314 人也在關注這間👀,"1,928萬","1,588",坡道平面車位
2025_10_15 23_12_31,1,https://www.sinyi.com.tw//buy/house/9527VU?breadcrumb=list,專亞灣捷運３房,高雄市前鎮區復興新巷,公寓,43.0年,建坪 23.56,主建物19.82,5樓/5樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/9527VU?breadcrumb=list,前後陽台有陽台廁所開窗有 436 人也在關注這間👀,有 436 人也在關注這間👀,568萬,398,
2025_10_15 23_12_31,1,https://www.sinyi.com.tw//buy/house/1023MP?breadcrumb=list,店長推薦左營四房平車傑座,高雄市左營區新莊一路,大樓,25.9年,建坪 54.53,主 + 陽32.94,19樓/23樓,4房2廳2衛,https://www.sinyi.com.tw/buy/house/1023MP?breadcrumb=list,有裝潢有景觀前後陽台有 1016 人也在關注這間👀,有 1016 人也在關注這間👀,"1,798萬","1,588",坡道平面車位
2025_10_15 23_12_31,1,https://www.sinyi.com.tw//buy/house/1189VN?breadcrumb=list,五甲瑞隆優質景觀三房瑞祥龍邸,高雄市前鎮區福祥街,大樓,32.2年,建坪 36.12,主 + 陽30,13樓/15樓,3房1廳2衛,https://www.sinyi.com.tw/buy/house/1189VN?breadcrumb=list,有裝潢有陽台廁所開窗有 676 人也在關注這間👀,有 676 人也在關注這間👀,"1,068萬",830,
2025_10_15 23_12_31,1,https://www.sinyi.com.tw//buy/house/9379XJ?breadcrumb=list,楠梓世運明亮三房平車,高雄市楠梓區軍校路,大樓,35.1年,建坪 41.14,主 + 陽32.93,8樓/16樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/9379XJ?breadcrumb=list,有裝潢有景觀前後陽台有 625 人也在關注這間👀,有 625 人也在關注這間👀,"1,080萬",980,坡道平面車位
2025_10_15 23_12_31,1,https://www.sinyi.com.tw//buy/house/7374AL?breadcrumb=list,益群橋旁堅山三川兩房平車堅山三川,高雄市楠梓區德豐街,大樓,9.4年,建坪 33.36,主 + 陽16.01,2樓/17樓,2房1廳1衛1室,https://www.sinyi.com.tw/buy/house/7374AL?breadcrumb=list,有裝潢有景觀有陽台有 223 人也在關注這間👀,有 223 人也在關注這間👀,"1,268萬","1,098",坡道平面車位
