抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,原始價格,目前價格,原始及目前價格,是否含車位價格
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/0961SM?breadcrumb=list,⭐保時捷⭐三房平車保時捷,高雄市左營區華夏路,大樓,19.4年,建坪 45.05,主 + 陽24.71,6樓/15樓,3房2廳2衛,有裝潢前後陽台有陽台有 69 人也在關注這間👀,1588萬,"1,588",1588萬,坡道平面車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/0712FF?breadcrumb=list,【王牌大樓】大四房車位王牌大樓,高雄市楠梓區樂群路,大樓,30.4年,建坪 51.38,主 + 陽34.37,3樓/17樓,4房2廳2衛,有景觀前後陽台有陽台有 773 人也在關注這間👀,998萬,998,998萬,坡道機械車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/2648PX?breadcrumb=list,美術正景・首席４房３車位觀美術,高雄市鼓山區明誠四路,大樓,20.0年,建坪 90.8,主 + 陽45.89,6樓/20樓,4房2廳2衛,有裝潢有景觀前後陽台有 1855 人也在關注這間👀,2999萬,"2,999",2999萬,兩個以上車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/6311TY?breadcrumb=list,Ｒ１５甜蜜家庭美宅平車甜蜜家庭,高雄市左營區孟子路,大樓,21.5年,建坪 32.39,主 + 陽17.32,11樓/13樓,1房2廳1衛,有裝潢有景觀有陽台有 134 人也在關注這間👀,1280萬,"1,280",1280萬,坡道平面車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/2859CJ?breadcrumb=list,太普公園景觀三房平車太普自由自在,高雄市左營區孟子路,大樓,22.4年,建坪 51.4,主 + 陽31.51,7樓/14樓,3房2廳2衛,有裝潢有景觀有陽台有 71 人也在關注這間👀,1980萬,"1,980",1980萬,坡道平面車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/7119TF?breadcrumb=list,高大河景首排精裝豪邸平車真愛城堡,高雄市楠梓區援中路,大樓,8.3年,建坪 60.13,主 + 陽31.64,8樓/14樓,2房2廳2衛1室,有裝潢有景觀前後陽台有 83 人也在關注這間👀,1780萬,"1,780",1780萬,坡道平面車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/77782R?breadcrumb=list,銳揚新世代採光２房平車鋭揚新世代,高雄市鳳山區海涵路,大樓,3.9年,建坪 30.18,主 + 陽15,2樓/14樓,2房2廳2衛,有裝潢有陽台房間皆有窗有 302 人也在關注這間👀,980萬,980,980萬,坡道平面車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/1361VJ?breadcrumb=list,太子雲高樓裝潢二房平車太子雲C區-大樓...,高雄市仁武區霞海中街,大樓,7.0年,建坪 41.01,主 + 陽20.72,12樓/13樓,2房2廳1衛,有裝潢有景觀前後陽台有 512 人也在關注這間👀,1398萬,"1,398",1398萬,坡道平面車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/31827Q?breadcrumb=list,正義車站旁三房車位龍藤大亨,高雄市三民區水源路,大樓,26.6年,建坪 37.69,主 + 陽23.6,11樓/13樓,3房2廳2衛,有景觀房間皆有窗警衛管理有 464 人也在關注這間👀,1036萬,"1,036",1036萬,坡道機械車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/3435CP?breadcrumb=list,瑞隆五甲高樓兩房,高雄市前鎮區保泰路,大樓,35.5年,建坪 29.84,主 + 陽20.24,11樓/15樓,2房2廳1衛,有景觀有陽台房間皆有窗有 122 人也在關注這間👀,620萬,620,620萬,
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/0468CG?breadcrumb=list,亞灣輕軌站旁首購成家三房,高雄市苓雅區苓南路,公寓,40.2年,建坪 27.94,主 + 陽23.67,4樓/5樓,3房2廳2衛,有裝潢前後陽台有陽台有 548 人也在關注這間👀,549萬,549,549萬,
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/0813BP?breadcrumb=list,高雄車站溫馨美兩房凱旋門大廈,高雄市三民區復興一路,大樓,43.0年,建坪 20.04,主建物16.2,9樓/12樓,2房2廳1衛,有裝潢房間皆有窗警衛管理有 1407 人也在關注這間👀,556萬,556,556萬,
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/8023VZ?breadcrumb=list,小資成家｜五甲１Ｆ美寓,高雄市鳳山區自強二路,公寓/店面,42.7年,建坪 13.66,主建物13.66,1樓/5樓,3房1廳1衛(含加蓋1房1衛),有裝潢廁所開窗近公園有 1059 人也在關注這間👀,588萬,588,588萬,
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/3467QV?breadcrumb=list,高檔裝潢公園首排三房平車樹禾苑,高雄市三民區美都路,大樓,2.4年,建坪 39.74,主 + 陽19.89,7樓/24樓,3房1廳1衛,有裝潢前後陽台有陽台有 3769 人也在關注這間👀,1588萬,"1,588",1588萬,坡道平面車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/1503HU?breadcrumb=list,公園首排．四房車位美的皇家,高雄市前鎮區林森三路,大樓,35.7年,建坪 57.57,主 + 陽40.97,19樓/22樓,4房2廳2衛,有裝潢有景觀前後陽台有 277 人也在關注這間👀,1168萬,"1,168",1168萬,坡道機械車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/9728JG?breadcrumb=list,新世紀Ａ棟高樓層三房平車R5新世紀,高雄市鳳山區福誠五街,大樓,5.1年,建坪 48.09,主 + 陽24.72,9樓/15樓,3房2廳2衛,有裝潢有景觀前後陽台有 1327 人也在關注這間👀,1088萬,"1,088",1088萬,坡道平面車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/0488AL?breadcrumb=list,美樹大悅３房平車美樹大悅(大樓),高雄市三民區十全三路,大樓,4.3年,建坪 43.5,主 + 陽23.02,2樓/22樓,3房2廳2衛,有裝潢有景觀前後陽台有 596 人也在關注這間👀,1566萬,"1,566",1566萬,坡道平面車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/3331SP?breadcrumb=list,近楊寶寶高樓美三房平車吉祥如逸,高雄市楠梓區朝明路,大樓,13.4年,建坪 46.31,主 + 陽24.61,10樓/12樓,3房2廳2衛,有景觀前後陽台有陽台有 856 人也在關注這間👀,1188萬,"1,188",1188萬,坡道平面車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/4482QJ?breadcrumb=list,協勝發面公園景觀裝潢美邸協勝發TOP,高雄市左營區重愛路,大樓,12.0年,建坪 74.94,主 + 陽43.84,18樓/25樓,3房2廳2衛2室,有裝潢有景觀前後陽台有 60 人也在關注這間👀,3280萬,"3,280",3280萬,坡道平面車位
2025_11_24 17_31_40,1,https://www.sinyi.com.tw//buy/house/2057MN?breadcrumb=list,⭐多城全新美裝潢三房平車,高雄市仁武區北屋北街,大樓,2.8年,建坪 50.61,主 + 陽27.49,2樓/15樓,3房2廳2衛,有裝潢前後陽台有陽台有 181 人也在關注這間👀,1580萬,"1,580",1580萬,坡道平面車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/4894XS?breadcrumb=list,國泰三多商圈溫馨３房,高雄市前鎮區三多三路,華廈,48.0年,建坪 29.89,主建物29.89,5樓/7樓,3房2廳2衛1室,有景觀廁所開窗房間皆有窗有 412 人也在關注這間👀,798萬,798,798萬,
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/4359CG?breadcrumb=list,永信衛武營高樓雙車豪邸永信麗園,高雄市鳳山區新甲路,大樓,31.3年,建坪 70.86,主 + 陽43.52,11樓/12樓,3房2廳2衛1室,有裝潢有景觀前後陽台有 401 人也在關注這間👀,1480萬,"1,480",1480萬,兩個以上車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/5537DM?breadcrumb=list,時代爵邸景觀邊間三房平車時代爵邸公爵區,高雄市左營區榮總路,大樓,27.4年,建坪 39.58,主 + 陽25.38,10樓/14樓,3房2廳2衛,有裝潢有景觀前後陽台有 1138 人也在關注這間👀,1088萬,"1,088",1088萬,坡道平面車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/2141MQ?breadcrumb=list,生態園區．兩房平車甜蜜家庭,高雄市左營區孟子路,大樓,21.5年,建坪 32.01,主 + 陽16.82,7樓/13樓,2房2廳1衛,有裝潢有景觀前後陽台有 610 人也在關注這間👀,1388萬,"1,388",1388萬,坡道平面車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/7696CB?breadcrumb=list,近輕軌站太普亮美兩房車位太普ONLINE,高雄市三民區覺民路,大樓,9.4年,建坪 38.84,主 + 陽19,6樓/15樓,2房2廳1衛,有裝潢有景觀有陽台有 264 人也在關注這間👀,1438萬,"1,438",1438萬,坡道機械車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/6274BY?breadcrumb=list,楠梓車站八年屋三房平車天天微笑,高雄市楠梓區朝明路,大樓,8.8年,建坪 40.57,主 + 陽18.75,15樓/15樓,3房2廳2衛,有裝潢有陽台廁所開窗有 651 人也在關注這間👀,1088萬,"1,088",1088萬,坡道平面車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/5257LG?breadcrumb=list,青耘｜市府旁高樓兩房車位青耘,高雄市苓雅區復興二路,大樓,4.9年,建坪 38.1,主 + 陽20.53,15樓/15樓,2房2廳1衛,有裝潢有景觀前後陽台有 2094 人也在關注這間👀,1398萬,"1,398",1398萬,其他
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/8665PZ?breadcrumb=list,御水藍灣景觀豪邸平車,高雄市鳳山區五甲三路,大樓,8.7年,建坪 92.66,主 + 陽44.63,7樓/12樓,4房2廳2衛,有裝潢有景觀前後陽台有 292 人也在關注這間👀,2498萬,"2,498",2498萬,坡道平面車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/8063RZ?breadcrumb=list,民生香榭瞰市景精裝附平車民生香榭,高雄市前金區大同一路,大樓,7.2年,建坪 41.22,主 + 陽15.96,26樓/28樓,2房2廳1衛,有裝潢有景觀有陽台有 131 人也在關注這間👀,1958萬,"1,958",1958萬,坡道平面車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/5879BV?breadcrumb=list,左營高鐵台積電兩房科技宅Taku宅,高雄市左營區重忠路,大樓,7.6年,建坪 37.19,主 + 陽16.35,8樓/15樓,2房1廳1衛,有裝潢有景觀前後陽台有 348 人也在關注這間👀,1450萬,"1,450",1450萬,坡道平面車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/81526V?breadcrumb=list,［首購］文山舒適三房優森學,高雄市鳳山區文中街,大樓,24.8年,建坪 29.51,主 + 陽22.09,2樓/14樓,3房2廳2衛,有裝潢有陽台房間皆有窗有 869 人也在關注這間👀,798萬,798,798萬,
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/7466HN?breadcrumb=list,雲品苑景觀高質感３房平車雲品苑,高雄市左營區崇德路,大樓/辦公,12.2年,建坪 66.25,主 + 陽37.56,23樓/27樓,3房2廳3衛,有裝潢有景觀前後陽台有 811 人也在關注這間👀,2988萬,"2,988",2988萬,坡道平面車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/5117NT?breadcrumb=list,橋頭新市鎮景觀亮三房平車水岸花園,高雄市橋頭區新東一街,大樓,5.7年,建坪 50.96,主 + 陽28.5,19樓/22樓,3房2廳2衛,有裝潢有景觀前後陽台有 309 人也在關注這間👀,1468萬,"1,468",1468萬,坡道平面車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/9639HU?breadcrumb=list,【水依林】漂亮２房車位宅水依林,高雄市楠梓區大學西路,大樓,6.5年,建坪 35.07,主 + 陽19.64,9樓/15樓,2房2廳2衛1室,有裝潢有景觀前後陽台有 642 人也在關注這間👀,1098萬,"1,098",1098萬,坡道機械車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/5029AV?breadcrumb=list,低總價成家希望美三房車位,高雄市楠梓區旗楠路,華廈,32.6年,建坪 37.1,主 + 陽25.92,3樓/7樓,3房2廳2衛,有裝潢前後陽台有陽台有 675 人也在關注這間👀,688萬,688,688萬,坡道機械車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/0058XF?breadcrumb=list,美術館高樓景觀三房雙平車興富發-國王傳奇...,高雄市鼓山區美術北五街,大樓,11.6年,建坪 112.37,主 + 陽60.44,14樓/21樓,3房2廳3衛,有裝潢有景觀前後陽台有 315 人也在關注這間👀,4298萬,"4,298",4298萬,兩個以上車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/4783JT?breadcrumb=list,樂群商圈稀有正路美宅,高雄市楠梓區樂群路,公寓,46.0年,建坪 24.02,主建物24.02,4樓/4樓,3房1廳1衛,有裝潢近公園近學校有 429 人也在關注這間👀,458萬,458,458萬,
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/0954SD?breadcrumb=list,巨蛋精選✮步行捷運大四房天廈第一,高雄市左營區正心街,大樓/辦公,36.5年,建坪 48.18,主 + 陽39.27,7樓/17樓,4房2廳2衛,有裝潢有陽台警衛管理有 925 人也在關注這間👀,1098萬,"1,098",1098萬,
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/2677ZP?breadcrumb=list,稀有釋出超讚大三房大平車,高雄市三民區大裕路,華廈,34.6年,建坪 47.24,主 + 陽33.87,2樓/7樓,3房2廳2衛,有裝潢前後陽台有陽台有 605 人也在關注這間👀,1098萬,"1,098",1098萬,坡道平面車位
2025_11_24 17_31_50,2,https://www.sinyi.com.tw//buy/house/8939YH?breadcrumb=list,永信登峰五福四維３房平車,高雄市新興區五福一路,大樓,23.8年,建坪 68.91,主 + 陽51.38,9樓/26樓,3房2廳2衛,前後陽台有陽台房間皆有窗有 633 人也在關注這間👀,2480萬,"2,480",2480萬,坡道平面車位
2025_11_24 17_32_01,3,https://www.sinyi.com.tw//buy/house/4608LV?breadcrumb=list,親愛京城大４房平車,高雄市左營區文川路,華廈,26.7年,建坪 63.88,主 + 陽44.14,3樓/10樓,4房2廳3衛,有裝潢前後陽台有陽台有 45 人也在關注這間👀,1498萬,"1,498",1498萬,坡道平面車位
2025_11_24 17_32_01,3,https://www.sinyi.com.tw//buy/house/5493VS?breadcrumb=list,近衛武營三房⭐附雙車位南京新都-一期,高雄市鳳山區南福街,華廈,33.4年,建坪 40.6,主 + 陽34.41,5樓/7樓,3房2廳2衛,有裝潢前後陽台有陽台有 19 人也在關注這間👀,1180萬,"1,180",1180萬,兩個以上車位
2025_11_24 17_32_01,3,https://www.sinyi.com.tw//buy/house/9394ZL?breadcrumb=list,新案首選巨蛋裝潢三房平車棋琴十五重奏,高雄市左營區南屏路,大樓,11.9年,建坪 42.98,主 + 陽20.71,14樓/14樓,3房2廳1衛,有裝潢有景觀廁所開窗有 277 人也在關注這間👀,1668萬,"1,668",1668萬,坡道平面車位
2025_11_24 17_32_01,3,https://www.sinyi.com.tw//buy/house/2283XW?breadcrumb=list,橋頭新市鎮三房平車渡假宅水岸花園,高雄市橋頭區新東一街,大樓,5.7年,建坪 50.44,主 + 陽29.17,6樓/22樓,3房2廳2衛,前後陽台有陽台廁所開窗有 25 人也在關注這間👀,1288萬,"1,288",1288萬,坡道平面車位
2025_11_24 17_32_01,3,https://www.sinyi.com.tw//buy/house/1244QR?breadcrumb=list,店長推薦★高鐵四房雙車位快樂弘揚,高雄市左營區文府路,大樓,28.0年,建坪 48.02,主 + 陽32.26,14樓/14樓,4房2廳2衛,有裝潢有景觀前後陽台有 965 人也在關注這間👀,1258萬,"1,258",1258萬,兩個以上車位
2025_11_24 17_32_01,3,https://www.sinyi.com.tw//buy/house/4644ZS?breadcrumb=list,龍騰精選高樓三房平移車位龍騰首席,高雄市前鎮區光華三路,大樓,19.5年,建坪 40.99,主 + 陽24.55,14樓/15樓,3房2廳2衛,有裝潢前後陽台有陽台有 485 人也在關注這間👀,1428萬,"1,428",1428萬,坡道機械車位
2025_11_24 17_32_01,3,https://www.sinyi.com.tw//buy/house/7149NY?breadcrumb=list,專．公教大樓．大四房,高雄市楠梓區楠梓路,華廈,31.0年,建坪 51.71,主 + 陽37.32,7樓/7樓,4房2廳2衛,警衛管理具垃圾處理花園有 1282 人也在關注這間👀,818萬,818,818萬,
2025_11_24 17_32_01,3,https://www.sinyi.com.tw//buy/house/6300QM?breadcrumb=list,文山潛力公寓一樓,高雄市鳳山區文龍東路,公寓,44.5年,建坪 21.23,主建物21.23,1樓/5樓,3房2廳1衛,有裝潢有陽台廁所開窗有 447 人也在關注這間👀,898萬,898,898萬,
2025_11_24 17_32_01,3,https://www.sinyi.com.tw//buy/house/1013BX?breadcrumb=list,頂誠御丰景朝南溫馨房平車御丰景,高雄市鳳山區武營路,大樓,4.7年,建坪 36.01,主 + 陽19.56,5樓/20樓,1房2廳1衛,有裝潢有陽台廁所開窗有 30 人也在關注這間👀,1288萬,"1,288",1288萬,坡道平面車位
2025_11_24 17_32_01,3,https://www.sinyi.com.tw//buy/house/9543UF?breadcrumb=list,【森遠】高樓層兩房平車京城森遠,高雄市橋頭區橋新七路,大樓,2.6年,建坪 33.92,主 + 陽16.91,14樓/15樓,2房2廳1衛,有景觀前後陽台有陽台有 26 人也在關注這間👀,1198萬,"1,198",1198萬,坡道平面車位
2025_11_24 17_32_01,3,https://www.sinyi.com.tw//buy/house/0024AV?breadcrumb=list,棋琴１９重奏成家兩房車位棋琴十九重奏,高雄市鳳山區北仁街,大樓,7.2年,建坪 29.93,主 + 陽16.23,8樓/15樓,2房2廳1衛,有裝潢前後陽台有陽台有 101 人也在關注這間👀,998萬,998,998萬,坡道機械車位
2025_11_24 17_32_01,3,https://www.sinyi.com.tw//buy/house/4993WC?breadcrumb=list,繽海高樓邊間三房平車繽海,高雄市苓雅區三多四路,大樓,2.0年,建坪 43.95,主 + 陽25.32,13樓/15樓,3房2廳2衛,有裝潢有景觀前後陽台有 27 人也在關注這間👀,2150萬,"2,150",2150萬,坡道平面車位
2025_11_24 17_32_01,3,https://www.sinyi.com.tw//buy/house/8121VR?breadcrumb=list,【等你來看】一樓車庫美寓,高雄市三民區昌裕街,公寓,36.7年,建坪 36.22,主建物31.45,1樓/5樓,4房2廳2衛(含加蓋1衛),有裝潢有景觀有陽台有 2004 人也在關注這間👀,988萬,988,988萬,
