抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,額外資訊2,原始價格,目前價格,是否含車位價格,
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/4992VB?breadcrumb=list,基隆稀有大坪數一樓住家,基隆市信義區東信路,公寓,34.6年,建坪 67.46,主 + 陽54.92,1樓/5樓,4房2廳2衛1室,https://www.sinyi.com.tw/buy/house/4992VB?breadcrumb=list,有裝潢有景觀前後陽台有 370 人也在關注這間👀,有 370 人也在關注這間👀,"1,780萬","1,580",坡道平面車位
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/65937A?breadcrumb=list,里山韻大邊間三房,基隆市七堵區長安街,華廈,預售,建坪 32.18,主+附 19.82,4樓/5樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/65937A?breadcrumb=list,前後陽台有陽台廁所開窗有 26 人也在關注這間👀,有 26 人也在關注這間👀,加入最愛,"1,358",
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/11652N?breadcrumb=list,里山韻邊間正兩房,基隆市七堵區長安街,華廈,預售,建坪 22.6,主+附 14.03,3樓/9樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/11652N?breadcrumb=list,房間皆有窗警衛管理具垃圾處理有 12 人也在關注這間👀,有 12 人也在關注這間👀,加入最愛,990,
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/1540JN?breadcrumb=list,新橫濱兩房車位,基隆市中山區復興路,大樓,2.9年,建坪 33.19,主 + 陽15.54,6樓/15樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/1540JN?breadcrumb=list,有裝潢有陽台房間皆有窗有 382 人也在關注這間👀,有 382 人也在關注這間👀,"1,230萬","1,148",坡道平面車位
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/0790TM?breadcrumb=list,邊間採光方正公寓５＋６,基隆市七堵區崇禮街,公寓,42.3年,建坪 31.08,主建物31.08,5樓/5樓,3房3廳3衛1室(含加蓋3房2廳1衛1室),https://www.sinyi.com.tw/buy/house/0790TM?breadcrumb=list,毛胚屋前後陽台有陽台有 25 人也在關注這間👀,有 25 人也在關注這間👀,加入最愛,850,
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/0092QL?breadcrumb=list,夢幻山海景觀~三房＋車位,基隆市中正區觀海街,大樓,26.8年,建坪 49.82,主 + 陽30.86,14樓/16樓,3房2廳2衛1室,https://www.sinyi.com.tw/buy/house/0092QL?breadcrumb=list,有裝潢有景觀前後陽台有 770 人也在關注這間👀,有 770 人也在關注這間👀,"1,098萬",898,坡道平面車位
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/1734SH?breadcrumb=list,光華國宅低總價大三房,基隆市仁愛區成功一路,大樓,28.3年,建坪 50.99,主 + 陽33.18,7樓/14樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/1734SH?breadcrumb=list,有裝潢有景觀有陽台有 1091 人也在關注這間👀,有 1091 人也在關注這間👀,"1,458萬","1,298",
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/9613VM?breadcrumb=list,幸福華城●一樓三房,基隆市暖暖區碇內街,華廈,30.2年,建坪 33.04,主建物21.19,1樓/6樓,3房2廳1.5衛,https://www.sinyi.com.tw/buy/house/9613VM?breadcrumb=list,有裝潢前後陽台有陽台有 154 人也在關注這間👀,有 154 人也在關注這間👀,加入最愛,528,
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/1382HZ?breadcrumb=list,優美碇內好吉市,基隆市暖暖區碇內街,大樓,12.1年,建坪 53.75,主 + 陽33.26,6樓/14樓,3房2廳2衛1室,https://www.sinyi.com.tw/buy/house/1382HZ?breadcrumb=list,有裝潢有景觀前後陽台有 107 人也在關注這間👀,有 107 人也在關注這間👀,(含車位價),加入最愛,坡道平面車位
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/5742KC?breadcrumb=list,一層一戶低總價公寓,基隆市七堵區福一街,公寓,44.7年,建坪 29.13,主 + 陽29.13,4樓/4樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/5742KC?breadcrumb=list,有裝潢有陽台廁所開窗有 1121 人也在關注這間👀,有 1121 人也在關注這間👀,加入最愛,620,
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/6880SR?breadcrumb=list,原美優質電梯四房雙車位,基隆市七堵區綠葉街,華廈,13.7年,建坪 76.83,主 + 陽33.55,2樓/6樓,4房2廳2衛,https://www.sinyi.com.tw/buy/house/6880SR?breadcrumb=list,有裝潢有景觀有陽台有 349 人也在關注這間👀,有 349 人也在關注這間👀,"1,770萬","1,738",兩個以上車位
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/4718FF?breadcrumb=list,稀有河景黃金三樓,基隆市七堵區福五街,公寓,32.3年,建坪 24.4,主 + 陽22.97,3樓/4樓,2房2廳2衛,https://www.sinyi.com.tw/buy/house/4718FF?breadcrumb=list,有景觀前後陽台有陽台有 232 人也在關注這間👀,有 232 人也在關注這間👀,加入最愛,698,
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/5635XC?breadcrumb=list,東信路邊間雅寓大空間,基隆市信義區東信路,公寓,46.3年,建坪 26.73,主建物26.73,2樓/4樓,4房3廳2衛(含加蓋1房1廳1衛),https://www.sinyi.com.tw/buy/house/5635XC?breadcrumb=list,廁所開窗近公園近市場有 3321 人也在關注這間👀,有 3321 人也在關注這間👀,加入最愛,498,
