抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,額外資訊2,原始價格,目前價格,是否含車位價格,
2025_10_16 01_08_32,1,https://www.sinyi.com.tw//buy/house/9292MX?breadcrumb=list,豐隆頂樓三房裝潢,新北市新莊區中誠街,大樓,--,建坪 32.12,主 + 陽22.1,11樓/11樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/9292MX?breadcrumb=list,前後陽台有陽台廁所開窗有 539 人也在關注這間👀,有 539 人也在關注這間👀,加入最愛,"2,980",
2025_10_16 01_08_32,1,https://www.sinyi.com.tw//buy/house/87478K?breadcrumb=list,豐隆昕誠Ａ２貳樓,新北市新莊區中誠街,大樓,--,建坪 32.03,主 + 陽22.05,2樓/11樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/87478K?breadcrumb=list,前後陽台有陽台廁所開窗有 853 人也在關注這間👀,有 853 人也在關注這間👀,(含車位價),加入最愛,升降平面車位
2025_10_16 01_08_32,1,https://www.sinyi.com.tw//buy/house/02542R?breadcrumb=list,豐隆昕誠Ａ３肆樓,新北市新莊區中誠街,大樓,--,建坪 32,主 + 陽22.02,4樓/11樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/02542R?breadcrumb=list,前後陽台有陽台廁所開窗有 577 人也在關注這間👀,有 577 人也在關注這間👀,(含車位價),加入最愛,升降平面車位
2025_10_16 01_08_32,1,https://www.sinyi.com.tw//buy/house/19238W?breadcrumb=list,豐隆昕誠Ａ４拾壹,新北市新莊區中誠街,大樓,--,建坪 23.23,主 + 陽15.98,11樓/11樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/19238W?breadcrumb=list,有景觀有陽台廁所開窗有 1139 人也在關注這間👀,有 1139 人也在關注這間👀,加入最愛,"1,856",
2025_10_16 01_08_32,1,https://www.sinyi.com.tw//buy/house/80353B?breadcrumb=list,豐隆頂樓兩房裝潢,新北市新莊區中誠街,大樓,--,建坪 23.72,主 + 陽16.32,11樓/11樓,2房1廳1衛,https://www.sinyi.com.tw/buy/house/80353B?breadcrumb=list,有景觀有陽台廁所開窗有 357 人也在關注這間👀,有 357 人也在關注這間👀,加入最愛,"2,219",
2025_10_16 01_08_32,1,https://www.sinyi.com.tw//buy/house/88342M?breadcrumb=list,專任。舒適美宅法鬥之家河家歡,新北市三重區成功路,大樓,1.8年,建坪 29.89,主 + 陽14.07,4樓/15樓,1房2廳1衛,https://www.sinyi.com.tw/buy/house/88342M?breadcrumb=list,有裝潢有陽台房間皆有窗有 214 人也在關注這間👀,有 214 人也在關注這間👀,"2,100萬","1,998",坡道平面車位
2025_10_16 01_08_32,1,https://www.sinyi.com.tw//buy/house/7520MP?breadcrumb=list,麗陽花園高樓壯麗山景麗陽花園,新北市淡水區鄧公路,大樓,25.2年,建坪 59.02,主 + 陽36.03,14樓/14樓,4房2廳2衛,https://www.sinyi.com.tw/buy/house/7520MP?breadcrumb=list,有裝潢有景觀前後陽台有 502 人也在關注這間👀,有 502 人也在關注這間👀,"2,098萬","1,880",坡道平面車位
2025_10_16 01_08_32,1,https://www.sinyi.com.tw//buy/house/3711RV?breadcrumb=list,中華路商圈公寓二樓,新北市樹林區名園街,公寓,44.4年,建坪 23.33,主 + 陽23.33,2樓/5樓,3房2廳1衛,https://www.sinyi.com.tw/buy/house/3711RV?breadcrumb=list,有裝潢前後陽台有陽台有 2059 人也在關注這間👀,有 2059 人也在關注這間👀,"1,098萬",798,
2025_10_16 01_08_32,1,https://www.sinyi.com.tw//buy/house/7398NH?breadcrumb=list,小宅Ｂ區採光兩房車位小宅革命B區,新北市五股區水碓五路,華廈,7.7年,建坪 34.2,主 + 陽19.01,4樓/9樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/7398NH?breadcrumb=list,有裝潢有景觀有陽台有 43 人也在關注這間👀,有 43 人也在關注這間👀,"1,788萬","1,698",坡道機械車位
2025_10_16 01_08_32,1,https://www.sinyi.com.tw//buy/house/7977RY?breadcrumb=list,大勇街方正邊間美寓,新北市板橋區大勇街,公寓,32.1年,建坪 32.61,主 + 陽31.76,4樓/5樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/7977RY?breadcrumb=list,有裝潢前後陽台有陽台有 656 人也在關注這間👀,有 656 人也在關注這間👀,"1,680萬","1,298",
