抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,原始價格,目前價格,原始及目前價格,是否含車位價格
2025_11_22 22_42_17,1,https://www.sinyi.com.tw//buy/house/9292MX?breadcrumb=list,豐隆頂樓三房裝潢,新北市新莊區中誠街,大樓,28.9年,建坪 32.12,主 + 陽22.1,11樓/11樓,3房2廳2衛,前後陽台有陽台廁所開窗有 616 人也在關注這間👀,"2,980萬","2,980","2,980萬",
2025_11_22 22_42_17,1,https://www.sinyi.com.tw//buy/house/87478K?breadcrumb=list,豐隆昕誠Ａ２貳樓,新北市新莊區中誠街,大樓,2.3年,建坪 32.03,主 + 陽22.05,2樓/11樓,3房2廳2衛,前後陽台有陽台廁所開窗有 725 人也在關注這間👀,"2,490萬","2,490","2,490萬",升降平面車位
2025_11_22 22_42_17,1,https://www.sinyi.com.tw//buy/house/02542R?breadcrumb=list,豐隆昕誠Ａ３玖樓,新北市新莊區中誠街,大樓,10.3年,建坪 32,主 + 陽22.02,9樓/11樓,3房2廳2衛,前後陽台有陽台廁所開窗有 563 人也在關注這間👀,"2,728萬","2,728","2,728萬",升降平面車位
2025_11_22 22_42_17,1,https://www.sinyi.com.tw//buy/house/19238W?breadcrumb=list,豐隆昕誠Ａ４拾壹,新北市新莊區中誠街,大樓,12.2年,建坪 23.23,主 + 陽15.98,11樓/11樓,2房2廳1衛,有景觀有陽台廁所開窗有 1011 人也在關注這間👀,"1,856萬","1,856","1,856萬",
2025_11_22 22_42_17,1,https://www.sinyi.com.tw//buy/house/80353B?breadcrumb=list,豐隆頂樓兩房裝潢,新北市新莊區中誠街,大樓,12.2年,建坪 23.72,主 + 陽16.32,11樓/11樓,2房1廳1衛,有景觀有陽台廁所開窗有 397 人也在關注這間👀,"2,219萬","2,219","2,219萬",
2025_11_22 22_42_17,1,https://www.sinyi.com.tw//buy/house/4390MS?breadcrumb=list,淡大成家兩房平面車位大旭地,新北市淡水區北新路,大樓,28.9年,建坪 26.91,主 + 陽18.47,7樓/18樓,2房1廳1衛,有裝潢前後陽台有陽台有 2164 人也在關注這間👀,958萬,818,958萬818萬,坡道平面車位
2025_11_22 22_42_17,1,https://www.sinyi.com.tw//buy/house/4780XX?breadcrumb=list,昇陽新莊四房車位昇陽新莊,新北市新莊區福壽街,華廈,27.0年,建坪 44,主 + 陽32.16,4樓/7樓,4房2廳2衛,前後陽台有陽台房間皆有窗有 1386 人也在關注這間👀,"2,898萬","2,438","2,898萬2,438萬",坡道機械車位
2025_11_22 22_42_17,1,https://www.sinyi.com.tw//buy/house/9927DV?breadcrumb=list,春大地大空間附車位台北春大地,新北市蘆洲區永樂街,大樓,31.1年,建坪 52.34,主 + 陽28.22,3樓/14樓,4房2廳2衛1室(含加蓋1房1室),有裝潢房間皆有窗警衛管理有 531 人也在關注這間👀,"2,580萬","2,150","2,580萬2,150萬",坡道平面車位
2025_11_22 22_42_17,1,https://www.sinyi.com.tw//buy/house/0475XM?breadcrumb=list,陸光新城３房車位陸光新城-A區(...,新北市五股區六合街,華廈,17.3年,建坪 57.03,主 + 陽34.47,4樓/8樓,3房2廳2衛,前後陽台有陽台廁所開窗有 695 人也在關注這間👀,"1,880萬","1,650","1,880萬1,650萬",坡道平面車位
2025_11_22 22_42_17,1,https://www.sinyi.com.tw//buy/house/4202MC?breadcrumb=list,景觀琉森公園二房車位琉森公園,新北市汐止區建成路,大樓,29.4年,建坪 38.65,主 + 陽20.99,7樓/16樓,2房2廳2衛,有裝潢有景觀前後陽台有 850 人也在關注這間👀,"1,788萬","1,638","1,788萬1,638萬",坡道平面車位
2025_11_22 22_42_17,1,https://www.sinyi.com.tw//buy/house/9006LP?breadcrumb=list,牡丹園‧獨立房間的套房遠雄牡丹園/遠雄...,新北市中和區中原東街,大樓,8.7年,建坪 35.21,主 + 陽16.18,14樓/23樓,1房1廳1衛,有裝潢有景觀有陽台有 453 人也在關注這間👀,"2,188萬","2,080","2,188萬2,080萬",坡道平面車位
2025_11_22 22_42_17,1,https://www.sinyi.com.tw//buy/house/7716SK?breadcrumb=list,亞東站震撼優值四房車位天藍凱悅,新北市板橋區貴興路,大樓,31.6年,建坪 78.25,主 + 陽41.65,16樓/16樓,4房2廳2衛(含加蓋1廳1衛),有裝潢有景觀有陽台有 685 人也在關注這間👀,"4,280萬","3,480","4,280萬3,480萬",坡道平面車位
2025_11_22 22_42_17,1,https://www.sinyi.com.tw//buy/house/1846QC?breadcrumb=list,全新江翠捷運邊間三房車位幸福昇樺,新北市板橋區吳鳳路,大樓,2.3年,建坪 48.48,主 + 陽24.5,6樓/14樓,3房2廳2衛,有裝潢有景觀有陽台有 59 人也在關注這間👀,"3,688萬","3,688","3,688萬",坡道平面車位
