抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,額外資訊2,原始價格,目前價格,是否含車位價格,
2025_10_15 22_29_15,1,https://www.sinyi.com.tw//buy/house/2418FL?breadcrumb=list,★七期必看★銳豐四季花園銳豐四季花園,台中市西屯區市政北二路,大樓,15.4年,建坪 124.76,主 + 陽70.41,11樓/20樓,3房2廳3衛,https://www.sinyi.com.tw/buy/house/2418FL?breadcrumb=list,有裝潢前後陽台有陽台有 1586 人也在關注這間👀,有 1586 人也在關注這間👀,"5,480萬","4,688",兩個以上車位
2025_10_15 22_29_15,1,https://www.sinyi.com.tw//buy/house/4973YV?breadcrumb=list,【興大翡儷】美屋附車位興大翡儷,台中市南區五權南路,大樓,17.2年,建坪 24.05,主 + 陽12.7,12樓/14樓,1房2廳1衛,https://www.sinyi.com.tw/buy/house/4973YV?breadcrumb=list,有裝潢有景觀前後陽台有 2186 人也在關注這間👀,有 2186 人也在關注這間👀,"1,198萬",999,坡道機械車位
2025_10_15 22_29_15,1,https://www.sinyi.com.tw//buy/house/0752FJ?breadcrumb=list,美術園道ＴＯＰ視野戶美術TOP,台中市西區五權路,大樓,26.6年,建坪 36.51,主 + 陽25.34,13樓/14樓,1房2廳2衛,https://www.sinyi.com.tw/buy/house/0752FJ?breadcrumb=list,有裝潢有景觀有陽台有 137 人也在關注這間👀,有 137 人也在關注這間👀,"1,088萬","1,038",坡道機械車位
2025_10_15 22_29_15,1,https://www.sinyi.com.tw//buy/house/4597PD?breadcrumb=list,誠售元城三穗大四房雙車元城三穗,台中市西屯區逢明街,大樓,15.3年,建坪 79.09,主 + 陽38.88,9樓/12樓,4房2廳2衛,https://www.sinyi.com.tw/buy/house/4597PD?breadcrumb=list,有裝潢有景觀前後陽台有 912 人也在關注這間👀,有 912 人也在關注這間👀,"3,680萬","2,980",兩個以上車位
2025_10_15 22_29_15,1,https://www.sinyi.com.tw//buy/house/5882BF?breadcrumb=list,歡迎預約！急。由鉅ＡＺAZ學生活,台中市西區五權七街,大樓,19.0年,建坪 43.2,主 + 陽32.08,13樓/13樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/5882BF?breadcrumb=list,有裝潢有景觀前後陽台有 1472 人也在關注這間👀,有 1472 人也在關注這間👀,"2,280萬","1,888",
2025_10_15 22_29_15,1,https://www.sinyi.com.tw//buy/house/3152KD?breadcrumb=list,急售漢口大空間３房含加蓋,台中市西屯區甘州五街,公寓,38.4年,建坪 35.21,主 + 陽31.82,2樓/5樓,3房2廳2衛(含加蓋1房),https://www.sinyi.com.tw/buy/house/3152KD?breadcrumb=list,有裝潢前後陽台有陽台有 2549 人也在關注這間👀,有 2549 人也在關注這間👀,"1,180萬",950,
2025_10_15 22_29_15,1,https://www.sinyi.com.tw//buy/house/4784WP?breadcrumb=list,九月采掬高樓三房平車九月采掬,台中市北屯區建和路一段,大樓,11.1年,建坪 48.73,主 + 陽25.54,13樓/14樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/4784WP?breadcrumb=list,有裝潢有景觀前後陽台有 191 人也在關注這間👀,有 191 人也在關注這間👀,"1,680萬","1,598",坡道平面車位
2025_10_15 22_29_15,1,https://www.sinyi.com.tw//buy/house/4329GK?breadcrumb=list,中科國安藍海帝國三房平車富宇藍海帝國,台中市西屯區國安一路,大樓,18.1年,建坪 41.53,主 + 陽23.16,5樓/15樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/4329GK?breadcrumb=list,有裝潢有景觀有陽台有 771 人也在關注這間👀,有 771 人也在關注這間👀,"2,200萬","1,788",坡道平面車位
2025_10_15 22_29_15,1,https://www.sinyi.com.tw//buy/house/9491XK?breadcrumb=list,近國圖館大坪數四房平車位樸園,台中市南區學府路,大樓,30.9年,建坪 58.13,主 + 陽30.53,15樓/15樓,4房2廳2衛,https://www.sinyi.com.tw/buy/house/9491XK?breadcrumb=list,有裝潢有景觀有陽台有 295 人也在關注這間👀,有 295 人也在關注這間👀,"1,488萬","1,158",坡道平面車位
2025_10_15 22_29_15,1,https://www.sinyi.com.tw//buy/house/1234QW?breadcrumb=list,近捷運文華高中視野美四房俊國京華,台中市西屯區寧夏路,大樓,32.9年,建坪 46.68,主 + 陽37.85,8樓/12樓,4房2廳2衛,https://www.sinyi.com.tw/buy/house/1234QW?breadcrumb=list,有裝潢有景觀前後陽台有 198 人也在關注這間👀,有 198 人也在關注這間👀,"1,850萬","1,460",
2025_10_15 22_29_15,1,https://www.sinyi.com.tw//buy/house/1498QF?breadcrumb=list,誠售ＭＹ勝美視野４房雙車MY勝美,台中市西屯區青海路二段,大樓,5.3年,建坪 68.79,主 + 陽34.88,15樓/15樓,4房2廳2衛,https://www.sinyi.com.tw/buy/house/1498QF?breadcrumb=list,有裝潢有景觀前後陽台有 1078 人也在關注這間👀,有 1078 人也在關注這間👀,"3,688萬","3,088",兩個以上車位
2025_10_15 22_29_15,1,https://www.sinyi.com.tw//buy/house/7159LG?breadcrumb=list,國安國宅雙衛開窗帝王戶國安國宅乙區,台中市西屯區國安一路,大樓,29.4年,建坪 39.43,主 + 陽23.99,12樓/12樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/7159LG?breadcrumb=list,有裝潢有景觀前後陽台有 237 人也在關注這間👀,有 237 人也在關注這間👀,978萬,928,
2025_10_15 22_29_15,1,https://www.sinyi.com.tw//buy/house/7785ZR?breadcrumb=list,降價！卓越經典三房平車位,台中市南屯區大墩七街,華廈,33.3年,建坪 36.45,主 + 陽23.36,4樓/7樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/7785ZR?breadcrumb=list,前後陽台有陽台廁所開窗有 1596 人也在關注這間👀,有 1596 人也在關注這間👀,"1,100萬",950,升降平面車位
