抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,原始價格,目前價格,原始及目前價格,是否含車位價格,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/5224QP?breadcrumb=list,豐穀璞真大三房平車豐穀璞真,台中市北屯區同榮路,大樓,5.2年,建坪 57.79,主 + 陽30.37,2樓/12樓,3房2廳2衛,有裝潢前後陽台有陽台有 154 人也在關注這間👀,"3,288萬","2,988","3,288萬2,988萬",坡道平面車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/6432MK?breadcrumb=list,降價！太子種福四房平車太子種福,台中市西區五權西路一段,大樓,18.8年,建坪 69.04,主 + 陽44.39,10樓/19樓,4房2廳2衛,有裝潢有景觀有陽台有 661 人也在關注這間👀,"3,280萬","2,788","3,280萬2,788萬",坡道平面車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/9436AV?breadcrumb=list,莎士比亞誠意出售價可談莎士比亞,台中市西屯區福雅路,大樓,32.9年,建坪 49.16,主 + 陽37.25,2樓/15樓,3房2廳2衛1室,有裝潢前後陽台有陽台有 1104 人也在關注這間👀,"1,498萬","1,178","1,498萬1,178萬",,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/3305GC?breadcrumb=list,海德一號面公園視野戶海德一號,台中市南屯區惠文路,大樓,14.6年,建坪 112.96,主 + 陽61.71,5樓/23樓,3房2廳3衛,有裝潢有景觀前後陽台有 282 人也在關注這間👀,"5,580萬","4,980","5,580萬4,980萬",兩個以上車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/1369AV?breadcrumb=list,總太織築常樂裝潢美三房總太織築,台中市北屯區南興路,大樓,6.0年,建坪 50.35,主 + 陽26.53,4樓/12樓,3房2廳2衛,警衛管理具垃圾處理健身房有 181 人也在關注這間👀,"1,998萬","1,898","1,998萬1,898萬",坡道平面車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/6485DS?breadcrumb=list,南屯全新四房雙車位楓PARK,台中市南屯區楓樹西街,大樓,2.2年,建坪 68.38,主 + 陽34.47,4樓/14樓,4房2廳2衛,前後陽台有陽台廁所開窗有 2477 人也在關注這間👀,"3,150萬","2,868","3,150萬2,868萬",兩個以上車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/4297XN?breadcrumb=list,中科福科國中學區三房平車,台中市西屯區西屯路三段,大樓,33.5年,建坪 37.78,主 + 陽26.07,11樓/12樓,3房2廳1衛,有裝潢有景觀前後陽台有 408 人也在關注這間👀,"1,277萬",948,"1,277萬948萬",升降平面車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/9718PY?breadcrumb=list,大降３００萬逢甲商圈三房公園市一期,台中市西屯區福上巷,大樓,31.0年,建坪 31.92,主 + 陽26.73,3樓/11樓,3房2廳2衛,有裝潢有陽台房間皆有窗有 319 人也在關注這間👀,"1,298萬",998,"1,298萬998萬",,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/7420XB?breadcrumb=list,一生推專任美視野三房平車浪漫紐約,台中市北區進化北路,大樓,17.9年,建坪 44.87,主 + 陽26.3,14樓/15樓,3房2廳2衛,有裝潢有陽台廁所開窗有 1324 人也在關注這間👀,"1,780萬","1,598","1,780萬1,598萬",坡道平面車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/2180HG?breadcrumb=list,三普冠天下四房雙車位三普冠天下,台中市西屯區櫻城一街,華廈,34.8年,建坪 51.44,主 + 陽39.55,2樓/9樓,4房2廳2衛,有裝潢前後陽台有陽台有 680 人也在關注這間👀,"1,598萬","1,398","1,598萬1,398萬",兩個以上車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/3040FP?breadcrumb=list,走路到家之驛兩房重新開放,台中市烏日區高鐵三路,大樓,3.6年,建坪 42.73,主 + 陽20.73,21樓/24樓,2房2廳1衛,有裝潢有景觀前後陽台有 671 人也在關注這間👀,"2,188萬","1,938","2,188萬1,938萬",坡道平面車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/1557GK?breadcrumb=list,精裝次頂樓博克萊２房平車博克萊,台中市南屯區大墩七街,大樓,4.1年,建坪 31.18,主 + 陽14.3,23樓/24樓,2房2廳1衛,有裝潢有景觀有陽台有 766 人也在關注這間👀,"1,988萬","1,888","1,988萬1,888萬",坡道平面車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/9843VD?breadcrumb=list,急售低行情中醫四房車位,台中市北區篤行路,華廈,32.9年,建坪 39.26,主 + 陽30,3樓/7樓,4房2廳2衛,有裝潢前後陽台有陽台有 5441 人也在關注這間👀,"1,400萬",958,"1,400萬958萬",升降機械車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/2929FF?breadcrumb=list,必看急售植幸福高樓層三房植幸福,台中市太平區太興路,大樓,11.4年,建坪 44.96,主 + 陽26.68,11樓/15樓,3房2廳2衛,有裝潢有陽台廁所開窗有 165 人也在關注這間👀,"1,688萬","1,538","1,688萬1,538萬",坡道機械車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/6351XL?breadcrumb=list,【元城樂Ｍｏｒｅ】兩房元城樂MORE,台中市北區三民路三段,大樓,1.4年,建坪 30.79,主 + 陽14.66,5樓/18樓,2房2廳1衛,有裝潢有陽台廁所開窗有 287 人也在關注這間👀,"1,638萬","1,398","1,638萬1,398萬",兩個以上車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/4714FX?breadcrumb=list,微笑城市高樓兩房平面車位麗寶微笑城市1,台中市南屯區春安三街,大樓,5.3年,建坪 35.18,主 + 陽15.97,15樓/15樓,2房2廳1衛,有裝潢有景觀有陽台有 558 人也在關注這間👀,"1,368萬","1,198","1,368萬1,198萬",坡道平面車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/5323GG?breadcrumb=list,近市政路！便宜！西屯三房十全御景,台中市西屯區工業區一路,大樓,30.9年,建坪 32.7,主 + 陽26.61,3樓/13樓,3房2廳2衛,有裝潢前後陽台有陽台有 572 人也在關注這間👀,968萬,890,968萬890萬,,,
