抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,額外資訊2,原始價格,目前價格,是否含車位價格,
2025_10_15 23_06_25,1,https://www.sinyi.com.tw//buy/house/9004UY?breadcrumb=list,善化火車站桂田磐古平車宅,台南市善化區民權路,大樓,2.1年,建坪 33.88,主建物14.33,21樓/26樓,1房2廳1衛,https://www.sinyi.com.tw/buy/house/9004UY?breadcrumb=list,有景觀警衛管理具垃圾處理有 338 人也在關注這間👀,有 338 人也在關注這間👀,"1,268萬",958,坡道平面車位
2025_10_15 23_06_25,1,https://www.sinyi.com.tw//buy/house/9679PC?breadcrumb=list,國泰文海硯｜溫馨三房平車文海硯,台南市北區海安路三段,大樓,8.4年,建坪 76.09,主 + 陽44.54,2樓/24樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/9679PC?breadcrumb=list,有裝潢前後陽台有陽台有 1018 人也在關注這間👀,有 1018 人也在關注這間👀,"3,336萬","2,980",坡道平面車位
2025_10_15 23_06_25,1,https://www.sinyi.com.tw//buy/house/83808E?breadcrumb=list,香榭，質感暖心三房平車新悅城-香榭區,台南市安平區健康路三段,大樓,8.9年,建坪 47.53,主 + 陽24.61,22樓/27樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/83808E?breadcrumb=list,有裝潢有景觀前後陽台有 1043 人也在關注這間👀,有 1043 人也在關注這間👀,"1,488萬","1,100",坡道平面車位
2025_10_15 23_06_25,1,https://www.sinyi.com.tw//buy/house/7202DF?breadcrumb=list,★北安公園精裝兩房平車★,台南市安南區北安路二段,大樓,2.1年,建坪 35.04,主 + 陽17.01,4樓/15樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/7202DF?breadcrumb=list,有裝潢前後陽台有陽台有 96 人也在關注這間👀,有 96 人也在關注這間👀,"1,318萬","1,218",坡道平面車位
2025_10_15 23_06_25,1,https://www.sinyi.com.tw//buy/house/9041WG?breadcrumb=list,善化｜高樓層輕齡兩房平車,台南市善化區益民寮,大樓,5.1年,建坪 34.1,主 + 陽16.75,10樓/12樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/9041WG?breadcrumb=list,有裝潢有陽台廁所開窗有 455 人也在關注這間👀,有 455 人也在關注這間👀,"1,138萬",998,坡道平面車位
2025_10_15 23_06_25,1,https://www.sinyi.com.tw//buy/house/8041CU?breadcrumb=list,近台南大學採光美三房,台南市南區體育路,公寓,41.9年,建坪 26.99,主 + 陽23.49,4樓/5樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/8041CU?breadcrumb=list,有裝潢有景觀前後陽台有 1310 人也在關注這間👀,有 1310 人也在關注這間👀,588萬,480,
2025_10_15 23_06_25,1,https://www.sinyi.com.tw//buy/house/0684YW?breadcrumb=list,次頂樓高採光安平平車美屋荷蘭E-home,台南市安平區健康三街,大樓,25.2年,建坪 40.65,主 + 陽27.31,13樓/14樓,2房2廳2衛,https://www.sinyi.com.tw/buy/house/0684YW?breadcrumb=list,有裝潢有景觀前後陽台有 495 人也在關注這間👀,有 495 人也在關注這間👀,"1,280萬","1,098",坡道平面車位
2025_10_15 23_06_25,1,https://www.sinyi.com.tw//buy/house/5408DC?breadcrumb=list,九份子富立海景三房雙平車詠泉津,台南市安南區永續三街,大樓,3.5年,建坪 70.84,主 + 陽33.81,11樓/20樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/5408DC?breadcrumb=list,有裝潢有景觀前後陽台有 457 人也在關注這間👀,有 457 人也在關注這間👀,"2,940萬","2,680",兩個以上車位
2025_10_15 23_06_25,1,https://www.sinyi.com.tw//buy/house/5642JR?breadcrumb=list,市中心｜一層兩戶三房車位太皇園,台南市北區公園南路,大樓,30.1年,建坪 35.04,主 + 陽23.52,6樓/16樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/5642JR?breadcrumb=list,有裝潢前後陽台有陽台有 614 人也在關注這間👀,有 614 人也在關注這間👀,"1,098萬",998,坡道機械車位
2025_10_15 23_06_25,1,https://www.sinyi.com.tw//buy/house/5602LV?breadcrumb=list,為您園夢太皇園三房車太皇園,台南市北區公園南路,大樓,30.1年,建坪 34.28,主 + 陽24.09,5樓/18樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/5602LV?breadcrumb=list,有裝潢前後陽台有陽台有 576 人也在關注這間👀,有 576 人也在關注這間👀,888萬,818,坡道機械車位
2025_10_15 23_06_25,1,https://www.sinyi.com.tw//buy/house/8340DQ?breadcrumb=list,華平翠園４房有車位,台南市安平區建平一街,華廈,30.5年,建坪 39.38,主 + 陽28.23,3樓/7樓,4房2廳2衛,https://www.sinyi.com.tw/buy/house/8340DQ?breadcrumb=list,前後陽台有陽台廁所開窗有 909 人也在關注這間👀,有 909 人也在關注這間👀,"1,088萬",898,坡道機械車位
2025_10_15 23_06_25,1,https://www.sinyi.com.tw//buy/house/37033X?breadcrumb=list,㊝富立和築★日常微光頂層和築,台南市東區崇賢三路,大樓,8.0年,建坪 55.08,主 + 陽32.31,15樓/15樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/37033X?breadcrumb=list,有景觀前後陽台有陽台有 473 人也在關注這間👀,有 473 人也在關注這間👀,"3,078萬","2,680",坡道平面車位
2025_10_15 23_06_25,1,https://www.sinyi.com.tw//buy/house/35717R?breadcrumb=list,豪美海景✨兩房有平車,台南市安平區國平北路,大樓,0.5年,建坪 32.66,主 + 陽15.76,8樓/34樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/35717R?breadcrumb=list,有陽台房間皆有窗警衛管理有 373 人也在關注這間👀,有 373 人也在關注這間👀,858萬,808,坡道平面車位
2025_10_15 23_06_25,1,https://www.sinyi.com.tw//buy/house/5608BW?breadcrumb=list,小資首選！水交社美屋平車世界好美麗,台南市南區水交社路,華廈,6.9年,建坪 27.52,主建物11.37,1樓/7樓,1房1廳1衛,https://www.sinyi.com.tw/buy/house/5608BW?breadcrumb=list,前後陽台有陽台房間皆有窗有 966 人也在關注這間👀,有 966 人也在關注這間👀,850萬,768,坡道平面車位
