抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,原始價格,目前價格,原始及目前價格,是否含車位價格
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/1511JC?breadcrumb=list,大道新城｜景觀三房車位大道新城(三),台南市北區北門路二段,大樓,21.5年,建坪 42.54,主 + 陽28.57,8樓/11樓,3房2廳2衛,有裝潢前後陽台有陽台有 123 人也在關注這間👀,"1,160萬","1,010","1,160萬1,010萬",坡道平面車位
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/2698XC?breadcrumb=list,☀️火車站。成大兩房美居,台南市北區忠義路三段,華廈,6.8年,建坪 22.96,主 + 陽15.02,3樓/7樓,2房2廳1衛,有裝潢有陽台廁所開窗有 880 人也在關注這間👀,998萬,838,998萬838萬,
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/5111JT?breadcrumb=list,鹽行主加陽約３１坪有平車龍的天下,台南市永康區新行街,大樓,32.3年,建坪 49.84,主 + 陽31.43,16樓/16樓,2房2廳2衛,有裝潢有景觀前後陽台有 132 人也在關注這間👀,988萬,798,988萬798萬,坡道平面車位
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/0515KM?breadcrumb=list,近新光三越國華街一樓寓,台南市中西區國華街二段,公寓/店面,40.3年,建坪 31.23,主建物23.95,1樓/5樓,3房2廳2衛,有裝潢前後陽台有陽台有 781 人也在關注這間👀,"1,170萬",980,"1,170萬980萬",
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/9345RN?breadcrumb=list,皇龍山見晴｜次頂樓２房,台南市永康區復華一街,大樓,5.2年,建坪 28,主 + 陽18.91,13樓/14樓,2房2廳1衛,有裝潢有景觀有陽台有 234 人也在關注這間👀,"1,188萬",998,"1,188萬998萬",
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/83808E?breadcrumb=list,香榭，質感暖心三房平車新悅城-香榭區,台南市安平區健康路三段,大樓,9.0年,建坪 47.53,主 + 陽24.61,22樓/27樓,3房2廳2衛,有裝潢有景觀前後陽台有 1810 人也在關注這間👀,"1,488萬","1,100","1,488萬1,100萬",坡道平面車位
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/2504TR?breadcrumb=list,南師附小三房平車,台南市中西區慶中街,公寓,39.0年,建坪 51.61,主 + 陽32.18,3樓/5樓,3房2廳2衛,有裝潢前後陽台有陽台有 882 人也在關注這間👀,788萬,698,788萬698萬,坡道平面車位
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/4433CC?breadcrumb=list,三房車位｜日光暖宅世紀之門,台南市北區北園街,大樓,17.9年,建坪 40.55,主建物20.55,13樓/19樓,3房2廳1衛,有裝潢有景觀有陽台有 1133 人也在關注這間👀,"1,289萬","1,088","1,289萬1,088萬",坡道機械車位
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/6953JH?breadcrumb=list,桂花鄉面公園霸景兩房桂花鄉,台南市北區開元路,大樓,25.0年,建坪 22.73,主 + 陽17.9,9樓/14樓,2房1廳1衛,有裝潢有景觀有陽台有 405 人也在關注這間👀,780萬,730,780萬730萬,
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/0841UC?breadcrumb=list,京城鳳凰｜木質景觀平車宅京城鳳凰,台南市永康區中華路,大樓,13.3年,建坪 44.8,主 + 陽26.45,13樓/19樓,1房2廳2衛,有裝潢有景觀有陽台有 1161 人也在關注這間👀,"2,068萬","1,898","2,068萬1,898萬",坡道平面車位
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/0506UB?breadcrumb=list,府都領航天下大三房車位領航天下,台南市安平區慶平路,大樓,30.8年,建坪 79.67,主 + 陽52.1,7樓/12樓,3房2廳2衛1室,有裝潢有景觀有陽台有 467 人也在關注這間👀,"2,280萬","1,880","2,280萬1,880萬",升降平面車位
