抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,額外資訊2,原始價格,目前價格,是否含車位價格,
2025_10_15 22_15_05,1,https://www.sinyi.com.tw//buy/house/63654D?breadcrumb=list,澤暘松江,台北市中山區松江路,大樓,預售,建坪 13.99,主+附 8.82,5樓/15樓,1房1廳1衛,https://www.sinyi.com.tw/buy/house/63654D?breadcrumb=list,有陽台廁所開窗房間皆有窗有 3913 人也在關注這間👀,有 3913 人也在關注這間👀,加入最愛,"2,207",
2025_10_15 22_15_05,1,https://www.sinyi.com.tw//buy/house/86581X?breadcrumb=list,澤暘松江邊間三房,台北市中山區松江路,大樓,預售,建坪 27.64,主+附 17.42,10樓/15樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/86581X?breadcrumb=list,有陽台廁所開窗警衛管理有 1698 人也在關注這間👀,有 1698 人也在關注這間👀,(含車位價),加入最愛,其他
2025_10_15 22_15_05,1,https://www.sinyi.com.tw//buy/house/5492RR?breadcrumb=list,將捷旅境．－真境,台北市文山區木柵路二段,大樓,預售,建坪 29.86,主+附 19.53,18樓/22樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/5492RR?breadcrumb=list,有陽台廁所開窗房間皆有窗有 755 人也在關注這間👀,有 755 人也在關注這間👀,加入最愛,"2,976",
2025_10_15 22_15_05,1,https://www.sinyi.com.tw//buy/house/80689A?breadcrumb=list,將捷旅境．－真境,台北市文山區木柵路二段,大樓,預售,建坪 36.27,主+附 23.73,8樓/22樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/80689A?breadcrumb=list,有2D/3D看屋有 545 人也在關注這間👀,有 545 人也在關注這間👀,加入最愛,"3,592",
2025_10_15 22_15_05,1,https://www.sinyi.com.tw//buy/house/0227LM?breadcrumb=list,主推景觀南港巴黎春天巴黎春天,台北市南港區南深路,華廈,26.6年,建坪 17.65,主 + 陽12.54,6樓/10樓,1房1廳1衛,https://www.sinyi.com.tw/buy/house/0227LM?breadcrumb=list,有裝潢有景觀警衛管理有 3447 人也在關注這間👀,有 3447 人也在關注這間👀,"1,150萬",998,
2025_10_15 22_15_05,1,https://www.sinyi.com.tw//buy/house/3853ZN?breadcrumb=list,【力麒首御】景觀精裝豪邸力麒首御,台北市中正區和平西路一段,大樓,14.3年,建坪 87.83,主 + 陽46.31,11樓/18樓,4房2廳2衛1室,https://www.sinyi.com.tw/buy/house/3853ZN?breadcrumb=list,有裝潢有景觀前後陽台有 1036 人也在關注這間👀,有 1036 人也在關注這間👀,"10,888萬","9,888",兩個以上車位
2025_10_15 22_15_05,1,https://www.sinyi.com.tw//buy/house/4569ND?breadcrumb=list,採光河景陽台電梯房新象大樓,台北市萬華區西園路二段,大樓/辦公,42.5年,建坪 15.89,主 + 陽13.29,12樓/12樓,1房1廳1衛,https://www.sinyi.com.tw/buy/house/4569ND?breadcrumb=list,有裝潢有景觀有陽台有 583 人也在關注這間👀,有 583 人也在關注這間👀,"1,335萬","1,200",
2025_10_15 22_15_05,1,https://www.sinyi.com.tw//buy/house/6114MJ?breadcrumb=list,高樓景觀電梯四房雙車位蘭開廈,台北市北投區公館路,大樓,32.7年,建坪 103.7,主 + 陽61.9,10樓/14樓,4房2廳2衛2室,https://www.sinyi.com.tw/buy/house/6114MJ?breadcrumb=list,有裝潢前後陽台有陽台有 525 人也在關注這間👀,有 525 人也在關注這間👀,"6,300萬","5,800",兩個以上車位
2025_10_15 22_15_05,1,https://www.sinyi.com.tw//buy/house/4657HM?breadcrumb=list,國品近捷運雙拼採光大三房國品大樓,台北市大安區和平東路三段,大樓,41.3年,建坪 33.67,主 + 陽32.33,6樓/12樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/4657HM?breadcrumb=list,有陽台房間皆有窗警衛管理有 491 人也在關注這間👀,有 491 人也在關注這間👀,"3,398萬","3,098",
2025_10_15 22_15_05,1,https://www.sinyi.com.tw//buy/house/9685VT?breadcrumb=list,降價｜次頂樓景觀電梯四房皇宮綠園,台北市北投區稻香路,華廈,46.5年,建坪 44.07,主 + 陽41.64,6樓/7樓,4房2廳2衛1室,https://www.sinyi.com.tw/buy/house/9685VT?breadcrumb=list,有裝潢前後陽台有陽台有 4598 人也在關注這間👀,有 4598 人也在關注這間👀,"1,950萬","1,499",
