抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,原始價格,目前價格,原始及目前價格,是否含車位價格,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/63654D?breadcrumb=list,澤暘松江,台北市中山區松江路,大樓,預售,建坪 13.99,主+附 8.82,5樓/15樓,1房1廳1衛,有陽台廁所開窗房間皆有窗有 6008 人也在關注這間👀,2207萬,"2,207",2207萬,,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/86581X?breadcrumb=list,澤暘松江邊間三房,台北市中山區松江路,大樓,預售,建坪 27.64,主+附 17.42,10樓/15樓,3房2廳2衛,有陽台廁所開窗警衛管理有 2551 人也在關注這間👀,4654萬,"4,654",4654萬,其他,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/5492RR?breadcrumb=list,將捷旅境．－真境,台北市文山區木柵路二段,大樓,預售,建坪 29.86,主+附 19.53,18樓/22樓,2房2廳1衛,有陽台廁所開窗房間皆有窗有 1597 人也在關注這間👀,2976萬,"2,976",2976萬,,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/80689A?breadcrumb=list,將捷旅境．－真境,台北市文山區木柵路二段,大樓,預售,建坪 36.27,主+附 23.73,8樓/22樓,3房2廳2衛,有2D/3D看屋有 1027 人也在關注這間👀,3592萬,"3,592",3592萬,,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/0294MF?breadcrumb=list,住近公園貼近幸福成家２房湖邦新第二期,台北市內湖區大湖山莊街,華廈,32.3年,建坪 17.83,主建物12.31,-1樓/8樓,2房2廳1衛,有裝潢廁所開窗警衛管理有 6842 人也在關注這間👀,1056萬,"1,056",1056萬,,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/7190TX?breadcrumb=list,公園綠意小資兩房,台北市文山區仙岩路,公寓,50.4年,建坪 24.64,主 + 陽24.64,3樓/4樓,2房2廳1衛,有裝潢有陽台廁所開窗有 19 人也在關注這間👀,1230萬,"1,230",1230萬,,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/0343TK?breadcrumb=list,民生圓環高樓層景觀美三房建成花園大樓,台北市松山區民生東路五段,大樓,36.4年,建坪 36.31,主 + 陽29.42,16樓/20樓,3房2廳2衛,有裝潢有景觀前後陽台有 1352 人也在關注這間👀,3260萬,"3,260",3260萬,,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/7520HD?breadcrumb=list,信義御邸◆公園高樓景觀信義御邸,台北市大安區信義路二段,大樓,6.2年,建坪 144.19,主 + 陽69.09,21樓/21樓,2廳3衛,毛胚屋有景觀前後陽台有 887 人也在關注這間👀,22600萬,"22,600",22600萬,兩個以上車位,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/3202NH?breadcrumb=list,大直明水路住宅露臺戶銘家,台北市中山區明水路,大樓,31.9年,建坪 48.45,主 + 陽30.78,2樓/15樓,2房2廳2衛,有裝潢有景觀前後陽台有 1884 人也在關注這間👀,4860萬,"4,860",4860萬,,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/2382FS?breadcrumb=list,信義區挑高管理四房,台北市信義區吳興街,大樓,33.3年,建坪 45.54,主建物35.01,1樓/11樓,4房2廳2衛1室,有裝潢有景觀前後陽台有 626 人也在關注這間👀,2880萬,"2,880",2880萬,,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/2095KV?breadcrumb=list,大直長虹美景正面公園PARK608,台北市中山區北安路,大樓,19.5年,建坪 101.44,主 + 陽46.98,6樓/14樓,4房2廳3衛1室(含加蓋1房),有裝潢有景觀有陽台有 496 人也在關注這間👀,10888萬,"10,888",10888萬,兩個以上車位,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/6460YW?breadcrumb=list,大土持雙併公寓黃金三樓,台北市信義區嘉興街,公寓,52.9年,建坪 36.45,主 + 陽36.45,3樓/4樓,3房2廳2衛,有裝潢有景觀前後陽台有 321 人也在關注這間👀,2730萬,"2,730",2730萬,,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/9508LC?breadcrumb=list,稀有捷運旁電梯三房華廈,台北市北投區中央北路三段,華廈,30.8年,建坪 36.24,主 + 陽26.41,3樓/7樓,3房2廳2衛,有裝潢有景觀前後陽台有 3169 人也在關注這間👀,2420萬,"2,420",2420萬,坡道機械車位,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/32672T?breadcrumb=list,慈安首璽高樓誠意出售慈安首璽,台北市萬華區中華路二段,大樓,13.4年,建坪 52.88,主 + 陽31.39,7樓/14樓,3房2廳2衛,有裝潢有景觀前後陽台有 1115 人也在關注這間👀,3950萬,"3,950",3950萬,坡道平面車位,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/2725MW?breadcrumb=list,民生電梯管理採光陽台套房名人世界,台北市松山區民生東路五段,大樓,42.8年,建坪 15.59,主 + 陽13.17,9樓/15樓,1房1廳1衛1室,有裝潢有陽台房間皆有窗有 3581 人也在關注這間👀,1498萬,"1,498",1498萬,,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/5807CS?breadcrumb=list,華山文創華泰苑裝潢美三房,台北市中山區長安東路一段,華廈,6.8年,建坪 49.24,主 + 陽23.98,3樓/7樓,3房2廳2衛,有裝潢有陽台廁所開窗有 1258 人也在關注這間👀,4380萬,"4,380",4380萬,其他,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/5694BZ?breadcrumb=list,士林電梯極上裝潢三房大宅大興華廈,台北市士林區重慶北路四段,華廈,46.9年,建坪 25.37,主 + 陽23.12,4樓/7樓,3房2廳1衛,有裝潢有陽台警衛管理有 649 人也在關注這間👀,2188萬,"2,188",2188萬,,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/8258LB?breadcrumb=list,忠孝捷運中聯住辦兩房,台北市大安區忠孝東路四段,辦公/大樓,43.0年,建坪 27.16,主建物21.37,11樓/11樓,2房2廳2衛,有裝潢有景觀房間皆有窗有 148 人也在關注這間👀,3400萬,"3,400",3400萬,,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/2268XZ?breadcrumb=list,近捷運．興隆公園美妝三房,台北市文山區興隆路二段,公寓,46.1年,建坪 29.78,主 + 陽29.78,3樓/5樓,3房2廳1衛,有裝潢前後陽台有陽台有 2876 人也在關注這間👀,1885萬,"1,885",1885萬,,,,,,
2025_11_21 17_58_12,1,https://www.sinyi.com.tw//buy/house/6908UG?breadcrumb=list,吉美悅河高樓景觀雙主臥吉美悅河,台北市士林區重慶北路四段,大樓,12.4年,建坪 94.98,主 + 陽46.56,13樓/15樓,4房2廳3衛1室,有裝潢有景觀有陽台有 763 人也在關注這間👀,6288萬,"6,288",6288萬,兩個以上車位,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/2594FC?breadcrumb=list,低總首選－新生金華美屋金華369,台北市大安區信義路二段,華廈/套房,30.2年,建坪 13.35,主 + 陽8.9,2樓/6樓,1房1廳1衛1室(含加蓋1室),有裝潢有陽台警衛管理有 693 人也在關注這間👀,1950萬,"1,950",1950萬,,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/7571VL?breadcrumb=list,捷運旁十年內三房平面車位隨河,台北市士林區福華路,華廈,7.4年,建坪 45.9,主 + 陽22.93,7樓/9樓,3房2廳2衛,有景觀有陽台廁所開窗有 1615 人也在關注這間👀,3998萬,"3,998",3998萬,升降平面車位,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/4220NL?breadcrumb=list,專任●天西藝境使館隱園,台北市士林區天母西路,華廈,45.9年,建坪 59.13,主 + 陽52.13,6樓/6樓,3房2廳2衛,有裝潢有景觀前後陽台有 243 人也在關注這間👀,4068萬,"4,068",4068萬,,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/6298RU?breadcrumb=list,民生圓環大器名邸名人世界,台北市松山區民生東路五段,大樓,42.8年,建坪 56.78,主 + 陽49.25,5樓/15樓,4房2廳2衛,有裝潢前後陽台有陽台有 342 人也在關注這間👀,4960萬,"4,960",4960萬,,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/0855HW?breadcrumb=list,捷運忠孝敦化中聯住辦,台北市大安區忠孝東路四段,辦公/大樓,43.0年,建坪 13.58,主建物10.68,11樓/11樓,1房1廳1衛,有裝潢有景觀房間皆有窗有 143 人也在關注這間👀,1700萬,"1,700",1700萬,,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/3495PQ?breadcrumb=list,八德明亮採光大公寓,台北市中山區八德路二段,公寓,49.7年,建坪 55.25,主建物55.25,4樓/4樓,4房2廳4衛1室(含加蓋1房1衛1室),有裝潢房間皆有窗近公園有 146 人也在關注這間👀,4200萬,"4,200",4200萬,,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/0724YT?breadcrumb=list,誠售明水四季綠意滿窗明水四季,台北市中山區明水路,辦公/大樓,17.7年,建坪 22.74,主 + 陽10.77,4樓/12樓,1廳1衛2室,有裝潢有陽台房間皆有窗有 476 人也在關注這間👀,2100萬,"2,100",2100萬,坡道機械車位,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/5287DS?breadcrumb=list,【ＶＲ】愛眉山莊三房車位愛眉山莊,台北市文山區辛亥路四段,大樓,22.2年,建坪 62.23,主 + 陽34.37,7樓/11樓,3房2廳2衛,有裝潢有景觀廁所開窗有 1243 人也在關注這間👀,3688萬,"3,688",3688萬,坡道平面車位,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/6691UN?breadcrumb=list,靜心學府邊間３房車位景星學苑,台北市文山區景華街,華廈,18.2年,建坪 43.64,主 + 陽24.82,2樓/7樓,3房2廳2衛,有裝潢有景觀前後陽台有 2154 人也在關注這間👀,3380萬,"3,380",3380萬,升降機械車位,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/3108NF?breadcrumb=list,捷運忠孝敦化中聯住辦,台北市大安區忠孝東路四段,辦公/大樓,43.0年,建坪 13.58,主建物10.68,11樓/11樓,1房1廳1衛,有裝潢有景觀房間皆有窗有 96 人也在關注這間👀,1700萬,"1,700",1700萬,,,,,,
