抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,額外資訊2,原始價格,目前價格,是否含車位價格,
2025_10_15 22_21_40,1,https://www.sinyi.com.tw//buy/house/7464GW?breadcrumb=list,小資首選★經國三房經國與法國,桃園市桃園區經國路,大樓,29.5年,建坪 32.18,主 + 陽25.15,6樓/19樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/7464GW?breadcrumb=list,有裝潢有陽台警衛管理有 450 人也在關注這間👀,有 450 人也在關注這間👀,"1,168萬","1,028",
2025_10_15 22_21_40,1,https://www.sinyi.com.tw//buy/house/3703RK?breadcrumb=list,近市府縣府風華大２房縣府風華,桃園市桃園區泰山街,大樓/辦公,28.9年,建坪 36.21,主 + 陽29.69,13樓/16樓,2房2廳2衛,https://www.sinyi.com.tw/buy/house/3703RK?breadcrumb=list,有裝潢有景觀前後陽台有 370 人也在關注這間👀,有 370 人也在關注這間👀,"1,398萬","1,258",
2025_10_15 22_21_40,1,https://www.sinyi.com.tw//buy/house/3240FS?breadcrumb=list,鼎藏富御豪邸鼎藏富御,桃園市中壢區溪洲三街,大樓,10.1年,建坪 94.04,主 + 陽44.63,4樓/15樓,4房2廳3衛,https://www.sinyi.com.tw/buy/house/3240FS?breadcrumb=list,毛胚屋前後陽台有陽台有 337 人也在關注這間👀,有 337 人也在關注這間👀,"2,980萬","2,758",兩個以上車位
2025_10_15 22_21_40,1,https://www.sinyi.com.tw//buy/house/8339WC?breadcrumb=list,藝文特區遠東風華溫馨三房遠東風華,桃園市桃園區同安街,大樓,28.9年,建坪 32.38,主 + 陽26.71,8樓/14樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/8339WC?breadcrumb=list,有裝潢前後陽台有陽台有 740 人也在關注這間👀,有 740 人也在關注這間👀,"1,550萬","1,438",
2025_10_15 22_21_40,1,https://www.sinyi.com.tw//buy/house/41318H?breadcrumb=list,看！八擴前後陽台２房車位佳瑞遊CITY,桃園市八德區仁德一路,大樓,7.9年,建坪 35.83,主 + 陽19.47,4樓/12樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/41318H?breadcrumb=list,有裝潢有景觀前後陽台有 1291 人也在關注這間👀,有 1291 人也在關注這間👀,"1,398萬","1,288",坡道平面車位
2025_10_15 22_21_40,1,https://www.sinyi.com.tw//buy/house/5172JB?breadcrumb=list,竹城。廣豐特區高樓美屋竹城六本木,桃園市八德區廣豐三街,大樓,13.9年,建坪 55.95,主 + 陽31.53,10樓/13樓,3房2廳1衛,https://www.sinyi.com.tw/buy/house/5172JB?breadcrumb=list,有裝潢有景觀有陽台有 454 人也在關注這間👀,有 454 人也在關注這間👀,"2,338萬","2,170",坡道平面車位
2025_10_15 22_21_40,1,https://www.sinyi.com.tw//buy/house/4477UQ?breadcrumb=list,中壢成家美屋３房雙車位連都3期,桃園市中壢區永福路,大樓,31.4年,建坪 57.36,主 + 陽33.23,5樓/13樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/4477UQ?breadcrumb=list,有裝潢前後陽台有陽台有 1400 人也在關注這間👀,有 1400 人也在關注這間👀,"1,188萬","1,100",兩個以上車位
2025_10_15 22_21_40,1,https://www.sinyi.com.tw//buy/house/1151LL?breadcrumb=list,日光兩房車，值得擁有時尚風閣,桃園市蘆竹區奉化路,華廈,20.7年,建坪 31.65,主 + 陽16.3,9樓/9樓,2房1廳1衛,https://www.sinyi.com.tw/buy/house/1151LL?breadcrumb=list,有裝潢有陽台房間皆有窗有 583 人也在關注這間👀,有 583 人也在關注這間👀,"1,398萬","1,198",坡道平面車位
2025_10_15 22_21_40,1,https://www.sinyi.com.tw//buy/house/4294MV?breadcrumb=list,美裝Ａ１９兩房雙衛車位璟都VPARK,桃園市中壢區永裕路,大樓,5.8年,建坪 39.39,主 + 陽19.39,8樓/13樓,2房2廳2衛,https://www.sinyi.com.tw/buy/house/4294MV?breadcrumb=list,有裝潢有景觀有陽台有 1668 人也在關注這間👀,有 1668 人也在關注這間👀,"1,800萬","1,498",坡道平面車位
2025_10_15 22_21_40,1,https://www.sinyi.com.tw//buy/house/42509W?breadcrumb=list,藝文特區蛋黃美裝兩房天下大觀,桃園市桃園區大興西路一段,大樓,28.3年,建坪 22.72,主 + 陽18.16,16樓/17樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/42509W?breadcrumb=list,有裝潢廁所開窗警衛管理有 843 人也在關注這間👀,有 843 人也在關注這間👀,"1,058萬",998,
