抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,原始價格,目前價格,原始及目前價格,是否含車位價格
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/3834VM?breadcrumb=list,河景四房雙車位衛浴開窗新台北華城,桃園市蘆竹區榮興路,大樓,23.6年,建坪 71.46,主 + 陽41.07,3樓/12樓,4房2廳2衛,有裝潢前後陽台有陽台有 109 人也在關注這間👀,"2,880萬","2,298","2,880萬2,298萬",兩個以上車位
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/6339UN?breadcrumb=list,上越雅築兩房車位竹城上越,桃園市蘆竹區中山北街,大樓,16.4年,建坪 29.99,主 + 陽17.15,8樓/12樓,2房2廳1衛,有裝潢有陽台房間皆有窗有 123 人也在關注這間👀,"1,398萬","1,318","1,398萬1,318萬",坡道機械車位
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/5343TF?breadcrumb=list,桃大誠中庭景觀美３房桃大誠,桃園市八德區公園路,大樓,4.4年,建坪 51.11,主 + 陽27.07,8樓/24樓,3房2廳2衛,有裝潢有景觀前後陽台有 853 人也在關注這間👀,"2,468萬","2,198","2,468萬2,198萬",坡道平面車位
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/6187CU?breadcrumb=list,桃園新城溫馨裝潢３房車位桃園新城,桃園市桃園區江南十街,大樓,32.1年,建坪 38.6,主建物23.17,1樓/13樓,3房2廳2衛,有裝潢前後陽台有陽台有 2152 人也在關注這間👀,"1,198萬","1,098","1,198萬1,098萬",坡道平面車位
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/42509W?breadcrumb=list,藝文特區蛋黃美裝兩房天下大觀,桃園市桃園區大興西路一段,大樓,28.4年,建坪 22.72,主 + 陽18.16,16樓/17樓,2房2廳1衛,有裝潢廁所開窗警衛管理有 1126 人也在關注這間👀,"1,058萬",980,"1,058萬980萬",
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/9093TR?breadcrumb=list,太子國際村邊間３房讚太子國際村,桃園市中壢區龍慈路,大樓,25.7年,建坪 32.18,主 + 陽25.16,16樓/18樓,3房2廳2衛,有裝潢有景觀前後陽台有 641 人也在關注這間👀,988萬,898,988萬898萬,
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/0457BU?breadcrumb=list,近捷運－藝文大亨４房車位城市大亨,桃園市桃園區大興西路二段,大樓,31.4年,建坪 55.75,主 + 陽39.6,3樓/18樓,4房2廳2衛,有裝潢前後陽台有陽台有 47 人也在關注這間👀,"2,068萬","2,068","2,068萬",坡道機械車位
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/8377LQ?breadcrumb=list,南向亮眼三房車位墨爾本,桃園市八德區豐德路,大樓,11.3年,建坪 45.88,主 + 陽27.11,2樓/15樓,3房2廳2衛,有裝潢有景觀前後陽台有 2388 人也在關注這間👀,"1,888萬","1,398","1,888萬1,398萬",坡道平面車位
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/54150L?breadcrumb=list,經國重劃！忠泰幸三房車位忠泰幸,桃園市桃園區經國二路,大樓,5.0年,建坪 48.39,主 + 陽24.9,3樓/23樓,3房2廳2衛,有裝潢有陽台廁所開窗有 436 人也在關注這間👀,"2,188萬","1,988","2,188萬1,988萬",坡道平面車位
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/8883KV?breadcrumb=list,八擴。麗寶美裝潢三房車位麗寶大藝術家A,桃園市八德區中山路,大樓,11.5年,建坪 53.72,主 + 陽31.51,9樓/17樓,3房2廳2衛,有裝潢前後陽台有陽台有 532 人也在關注這間👀,"1,788萬","1,538","1,788萬1,538萬",坡道平面車位
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/95405C?breadcrumb=list,挺你成家．三面採光美三房冠桃園,桃園市桃園區國際路一段,大樓,28.0年,建坪 30.56,主 + 陽27.31,22樓/25樓,3房2廳2衛,有裝潢有景觀前後陽台有 421 人也在關注這間👀,"1,056萬",928,"1,056萬928萬",
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/46805M?breadcrumb=list,世紀城稀有四房雙車位,桃園市楊梅區金山街,大樓,8.3年,建坪 68.43,主 + 陽32.95,8樓/15樓,4房2廳2衛,有裝潢有景觀前後陽台有 392 人也在關注這間👀,"1,988萬","1,798","1,988萬1,798萬",兩個以上車位
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/3973XL?breadcrumb=list,質感美裝展志學三房雙車位展志學,桃園市中壢區成章二街,大樓,5.6年,建坪 58.86,主 + 陽25.93,11樓/13樓,3房2廳2衛,有裝潢有景觀前後陽台有 133 人也在關注這間👀,"1,980萬","1,980","1,980萬",兩個以上車位
