抓取時間,搜尋結果第幾頁,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,額外資訊2,目前價格,原始價格,是否含車位價格
2025_10_16 23_38_14,1,文山泳池綠意三房,台北市文山區辛亥路四段,住宅大樓,30.2年,建坪56.45,主+陽27.70,14/18樓,3房(室)2廳2衛, 附1個車位-要2個或者不要都可 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運辛亥站,"3,188","3,188",含車位價
2025_10_16 23_38_14,1,文山泳池綠意三房,台北市文山區辛亥路四段,住宅大樓,30.2年,建坪56.45,主+陽27.70,14/18樓,3房(室)2廳2衛, 附1個車位-要2個或者不要都可 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運辛亥站,"3,188","3,188",含車位價
2025_10_16 23_38_14,1,仁愛學區捷運華廈,台北市大安區延吉街,住宅大樓,47.2年,建坪28.05,主+陽23.66,3/7樓,2房(室)2廳1衛, 大巨蛋商圈近國父紀念館捷運站 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運國父紀念館站近捷運忠孝敦化站,"2,860","3,260萬",無
2025_10_16 23_38_14,1,近捷運管理有陽台,台北市內湖區文德路,辦公商業大樓,15.6年,建坪28.58,主+陽9.20,2/12樓,1房(室)1廳1衛, 機能便利，有獨立陽台，近公園 ,永慶房屋近捷運文德站近捷運Y33站(施工中),"1,699","1,799萬",含車位價250萬元
2025_10_16 23_38_14,1,文德捷運湖水兩室,台北市內湖區文德路,辦公商業大樓,15.6年,建坪38.19,主+陽14.71,2/12樓,2房(室)2廳1衛(含加蓋1房(室)--廳--衛), 主流兩室、文德捷運2分鐘 ,永慶房屋新上廁所有窗近捷運文德站近捷運Y33站(施工中),"2,480","2,480",含車位價250萬元
2025_10_16 23_38_14,1,文德公園明亮三房,台北市內湖區陽光街,公寓,42.2年,建坪28.49,主+陽28.49,5/5樓,3房(室)2廳1.5衛, 捷運約7分鐘，邊間採光三房 ,永慶房屋有天然瓦斯房間都有窗近捷運文德站近捷運Y33站(施工中),"1,868","1,868",無
2025_10_16 23_38_14,1,古亭匯藍天綠境宅,台北市中正區南昌路二段,住宅大樓,5.0年,建坪17.29,主+陽9.49,13/14樓,1房(室)1廳1衛, 全新高樓景觀，稀有大露臺，邊間 ,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運古亭站,"2,600","2,600",無
2025_10_16 23_38_14,1,公園綠樹首排美景,台北市士林區天母東路,公寓,46.9年,建坪28.13,主+陽28.13,1/4樓,3房(室)3廳1.5衛, 公園第一排綠樹湖水美景風景如畫 ,永慶房屋新上房間都有窗近捷運LR11站(規劃中),"2,280","2,500萬",無
2025_10_16 23_38_14,1,天母裝潢精美美屋,台北市士林區中山北路六段,住宅大樓,3.5年,建坪50.67,主+陽23.22,3/14樓,2房(室)2廳2衛, 天母SOGO商圈-靜巷住宅 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運LR09站(規劃中)近捷運芝山站,"4,990","5,680萬",含車位價350萬元
2025_10_16 23_38_14,1,遠雄秀明政大名宅,台北市文山區秀明路二段,住宅大樓,19.3年,建坪81.95,主+陽39.65,10/15樓,3房(室)2廳2衛, 高樓層-隱私性高-看101 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運Y2A站(施工中)近捷運Y1A站(施工中),"5,588","5,588",含車位價550萬元
2025_10_16 23_38_14,1,藍天凱悅絕美景觀,台北市大安區敦化南路二段,住宅大樓,39.9年,建坪40.67,主+陽34.16,26/26樓,5房(室)2廳3衛(含加蓋3房(室)--廳1衛), 24管理高樓景觀內梯頂加 ,永慶房屋有天然瓦斯房間都有窗近捷運科技大樓站近捷運六張犁站,"6,000","7,188萬",無
2025_10_16 23_38_14,1,後山埤美妝三房,台北市信義區大道路,公寓,42.8年,建坪33.42,主+陽32.31,4/5樓,3房(室)2廳2衛, 空間好規劃、近後山埤2號出口 ,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運後山埤站近捷運廣慈/奉天宮站(施工中),"2,899","2,899",無
2025_10_16 23_38_14,1,璞園精品三房車位,台北市內湖區麗山街,住宅大樓,14.0年,建坪62.44,主+陽30.28,4/14樓,3房(室)2廳2衛, 近碧湖公園、737商圈 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運港墘站近捷運文德站,"5,680","5,680",含車位價360萬元
2025_10_16 23_38_14,1,捷運旁美妝2樓,台北市內湖區文德路,公寓,37.8年,建坪27.06,主+陽24.18,2/5樓,2房(室)2廳1衛, 文德捷運旁、近全聯公園星巴克 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運文德站,"2,250","2,250",無
2025_10_16 23_38_14,1,新潤質感裝潢豪邸,台北市松山區寶清街,住宅大樓,7.9年,建坪49.33,主+陽24.06,5/13樓,3房(室)2廳2衛, 拎包直接入住、坡道平面大車位 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運南京三民站近捷運SB06站(規劃中),"5,608","5,980萬",含車位價350萬元
2025_10_16 23_38_14,1,大直捷運靜巷美寓,台北市中山區大直街,公寓,48.8年,建坪36.09,主+陽36.09,4/4樓,6房(室)2廳3衛(含加蓋3房(室)--廳1衛), 實踐大學、現有頂加、格局方正 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運大直站,"2,788","2,960萬",無
2025_10_16 23_38_14,1,敦南方正採光三房,台北市大安區四維路,華廈,40.0年,建坪37.55,主+陽34.70,4/6樓,3房(室)2廳2衛, 一層兩戶、低公設、近捷運 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運科技大樓站近捷運六張犁站,"3,999","3,999",無
2025_10_16 23_38_14,1,大安站旁連鎖金店,台北市大安區大安路一段,華廈,53.3年,建坪56.81,主56.81,B1~1/7樓,#NAME?, 大馬路連鎖金店面 ,永慶房屋正面大馬路出租中近捷運大安站,"7,350","8,988萬",無
2025_10_16 23_38_14,1,怡然湖景四房平車,台北市內湖區內湖路二段,住宅大樓,9.9年,建坪74.91,主+陽43.76,11/15樓,4房(室)2廳2衛, 全覽湖景、璞園建設、下樓即公園 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運文德站近捷運港墘站,"9,880","9,880",含車位價
2025_10_16 23_38_14,1,文德捷運套房車位,台北市內湖區文德路,華廈,19.5年,建坪14.68,主+陽7.21,3/10樓,1房(室)1廳1衛, 捷運步行5分鐘、使照高度3米六 ,永慶房屋有天然瓦斯房間都有窗近捷運文德站近捷運內湖站,"1,198","1,268萬",含車位價200萬元
2025_10_16 23_38_14,1,專任附中高樓三房,台北市大安區建國南路一段,住宅大樓,38.6年,建坪32.06,主+陽31.69,11/14樓,3房(室)2廳1.5衛, 幸安國小 附中國中部 靜巷高樓 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運大安森林公園站近捷運大安站,"3,588","3,588",無
2025_10_16 23_38_14,1,全新捷運挑高御邸,台北市信義區中坡南路,華廈,11.9年,建坪67.21,主+陽36.32,7/7樓,3房(室)2廳2衛(含加蓋1房(室)--廳--衛), 稀有大空間 大露台 景觀優 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運後山埤站近捷運Y37站(施工中),"5,888","6,588萬",含車位價460萬元
