抓取時間,搜尋結果第幾頁,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,額外資訊2,目前價格,原始價格,是否含車位價格
2025_10_16 23_51_46,11,近未來署桃R04站永豐綻雙衛浴兩房車,桃園市八德區永豐路,電梯大樓,2.5年,建坪33.84,主+陽17.42,4/15樓,2房(室)2廳2衛," 本案鄰近五大生活圈:永豐、龍壽、高城、內壢、中山路商圈
格局方正、屋況明亮、全套雙衛浴、輕鬆入住
生活機能，完整豐富；近全聯福利中心、上青生鮮超市、7-11、蝦皮店到店等等
12年國教明星學區；步行可到永豐非營利幼兒園、茄苳國小、永豐(國)高中、新興高中。
交通便捷，四通八達；開車10分鐘上南桃園交流道、8分鐘到內壢火車站、搭乘一路公車桃園、中壢市區輕鬆抵達。
鄰近公園假日休憩散步好去處；近捷克冒險公園、高城埤塘生態公園
社區公設多元完善；包含中庭花園、接待大廳、健身房、親子遊戲區、垃圾代收區、信箱區
附近區域內已有醫院、公園、學校等公共建設，後續鐵路地下化及16公里綠化路廊、遠東紡織開發案等等據有話題性建設，可帶動周邊商圈潛力，未來具有增值空間
市場少見兩房全套雙衛浴，把握機會錯過可惜
  ",永慶不動產新上,"1,250","1,250",無
2025_10_16 23_51_46,11,桃園大溪瑞興段農地後有山前有河 風水寶地,桃園市大溪區瑞興段,土地,#NAME?,建坪--,無,#NAME?,#NAME?," 後有山前有河風水好,稀有釋出農地,看了會喜歡
現有合法資材室,有水有電,出入方便不吵,離塵不離城
大溪老街開車8分鐘(Google資訊)
與鄰地共用出入道路瑞興段2267地號
可與鄰地一起合購瑞興段2270地號
瑞興段2270地號面積957.68坪 ",永慶不動產新上,"6,888","6,888",無
2025_10_16 23_51_46,11,田園景觀~低樓層全新未住3+1房車!,桃園市大園區聖德北路,華廈,1.6年,建坪57.29,主+陽31.23,3/10樓,3房(室)2廳2衛," 1.雙重商圈與便利生活機能
坐擁大園與青埔(google maps 標示約5KM)兩大生活／商業圈，採買、休閒、觀光資源多樣，日常生活需求容易滿足。
﻿2.近捷運或交通規劃
近捷運橫山站(google maps 標示約3KM)，交通接駁與通勤可期。
3.景觀佳與朝向規劃
社區為景觀宅，戶型也規劃座北朝南、良好採光通風。眾多單元為2房、3+1房，非常適合小家庭或首購族。
4.卓悅卓岳鄰近青埔生活圈室內空間大，房價親民，適合想要用時間換空間節省預算的小家庭。 ",永慶不動產新上,"1,498","1,498",無
2025_10_16 23_51_46,11,體育園區健行商圈低樓層【兩房+兩大套房】,桃園市中壢區志航街,公寓,43.6年,建坪28.76,主+陽28.76,2/5樓,4房(室)3廳3衛," 1.全新整理水電更新，現況格3間:【2房1廳1衛】+【1房1廳1衛1陽台】+【1大套房1衛1陽台】。
2.均附電視、冰箱、冷氣、洗衣機、流理臺。
3.中壢後站體育園區健行商圈，稀有二樓釋出，租客的最愛。
4.近超市、商圈、學區，周邊店家林立，生活機能佳。
5.自用收租兩相宜，規劃月收租約53000元，抗通膨最佳標的。 ",永慶不動產新上,988,988,無
2025_10_16 23_51_46,11,衛福部桃醫院龍安商圈龍壽庭園精緻華廈一樓美宅含車,桃園市蘆竹區文中路一段,華廈,32.4年,建坪36.45,主+平21.18,1/7樓,3房(室)2廳1衛," 1.全室冷氣冷媒及排水管線皆已配置完成。全室線路、照明及開關插座附已更新。廚具、衛浴皆已更新。天花板挑高不壓迫，免整理，一卡皮箱即可入住。
2. 汽車位坪數含在權狀公設裡，有一張本戶汽車停車位證明狀，是原始建商開立!本戶門口旁下去B1就到坡道平面車位。
3.交通便利，9005直達台北轉運站。近國2南桃園交流道(近機場)，南來北往交通便利。
4.本建物可公司工廠登記，稀有一樓釋出，老人家不用爬樓梯。大中庭，老人小孩運動玩耍空間大。
5.近衛福部桃園醫院，就醫方便。鄰近龍安商圈、龍安黃昏市場，生活機能便利 
6.此為乙種工業區用，主要用途為工業用。

 ",永慶不動產新上,"1,158","1,158",無
2025_10_16 23_51_46,11,楊梅超值低總價便宜低自備3房公園宅,桃園市楊梅區湖山街,公寓,29.0年,建坪26.48,主+陽24.38,4/5樓,3房(室)2廳1衛," 格局優越：3房2廳1衛，適合小家庭的需求。
便捷交通：社區內即有社區巴士可到市場及車站。
教育資源豐富：距楊心國小約3.1公里。
親近自然：社區內即有公園和籃球場，享受清新空氣與休閒時光。
社區機能完善：大型社區，社區內即有超商、商家，亦有i郵箱。
屋主惜售，歡迎貴賓來電預約賞屋。 ",永慶不動產新上,498,498,無
2025_10_16 23_51_46,11,楊梅近楊湖路「薪家坡」低樓層超值首購優選三房,桃園市楊梅區湖山街,公寓,29.0年,建坪26.09,主+陽23.98,3/5樓,3房(室)2廳1衛," 1、屋況佳、社區管理（有警衛）
2.住戶單純、近交流道
3.中低樓層、低總價、低自備
4.價格好談、誠意出售
5.方正格局、面東採光好
6.全新廚具、寬敞後陽台
7.社區內有便利店、採買方便
8.車位好停、洽管理室

 ",永慶不動產新上,438,438,無
2025_10_16 23_51_46,11,青埔A18．佳瑞M+．高樓層景觀3房車,桃園市中壢區高鐵站前西路二段,電梯大樓,12.6年,建坪52.63,主+陽27.35,9/11樓,3房(室)2廳2衛," 1.  鄰A18商業區，步行約950米至高鐵
2.  位站前西路商圈，隔壁即超商，機能完善
3.  近國道一號、二號交流道，交通便利
4.  大全聯將開幕，開車約3分，日常採買方便
5.  高樓層視野，前後陽台規劃，採光通風佳
6.  室內方正，主建約24坪，高坪效舒適格局
7. 低梯戶比，純住宅社區，單層2戶1梯 ",永慶不動產新上,"2,250","2,250",無
2025_10_16 23_51_46,11,平鎮霄裡生活圈、鄰近忠貞市場、全聯平東路透天,桃園市平鎮區平東路,透天厝,45.4年,建坪30.13,主30.13,1~2/2樓,6房(室)2廳2衛," 學區完善 東安國中國小9年國教免煩惱
室內格局方正好規劃有天有地
鄰近忠貞市場、全聯採買方便
有孝親房，現有增建
平鎮霄裡生活圈
平東路商家林立
開車約10分鐘上國三 ",永慶不動產新上,750,750,無
2025_10_16 23_51_46,11,大業國小旁~路易崴登2房車邊間衛浴開窗,桃園市桃園區大業路一段,華廈,21.1年,建坪35.20,主+陽16.66,3/8樓,2房(室)2廳1衛," 大業國小旁約200公尺~走路上學約3分鐘免接送~

鄰近河濱公園.桃林步道.三民運動公園好休閒~
周邊有3大超商.全聯.康是美…購物好便利
社區有24H垃圾處理室~B1平面車位就在電梯口
稀有釋出邊間2房車衛浴開窗~低總價輕鬆成家 ",永慶不動產新上,998,998,無
