價格,車位價格,標題,地址,房屋類型,屋齡,建坪,實際坪數,樓層,格局,額外資訊1,額外資訊2,原始價格
"2,600",無,古亭匯藍天綠境宅,台北市中正區南昌路二段,住宅大樓,5.0年,建坪17.29,主+陽9.49,13/14樓,1房(室)1廳1衛,全新高樓景觀，稀有大露臺，邊間,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運古亭站,"2,600"
"2,600",無,古亭匯藍天綠境宅,台北市中正區南昌路二段,住宅大樓,5.0年,建坪17.29,主+陽9.49,13/14樓,1房(室)1廳1衛,全新高樓景觀，稀有大露臺，邊間,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運古亭站,"2,600"
"2,250",無,捷運旁美妝2樓,台北市內湖區文德路,公寓,37.7年,建坪27.06,主+陽24.18,2/5樓,2房(室)2廳1衛,文德捷運旁、近全聯公園星巴克,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運文德站,"2,250"
"2,788",無,大直捷運靜巷美寓,台北市中山區大直街,公寓,48.8年,建坪36.09,主+陽36.09,4/4樓,6房(室)2廳3衛(含加蓋3房(室)--廳1衛),實踐大學、現有頂加、格局方正,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運大直站,"2,960萬"
"3,999",無,敦南方正採光三房,台北市大安區四維路,華廈,40.0年,建坪37.55,主+陽34.70,4/6樓,3房(室)2廳2衛,一層兩戶、低公設、近捷運,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運科技大樓站近捷運六張犁站,"3,999"
"2,899",無,後山埤美妝三房,台北市信義區大道路,公寓,42.8年,建坪33.42,主+陽32.31,4/5樓,3房(室)2廳2衛,空間好規劃、近後山埤2號出口,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運後山埤站近捷運廣慈/奉天宮站(施工中),"2,899"
"7,350",無,大安站旁連鎖金店,台北市大安區大安路一段,華廈,53.3年,建坪56.81,主56.81,B1~1/7樓,#NAME?,大馬路連鎖金店面,永慶房屋正面大馬路出租中近捷運大安站,"8,988萬"
"9,880",含車位價,怡然湖景四房平車,台北市內湖區內湖路二段,住宅大樓,9.9年,建坪74.91,主+陽43.76,11/15樓,4房(室)2廳2衛,全覽湖景、璞園建設、下樓即公園,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運文德站近捷運港墘站,"9,880"
"5,680",含車位價360萬元,璞園精品三房車位,台北市內湖區麗山街,住宅大樓,14.0年,建坪62.44,主+陽30.28,4/14樓,3房(室)2廳2衛,近碧湖公園、737商圈,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運港墘站近捷運文德站,"5,680"
"1,198",含車位價200萬元,文德捷運套房車位,台北市內湖區文德路,華廈,19.5年,建坪14.68,主+陽7.21,3/10樓,1房(室)1廳1衛,捷運步行5分鐘、使照高度3米六,永慶房屋有天然瓦斯房間都有窗近捷運文德站近捷運內湖站,"1,268萬"
