物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
敦南方正採光三房,台北市大安區四維路,華廈,40.0年,建坪37.55,3房(室)2廳2衛,4/6樓,"3,999 萬"
敦南方正採光三房,台北市大安區四維路,華廈,40.0年,建坪37.55,3房(室)2廳2衛,4/6樓,"3,999 萬"
後山埤美妝三房,台北市信義區大道路,公寓,42.8年,建坪33.42,3房(室)2廳2衛,4/5樓,"2,899 萬"
古亭匯藍天綠境宅,台北市中正區南昌路二段 古亭匯,住宅大樓,5.0年,建坪17.29,1房(室)1廳1衛,13/14樓,"2,600 萬"
大安站旁連鎖金店,台北市大安區大安路一段,華廈,53.3年,建坪56.81,#NAME?,B1~1/7樓,"7,350 萬"
怡然湖景四房平車,台北市內湖區內湖路二段 樸山水澗,住宅大樓,9.9年,建坪74.91,4房(室)2廳2衛,11/15樓,"9,880 萬"
璞園精品三房車位,台北市內湖區麗山街 璞水瑟,住宅大樓,14.0年,建坪62.44,3房(室)2廳2衛,4/14樓,"5,680 萬"
文德捷運套房車位,台北市內湖區文德路 湖光CD,華廈,19.5年,建坪14.68,1房(室)1廳1衛,3/10樓,"1,198 萬"
政大名宅遠雄秀明,台北市文山區秀明路二段 遠雄秀明,住宅大樓,19.2年,建坪81.95,3房(室)2廳2衛,10/15樓,"5,588 萬"
文德公園明亮三房,台北市內湖區陽光街,公寓,42.2年,建坪28.49,3房(室)2廳1.5衛,5/5樓,"1,868 萬"
公園綠樹首排美景,台北市士林區天母東路 天和山城,公寓,46.9年,建坪28.13,3房(室)3廳1.5衛,1/4樓,"2,280 萬"
專任附中高樓三房,台北市大安區建國南路一段 郵政新村,住宅大樓,38.6年,建坪32.06,3房(室)2廳1.5衛,11/14樓,"3,588 萬"
全新捷運挑高御邸,台北市信義區中坡南路 忠孝界,華廈,11.9年,建坪67.21,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),7/7樓,"5,888 萬"
碧湖綠意三房車位,台北市內湖區文德路 涵碧園,住宅大樓,17.9年,建坪57.49,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),3/14樓,"3,498 萬"
天母電梯全新成屋,台北市士林區天母東路 天母桓琚,住宅大樓,1.4年,建坪47.19,3房(室)2廳2衛,6/12樓,"4,498 萬"
古亭捷運新婚三房,台北市中正區同安街 同安大樓,華廈,41.7年,建坪34.20,3房(室)2廳2衛,2/7樓,"3,068 萬"
計畫區鋼骨豪宅,台北市信義區信義路五段 冠德遠見,住宅大樓,17.8年,建坪190.36,5房(室)3廳5衛,12/27樓,"24,000 萬"
台大美景樹海麗園,台北市大安區辛亥路二段 台大麗園,住宅大樓,42.7年,建坪76.83,4房(室)2廳2衛,2/26樓,"5,380 萬"
文山泳池綠意三房,台北市文山區辛亥路四段 南方藝術宮殿,住宅大樓,30.2年,建坪56.45,3房(室)2廳2衛,14/18樓,"3,188 萬"
天母裝潢精美美屋,台北市士林區中山北路六段 天母靜好,住宅大樓,3.5年,建坪50.67,2房(室)2廳2衛,3/14樓,"4,990 萬"
大直捷運靜巷一樓,台北市中山區大直街,店面,41.9年,建坪45.30,1房(室)3廳1衛(含加蓋--房(室)1廳--衛),1/5樓,"4,388 萬"
專任大直歌林花園,台北市中山區北安路 歌林華廈,華廈,31.8年,建坪51.54,3房(室)2廳2衛,5/9樓,"4,980 萬"
綠景美妝三房車位,台北市中山區通北街,華廈,27.4年,建坪50.15,3房(室)2廳2衛,7/9樓,"3,598 萬"
實踐大學靜巷公寓,台北市中山區大直街,公寓,48.8年,建坪36.09,6房(室)2廳3衛(含加蓋3房(室)--廳1衛),4/4樓,"2,788 萬"
新潤精緻豪邸坡車,台北市松山區寶清街 新潤峰耘,住宅大樓,7.9年,建坪49.33,3房(室)2廳2衛,5/13樓,"5,608 萬"
藍天凱悅絕美景觀,台北市大安區敦化南路二段 藍天凱悅,住宅大樓,39.9年,建坪40.67,5房(室)2廳3衛(含加蓋3房(室)--廳1衛),26/26樓,"6,000 萬"
信義安和捷運新宅,台北市大安區安和路二段 大安秘蜜/敦南WOW,華廈,4.5年,建坪23.25,--房(室)1廳1衛,6/7樓,"2,988 萬"
信義區達欣全新屋,台北市信義區吳興街 達欣信義文華,住宅大樓,0.8年,建坪47.45,2房(室)2廳2衛,9/13樓,"4,288 萬"
大安美妝三房車位,台北市大安區樂業街 十二富,住宅大樓,13.4年,建坪82.01,3房(室)2廳2衛,6/13樓,"6,880 萬"
附中朝南三房兩衛,台北市大安區建國南路一段 郵政新村,住宅大樓,38.6年,建坪26.39,3房(室)1廳2衛,6/12樓,"3,368 萬"
