物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
樹學院學區電梯景觀三房車,基隆市安樂區武崙街,華廈,3.6年,50.48,3房(室)2廳2衛,5/5樓,"1,820 萬"
樹學院學區電梯景觀三房車,基隆市安樂區武崙街,華廈,3.6年,50.48,3房(室)2廳2衛,5/5樓,"1,820 萬"
仁一路一樓(掌上明珠旁),基隆市信義區仁一路,公寓,31.8年,43.5,3房(室)2廳2衛,B1~1/5樓,998 萬
暖暖大坪數碧嵐大地挑高5米8四房加平面車位,基隆市暖暖區東勢街,電梯大樓,34.5年,82.67,4房(室)2廳2衛,3~4/12樓,"1,398 萬"
新橫濱夢悅城稀有2房車位露臺戶-R04*,基隆市中山區復興路,電梯大樓,1.7年,33.76,2房(室)2廳1衛,4/13樓,"1,150 萬"
新橫濱旁低公設電梯+車位,基隆市中山區復興路,華廈,16.0年,60.69,4房(室)2廳3衛,5/5樓,"2,480 萬"
專任《星河繪》質感生活提案．景觀２房車,基隆市中正區調和街,電梯大樓,6.7年,38.6,2房(室)2廳1衛,5/14樓,"1,058 萬"
信義區培德路 信義國中 2088路線 電梯華廈,基隆市信義區培德路,華廈,31.1年,29.11,3房(室)2廳1衛,4/7樓,828 萬
代官山尊榮大戶庭院透天,基隆市中正區新豐街,透天厝,17.4年,70.48,4房(室)2廳3衛,1~4/4樓,"2,380 萬"
基隆市七堵區七堵國小旁市中心金店面,基隆市七堵區崇智街,公寓,55.3年,20.94,1房(室)--廳1衛,1/3樓,"1,388 萬"
基隆孝三路仁愛商圈 邊間透天投資自住皆宜,基隆市仁愛區孝三路,透天厝,42.2年,115.52,#NAME?,1~5/5樓,"2,300 萬"
七堵郵局斜對面黃金曝光三角窗,基隆市七堵區明德一路,透天厝,37.8年,65.16,4房(室)2廳2衛,1~4/4樓,"4,200 萬"
大慶最前區2樓,基隆市安樂區中和路,公寓,27.3年,36.51,3房(室)2廳1衛,2/5樓,625 萬
基隆樹學院二房車雙學區哈佛學區宅,基隆市安樂區武崙街,華廈,3.6年,35.67,2房(室)2廳1衛,2/5樓,"1,190 萬"
信義城前區景觀房,基隆市信義區深溪路,華廈,7.9年,28.5,3房(室)2廳1衛,9/10樓,"1,030 萬"
夢悅景觀3房,基隆市中山區復興路,電梯大樓,1.7年,41.07,3房(室)2廳2衛,10/13樓,"1,468 萬"
絕版百三街前後採光大三房,基隆市七堵區百三街,公寓,46.3年,24.22,3房(室)2廳1衛,4/4樓,598 萬
大慶前區一樓住辦合一皆宜門面寬敞,基隆市安樂區中和路,公寓,28.1年,33.62,--房(室)2廳1衛,1/5樓,660 萬
百福水電更新邊間面河景棟距視野佳美宅四樓-R10,基隆市七堵區實踐路,公寓,44.7年,28.69,3房(室)2廳1衛,4/5樓,798 萬
近外木山低總價小資3房.格局方正.前後陽台,基隆市安樂區武聖街,公寓,35.4年,30.53,3房(室)1廳1衛,5/5樓,298 萬
基隆市中山區中華路溫馨裝潢採光屋,基隆市中山區中華路,公寓,43.9年,21.67,2房(室)2廳1衛,5/5樓,350 萬
綠葉山莊絕美透天別墅/大車庫,基隆市七堵區綠葉街,別墅,26.3年,79.68,3房(室)4廳2.5衛,B1~5/5樓,"1,650 萬"
基隆仁一路田寮河畔旁美寓三樓 三面採光格局方正,基隆市信義區仁一路,公寓,51.1年,25.03,3房(室)2廳1衛,3/4樓,730 萬
基隆市中正區我泉前區景觀綠意露臺平車,基隆市中正區新豐街,華廈,12.1年,82.01,3房(室)2廳2衛,1/6樓,"2,150 萬"
金閣樓中樓帝王視野戶,基隆市安樂區樂利三街,電梯大樓,31.1年,170.28,4房(室)3廳4衛,19~20/21樓,"3,980 萬"
附近有中山高速公路、露台採光明亮三房4,基隆市中正區中正路,華廈,1.1年,59.16,3房(室)2廳2衛,1/9樓,"2,297 萬"
附近有中山高速公路、全新電梯三房3,基隆市中正區中正路,華廈,1.1年,54.3,4房(室)2廳2衛,6/9樓,"2,175 萬"
附近有中山高速公路、稀有採光四房2,基隆市中正區中正路,華廈,1.1年,56.64,4房(室)2廳2衛,2/9樓,"2,035 萬"
附近有中山高速公路、全新裝潢美三房1,基隆市中正區中正路,華廈,1.1年,57.97,3房(室)2廳2衛,2/9樓,"2,363 萬"
17D基隆中山區面港口視野採光工業風兩房,基隆市中山區中山二路,公寓,31.0年,20.08,2房(室)2廳1衛,4/5樓,498 萬
暖暖琉璃園帝王景觀美3房/永久棟距,基隆市暖暖區東碇路,華廈,18.2年,35.84,3房(室)2廳2衛,8/8樓,"1,188 萬"
喜市潛力高.超旺店面-值得擁有,基隆市安樂區中和路,公寓,29.1年,31.78,3房(室)1廳1衛,1/5樓,900 萬
喜市潛力高.超旺店面-值得擁有,基隆市安樂區中和路,公寓,29.1年,31.78,3房(室)1廳1衛,1/5樓,900 萬
基隆市仁愛區低樓層生活機能佳精美公寓-R16#,基隆市仁愛區華四街,公寓,52.3年,25.94,2房(室)2廳1衛(另加蓋1房(室)--廳1衛),2/4樓,720 萬
附近有中山高、看海景裝潢精緻美三車位電梯七房,基隆市中正區中正路,電梯大樓,12.7年,176.02,7房(室)2廳5衛,3/13樓,"6,580 萬"
基隆信義區東光路自有地景觀庭院透天,基隆市信義區東光路,透天厝,49.9年,23.12,6房(室)3廳1衛,1~2/2樓,768 萬
基隆安樂陽光清境 超輕負擔4房公寓附車位,基隆市安樂區樂利三街,公寓,33.4年,44.49,4房(室)2廳2衛,4~5/5樓,698 萬
新豐街海洋前區亮麗美三房格局好採光佳,基隆市中正區新豐街,電梯大樓,29.6年,36.47,3房(室)2廳2衛,9/14樓,880 萬
暖暖寧靜街3房美寓/廳大/採光好,基隆市暖暖區寧靜街,公寓,43.2年,36.51,3房(室)2廳1衛,4/5樓,568 萬
