物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
捷運裝潢社區透天,新北市新莊區思源路 朕權第一期,透天厝,13.7年,建坪38.18,3房(室)3廳1.5衛(含加蓋--房(室)1廳--衛),1~2/2樓,"3,288 萬"
捷運裝潢社區透天,新北市新莊區思源路 朕權第一期,透天厝,13.7年,建坪38.18,3房(室)3廳1.5衛(含加蓋--房(室)1廳--衛),1~2/2樓,"3,288 萬"
新埔捷運方正公寓,新北市板橋區光武街,公寓,48.9年,建坪30.86,3房(室)2廳1衛,2/4樓,"1,350 萬"
永安捷運三房平車,新北市中和區宜安路 協和紀森活館,住宅大樓,11.8年,建坪51.59,3房(室)2廳2衛,7/13樓,"4,098 萬"
美河高樓景觀典藏,新北市新店區中央路 美河市,辦公商業大樓,12.9年,建坪62.60,3房(室)2廳2衛,15/29樓,"4,288 萬"
遠東科技園區二樓,新北市板橋區信義路,公寓,43.9年,建坪28.87,3房(室)2廳1衛,2/5樓,"1,250 萬"
東方富域白淨居,新北市板橋區縣民大道二段 東方富域,住宅大樓,14.8年,建坪106.61,3房(室)2廳3衛,10/30樓,"7,480 萬"
水丰景x臻藏席次,新北市三重區神農街,住宅大樓,5.5年,建坪34.70,3房(室)2廳2衛,13/15樓,"2,500 萬"
捷運景觀精美兩房,新北市三重區雙園街 唐璽花園綻,華廈,2.2年,建坪20.90,2房(室)2廳1衛,2/9樓,"1,780 萬"
半島綠意邊間三房,新北市汐止區樟樹二路 半島花園第1期,住宅大樓,7.6年,建坪52.73,3房(室)2廳2衛,3/15樓,"2,466 萬"
新都心富裔河大戶,新北市新店區復興路 國礎富裔河,住宅大樓,9.1年,建坪202.04,6房(室)2廳6.5衛,22~23/23樓,"11,500 萬"
民光角窗金店住辦,新北市永和區民光街,公寓,52.8年,建坪21.69,1房(室)2廳1衛,1/4樓,"2,200 萬"
大花園庭院一樓,新北市新店區玫瑰路 富貴園,公寓,35.9年,建坪49.80,4房(室)2廳3衛,B1~2/5樓,"1,580 萬"
合環永新A1露臺,新北市新店區永新街 合環永新,住宅大樓,3.5年,建坪114.37,4房(室)2廳3衛,13/14樓,"9,751 萬"
大坪林典藏複式宅,新北市新店區大豐路,公寓,54.6年,建坪21.78,4房(室)3廳2衛(含加蓋2房(室)1廳1衛),4/4樓,"1,398 萬"
景新氣派馬路金店,新北市中和區景新街 森鄰綠,店面,12.4年,建坪48.27,--房(室)1廳1衛,1/14樓,"2,688 萬"
雲頂之所三房車,新北市深坑區埔新街 台北好境,住宅大樓,15.1年,建坪46.37,3房(室)2廳2衛,11/11樓,"2,280 萬"
大坪林靜巷庭院居,新北市新店區大豐路,公寓,51.7年,建坪20.15,3房(室)2廳1衛,1/4樓,"1,580 萬"
富裔河河景雙車位,新北市新店區復興路 國礎富裔河,住宅大樓,9.1年,建坪123.62,3房(室)2廳3.5衛,13/23樓,"5,880 萬"
免千萬電梯大三房,新北市新店區安祥路 龍泉社區,住宅大樓,29.6年,建坪44.82,3房(室)2廳2衛,8/18樓,980 萬
世界H2-3樓,新北市土城區 金城舞5-世界花園,住宅大樓,#NAME?,建坪37.67,3房(室)2廳2衛,3/24樓,"2,450 萬"
重劃區旁三房車位,新北市新莊區昌平街 宏福新莊,住宅大樓,30.2年,建坪41.88,3房(室)2廳2衛,8/16樓,"1,950 萬"
宏福大戶四房車位,新北市新莊區昌平街 宏福新莊,住宅大樓,30.2年,建坪55.44,4房(室)2廳2衛,6/17樓,"3,200 萬"
碧潭獨戶晴光居所,新北市新店區新店後街,公寓,32.4年,建坪41.54,4房(室)2廳3衛,3/4樓,"1,950 萬"
近東湖電梯兩房宅,新北市汐止區中興路 汐止101/隱馥玉,住宅大樓,9.5年,建坪27.54,2房(室)2廳1衛,15/15樓,"1,930 萬"
白馬山河景觀大院,新北市汐止區忠二街 白馬山莊,透天厝,43.2年,建坪105.73,7房(室)3廳4衛(含加蓋1房(室)--廳--衛),1~2/2樓,"8,000 萬"
景秀天廈三房平車,新北市中和區景平路 景秀天廈,住宅大樓,32.8年,建坪67.19,3房(室)3廳2衛,12/12樓,"3,388 萬"
亞東黃金三樓收租,新北市土城區廣明街,公寓,48.3年,建坪22.87,4房(室)--廳4衛,3/4樓,"1,060 萬"
全新花現美好挑高,新北市板橋區信義路,店面,2.2年,建坪17.16,--房(室)2廳1衛,1/6樓,"1,880 萬"
南勢角正馬路金店,新北市中和區景新街 森鄰綠,店面,12.4年,建坪36.14,--房(室)1廳1衛,1/14樓,"2,118 萬"
正景新街面寬金店,新北市中和區景新街 森鄰綠,店面,12.4年,建坪84.42,--房(室)2廳2衛,1/14樓,"4,808 萬"
新埔捷運邊間美宅,新北市板橋區自由路,公寓,41.9年,建坪27.85,3房(室)2廳2衛,4/5樓,"1,780 萬"
新埔捷運邊間美宅,新北市板橋區自由路,公寓,41.9年,建坪27.85,3房(室)2廳2衛,4/5樓,"1,780 萬"
金城舞I5-8樓,新北市土城區 金城舞5-世界花園,住宅大樓,#NAME?,建坪31.05,#NAME?,8/24樓,"1,938 萬"
曠野明亮四房車位,新北市土城區學士路 金城舞2-都心花園,住宅大樓,2.6年,建坪53.14,4房(室)2廳2衛,4/19樓,"3,638 萬"
知名連鎖三角店面,新北市汐止區中興路 傳家堡,店面,24.9年,建坪87.83,#NAME?,1/12樓,"6,500 萬"
正中興路黃金店面,新北市汐止區中興路,店面,33.9年,建坪92.34,--房(室)2廳2衛(含加蓋--房(室)--廳2衛),1~2/7樓,"10,888 萬"
捷運宏泰自治一樓,新北市新莊區自治街,公寓,49.3年,建坪17.87,2房(室)1廳1衛,1/4樓,"1,388 萬"
