物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
A7頤昌璞岳中高樓兩房車,桃園市龜山區文桃路,電梯大樓,3.1年,35.84,2房(室)2廳1衛,7/14樓,"1,468 萬"
A7頤昌璞岳中高樓兩房車,桃園市龜山區文桃路,電梯大樓,3.1年,35.84,2房(室)2廳1衛,7/14樓,"1,468 萬"
銘傳商圈透天店面收租9套房,桃園市龜山區大同路,透天厝,30.3年,56.27,9房(室)--廳9衛,1~4/4樓,"1,498 萬"
A7華悅城黃金CP值店面,桃園市龜山區樂善二路,電梯大樓,3.0年,41.68,#NAME?,1/17樓,"2,500 萬"
近藝文特區經國亞緻景觀二房+平面車位,桃園市桃園區慈文路,電梯大樓,14.6年,38.06,2房(室)2廳1衛,6/12樓,"1,480 萬"
楊梅金山重劃區楊明國小交流道兩房車,桃園市楊梅區金山街,電梯大樓,11.9年,37.48,2房(室)2廳1衛,9/12樓,988 萬
新屋臨路大面寬交通用地,桃園市新屋區大牛欄段大牛欄小段,土地,N/A,--,#NAME?,#NAME?,"9,860 萬"
青埔新潤A18邊間格局視野景觀三房車,桃園市中壢區春德路,電梯大樓,5.9年,39.41,3房(室)2廳1衛,10/15樓,"2,288 萬"
A7【玄泰T1】坐北朝南棟距佳高樓事務所,桃園市龜山區樂善二路,電梯大樓,N/A,35.81,#NAME?,22/25樓,"1,205 萬"
【大亮泊】高樓景觀房A10棟-21樓,桃園市龜山區文化一路,電梯大樓,N/A,36.44,3房(室)2廳1衛,21/26樓,"1,260 萬"
近鳳鳴龜山工業區台北新都挑高,桃園市桃園區桃鶯路,廠房,31.9年,38.14,#NAME?,3/8樓,898 萬
大地坪雙車位透天~八德廣豐商區 捷運綠線G05站,桃園市八德區大義街,透天厝,28.4年,53,7房(室)3廳6衛,1~3/3樓,"2,180 萬"
平鎮收租透天7套房鉑金閱,桃園市平鎮區南豐路,透天厝,13.4年,78.9,7房(室)--廳7衛,1~4/4樓,"1,998 萬"
A7【櫻花澍】體大捷運站衛浴開窗兩房車位,桃園市龜山區文青二路,電梯大樓,3.3年,36.79,2房(室)2廳1衛,4/14樓,"1,598 萬"
看見幸福御丰大三房+雙車(近G01捷運),桃園市八德區建德路,電梯大樓,9.1年,77.52,3房(室)3廳2衛,10/25樓,"3,358 萬"
巴黎世家三房,桃園市桃園區國際路一段,華廈,30.8年,37.96,3房(室)2廳2衛,7/10樓,"1,198 萬"
內壢成章三街超大地坪獨棟田園六房大別墅+大農地,桃園市中壢區成章三街,別墅,11.0年,84.22,6房(室)2廳5衛,1~4/4樓,"4,950 萬"
草漯次頂景觀戶-精緻裝潢正3房車,桃園市觀音區福祥街,華廈,6.4年,35.41,3房(室)2廳2衛,6/7樓,958 萬
台北檳城景觀雙主臥美三房車~樓層挑高 三面採光,桃園市桃園區民有東路,電梯大樓,31.2年,44.32,3房(室)2廳2衛,10/14樓,"1,458 萬"
吉品3房+車【屋況優】 近未來捷運G9站,桃園市桃園區埔新路,電梯大樓,19.1年,44.69,3房(室)2廳2衛,13/13樓,"1,550 萬"
{潤泰大家}邊間挑高景觀3房車~近小檜溪大業商圈,桃園市桃園區春日路,電梯大樓,25.9年,47.43,3房(室)2廳2衛,10/24樓,"1,398 萬"
楊梅區、埔心車站方正大面寬臨路8米建地,桃園市楊梅區草湳坡段埔心小段,土地,N/A,--,#NAME?,#NAME?,"2,468 萬"
青埔A19璟都V PARK美裝潢優質三房車,桃園市中壢區永裕路,電梯大樓,5.8年,46.98,3房(室)2廳2衛,4/13樓,"1,948 萬"
南崁星馳市｜交通機能學區首選優質三房大平車,桃園市蘆竹區忠孝西路,電梯大樓,29.4年,38.57,3房(室)2廳1衛,11/16樓,"1,098 萬"
遠雄龍岡2+1房+平面車位 邊間採光 前後陽台,桃園市平鎮區中正三路,電梯大樓,10.0年,56.44,3房(室)2廳2衛,7/19樓,"1,620 萬"
獨家！鴻禧山莊．名人首選．天下第一莊,桃園市大溪區向榮街,別墅,32.2年,78.25,5房(室)3廳3衛,1~2/2樓,"3,280 萬"
A8林口長庚華亞「東京經貿」首選優質辦公,桃園市龜山區文興路,電梯大樓,32.8年,82.14,#NAME?,3/11樓,"3,688 萬"
G04香榭儷舍稀有高樓層景觀戶三房車,桃園市八德區和平路,電梯大樓,12.3年,44.95,3房(室)2廳2衛,6/12樓,"1,988 萬"
景觀《文華天際》３房車,桃園市龜山區華亞三路,電梯大樓,1.7年,49.21,3房(室)2廳2衛,13/22樓,"2,288 萬"
歐洲學苑三面採光二房車稀有次頂樓~格局方正空間好,桃園市八德區金和路,電梯大樓,18.2年,36.61,2房(室)2廳1衛,14/15樓,"1,498 萬"
楊梅後站童話森林前院停車優質別墅,桃園市楊梅區三陽路,別墅,18.4年,45.48,4房(室)2廳3衛,1~3/3樓,"1,398 萬"
銘傳建地(一),桃園市龜山區大同段,土地,N/A,--,#NAME?,#NAME?,"5,500 萬"
銘傳建地(一),桃園市龜山區大同段,土地,N/A,--,#NAME?,#NAME?,"5,500 萬"
大業國小(朝陽邑)明亮3房華廈-主臥衛浴開窗,桃園市桃園區民富三街,華廈,31.2年,42.5,3房(室)2廳2衛,4/6樓,"1,038 萬"
新屋中山西路旁 方正美農地,桃園市新屋區東勢段甲頭厝小段,土地,N/A,--,#NAME?,#NAME?,"1,528 萬"
楊梅幼獅交流道|鼎藏大硯高樓2房平車,桃園市楊梅區青山一街,電梯大樓,6.9年,38.44,2房(室)2廳1衛,12/15樓,968 萬
慈文路1-3樓透天店面土地32坪~近中正路,桃園市桃園區慈文路,透天厝,47.8年,77.64,4房(室)3廳3衛,1~3/3樓,"2,980 萬"
