鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
內湖區,房地(土地+建物),臺北市內湖區內湖路一段１巷３弄９號五樓,27.18,1140203,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690126,95.04,3,2,1,有,無,20125000,211753,,0,0,RPPNMLLKKHKGFCA96DA,86.2,0,8.84,無
中山區,房地(土地+建物),臺北市中山區林森北路６７巷１２３號,16.52,1140210,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,,43.7,7,3,4,有,無,5690000,130206,,0,0,RPRNMLKKKHKGFCA17EA,43.7,0,0,無
大同區,房地(土地+建物)+車位,臺北市大同區承德路二段１９５號,12.99,1140203,土地2建物1車位1,一層，騎樓,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860331,90.19,0,0,0,無,有,26000000,288280,坡道機械,0,0,RPTNMLLKKHKGFBA27DA,61.05,0,5.61,有
中正區,房地(土地+建物),臺北市中正區汀州路三段２２１號七樓,1.6,1140204,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701119,8.37,2,2,1,有,有,2450000,292712,,0,0,RPXNMLMKKHKGFAA67DA,5.46,0,1.11,有
中山區,房地(土地+建物),臺北市中山區新生北路二段７３號七樓之２,3.78,1140205,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680301,17.8,0,0,0,無,有,5200000,292135,,0,0,RPQNMLQJKHKGFCA47DA,12.36,0,2.15,有
中山區,房地(土地+建物),臺北市中山區雙城街１９巷８號十四樓之２,7.14,1140201,土地2建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970312,68,1,1,1,有,有,17800000,261765,,0,0,RPUNMLKKKHKGFCA37DA,39.7,0.63,5.18,有
信義區,房地(土地+建物),臺北市信義區基隆路一段３５巷５弄４４號,4.58,1140205,土地2建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0601228,12.71,3,1,1,有,無,1050000,82612,,0,0,RPOPMLQLKIJGFDA87EA,12.7,0,0,無
松山區,房地(土地+建物),臺北市松山區敦化北路１６５巷４號九樓,6.08,1140206,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790524,23.9,3,1,2,有,有,3900000,163180,,0,0,RPQNMLMLJHKGFDA37EA,17.91,0,2.08,有
大安區,房地(土地+建物),臺北市大安區和平東路一段１６號十一樓之１,2.42,1140205,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760303,29.38,4,2,2,有,有,2366179,80537,,0,0,RPQNMLNKKHKGFFA67EA,19,0,5.09,有
大安區,房地(土地+建物),臺北市大安區和平東路一段１６號十一樓之１,12.12,1140205,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760303,146.9,4,2,2,有,有,11830899,80537,,0,0,RPRNMLNKKHKGFFA77EA,95.03,0,25.45,有
信義區,房地(土地+建物),臺北市信義區松山路２９２巷１５號,7.93,1140206,土地1建物1車位0,全,二層,透天厝,,加強磚造,0540315,12.71,2,2,2,有,無,4320000,339890,,0,0,RPWPMLOKKHKGFDA28DA,12.71,0,0,無
大安區,房地(土地+建物),臺北市大安區光復南路２４０巷１號,33.39,1140204,土地2建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0670605,191.05,1,0,1,有,有,66600000,348600,,0,0,RPVPMLNKKHKGFFA28DA,151.34,13.96,0,有
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段１７８號十八樓之３,20.57,1140205,土地1建物1車位2,十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1070223,308.55,3,2,2,有,有,87330000,328860,坡道平面,58.2,5000000,RPQNMLRKKHKGFCA67DA,145.14,6.71,18.1,有
