鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
中西區,房地(土地+建物),臺南市中西區金華路三段２５２號十二樓之１２,3.11,1140204,土地2建物1車位0,十二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870219,35.15,1,0,1,有,有,1180000,33570,,0,0,RPTNMLRJKHKGFAD97DA,22.65,0.31,2.71,有
中西區,房地(土地+建物),臺南市中西區金華路三段２５２號十二樓之１３,3.11,1140204,土地2建物1車位0,十二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870219,35.23,1,0,1,有,有,1200000,34062,,0,0,SPTNMLRJKHKGFAD08DA,22.73,0.31,2.71,有
永康區,建物,臺南市永康區尚頂里中正二街１６２巷２６號,0,1140203,土地0建物1車位0,全,一層,透天厝,工業用,鋼造,0771209,165.28,0,0,0,無,無,200000,1210,,0,0,RPOOMLKKKHKGFKD97DA,165.28,0,0,無
鹽水區,房地(土地+建物),臺南市鹽水區尾寮１０之１３號,122.7,1140204,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830413,136.4,3,1,3,有,無,6200000,45455,,0,0,RPRNMLSJKHKGFDD18DA,120.54,0,15.86,無
安南區,房地(土地+建物),臺南市安南區本原街三段２５８巷１６號,100.2,1140202,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130530,160.62,4,2,4,有,無,19580000,121903,,0,0,RPTNMLMKKHKGFBD67DA,141.62,0,19,無
安南區,房地(土地+建物),臺南市安南區海佃路二段６０７號,77.32,1140205,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0780906,101.42,4,2,3,有,無,7280388,71785,,0,0,RPPNMLNKKHKGFBD37DA,92.01,0,9.41,無
安平區,房地(土地+建物),臺南市安平區安平路７７２號,31.41,1140201,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0990108,71.67,0,3,3,有,無,11000000,153481,,0,0,RPSPMLLKKHKGFAD57DA,62.89,1.3,7.48,無
北區,房地(土地+建物)+車位,臺南市北區臨安路二段２５６號十二樓之１,8.5,1140204,土地1建物1車位1,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890406,100.86,4,1,2,有,有,3600000,35693,坡道平面,22.81,0,RPQNMLRKKHKGFAD77DA,55.91,0,6.83,有
安南區,房地(土地+建物),臺南市安南區海前路２６６號,136.19,1140204,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130905,369.49,4,3,5,有,無,40000000,108257,,0,0,RPOPMLOJKHKGFBD47DA,341.77,0,27.72,有
南區,房地(土地+建物),臺南市南區公英一街１５巷２３之４號,24.75,1140207,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710320,82.11,3,1,1,有,無,2500000,30447,,0,0,RPTNMLNKKHKGFCD87DA,62.91,0,7.86,無
中西區,房地(土地+建物),臺南市中西區青年路２２６巷４號,112.25,1140210,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土補強柱,0510131,164.58,0,0,0,無,無,18000000,109369,,0,0,RPSNMLSKKHKGFAD08DA,164.58,0,0,無
中西區,房地(土地+建物),臺南市中西區民族路二段１７３巷６號五樓之１０,4.57,1140205,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821228,27.24,1,1,1,有,無,2730000,100220,,0,0,RPTNMLSKKHKGFAD18DA,16.3,0.69,3,有
楠西區,房地(土地+建物),臺南市楠西區民生路１５３號,119.04,1140213,土地1建物1車位0,全,二層,透天厝,住家用,ＲＣ造,0820115,149.36,4,1,3,有,無,4200000,28120,,0,0,RPRNMLSKKHKGFJD88DA,122.4,23,3.96,無
永康區,房地(土地+建物),臺南市永康區忠街１１８號四樓之１６,4.21,1140210,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0950918,17.51,1,1,1,有,有,1300000,74243,,0,0,RPSNMLSKKHKGFKD09DA,8.43,0.35,0,有
