鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
內門區,房地(土地+建物),高雄市內門區內埔６０之１號,26.16,1140203,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0750731,25.95,2,2,2,有,無,400000,15414,,0,0,RPQNMLNJKHKGFHE08DA,25.95,0,0,無
楠梓區,房地(土地+建物),高雄市楠梓區安泰街１８２巷３號六樓之１１,6.67,1140206,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土結構造,0930413,30.55,0,0,0,無,有,2080000,68085,,0,0,RPPOMLQJKHKGFEE08DA,6.19,0,1.38,有
前鎮區,房地(土地+建物),高雄市前鎮區光華二路３９５號十二樓之４,4.37,1140203,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830816,35.34,1,1,1,有,有,2450000,69327,,0,0,RPSOMLNJKHKGFCE87DA,22.46,0,5.01,有
楠梓區,房地(土地+建物),高雄市楠梓區朝明路１３０巷５號七樓之２,20.27,1140203,土地3建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820208,107.69,0,0,0,無,有,6800000,63144,,0,0,RPPOMLSJKHKGFEE28DA,76.54,0,4.81,有
三民區,房地(土地+建物)+車位,高雄市三民區九如一路５８號十樓之２,37,1140203,土地2建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0801218,205.73,3,1,0,有,有,8980000,43649,坡道平面,0,0,RPQOMLNJKHKGFDE77DA,149.04,0,0,有
楠梓區,房地(土地+建物),高雄市楠梓區金田街５５巷２號,140,1140201,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0650925,189.48,6,2,4,有,無,8000000,42221,,0,0,RPQNMLLKKHKGFEE67DA,181.12,0,8.36,無
前鎮區,建物,高雄市前鎮區復興四路１２號十二樓之３,0,1140205,土地0建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0970201,351.47,0,0,0,無,有,17550000,49933,坡道平面,30.51,0,RPQNMLKKKHKGFCE47EA,180.57,0,0,有
左營區,房地(土地+建物),高雄市左營區後街６０號,56,1140203,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0780901,161.02,4,1,3,有,無,6000000,37262,,0,0,RPPNMLLKKHKGFEE67EA,161.02,0,0,無
左營區,房地(土地+建物)+車位,高雄市左營區文康路１２９巷３２號八樓,14.96,1140205,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861218,120.48,3,2,2,有,有,8500000,70551,坡道平面,13.07,0,RPQNMLLKKHKGFEE77EA,69.78,1.32,12.06,有
苓雅區,房地(土地+建物),高雄市苓雅區正大路４９號,9.72,1140206,土地1建物1車位0,一層，二層，騎樓,十三層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0831123,62.56,2,2,2,有,有,4000000,63939,,0,0,RPVNMLKKKHKGFBE77DA,46.9,2.19,2.92,有
