鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
西區,房地(土地+建物),臺中市西區臺灣大道一段７０３號十樓之３,1.85,1140802,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720407,19.01,1,0,1,有,有,2350000,123619,,0,0,RPOPMLPJQHKGFAB87DA,14.3,0,0,有
豐原區,房地(土地+建物),臺中市豐原區直興街１２９巷９號四樓之７,11.06,1140801,土地2建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,841020,99.61,3,2,2,有,有,800000,8031,,0,0,RPWNMLSJQHKGFDB09DA,62.61,0,10.17,有
龍井區,房地(土地+建物)+車位,臺中市龍井區龍山街１４６號三樓,18.54,1140802,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840310,116.44,3,2,2,有,有,6250000,53676,坡道平面,0,0,RPPNMLSJQHKGFKB09DA,72.99,0,4.76,有
北區,房地(土地+建物),臺中市北區益華街１５１之３號,26.3,1140805,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700505,96.53,3,2,2,有,無,5990000,62053,,0,0,RPPNMLLKQHKGFBB67EA,89.24,0,7.29,無
西區,房地(土地+建物),臺中市西區臺灣大道一段７０３號八樓之３,1.95,1140802,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720407,19.01,0,0,0,無,有,2300000,120989,,0,0,RPPPMLPJQHKGFAB97DA,14.3,0,0,有
北屯區,房地(土地+建物),臺中市北屯區太原路三段２４３巷２號四樓之３之１,4.39,1140802,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,821214,25.14,1,1,1,有,有,2380000,94670,,0,0,RPVPMLOJQHKGFBB58DA,14.82,1.43,0,有
西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路三段１６６之１００號十七樓之５,11.88,1140801,土地1建物1車位1,十七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031119,116.46,2,2,1,有,有,15160000,130173,坡道機械,19.87,0,RPWNMLMKQHKGFCB48DA,55.67,2.63,5.62,有
沙鹿區,房地(土地+建物),臺中市沙鹿區臺灣大道七段４３２巷６６弄１７號四樓,8.23,1140802,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,960109,19.95,1,0,1,有,有,1650000,82707,,0,0,RPOOMLPJQHKGFFB28DA,13.79,0,1.96,有
沙鹿區,房地(土地+建物),臺中市沙鹿區興安路６４之３號五樓之１０,4.46,1140808,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090825,14.33,1,1,1,有,有,1500000,104676,,0,0,RPVOMLMKQHKGFFB78DA,7.64,0,1.58,有
霧峰區,房地(土地+建物),臺中市霧峰區樟公北巷６０弄３３號,124.71,1140801,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,841122,218.06,4,3,3,有,無,7000000,32101,,0,0,RPOOMLNKQHKGFIB48DA,171.97,36.49,0,無
