鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
大同區,房地(土地+建物),臺北市大同區庫倫街４８之４號三樓,27.4,1140801,土地2建物1車位0,三層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,771205,143.27,3,2,2,有,無,31000000,216375,,0,0,RPPNMLPJQHKGFBA87EA,112.88,0.7,12.05,有
文山區,房地(土地+建物),臺北市文山區興隆路三段２２１巷４弄１６號二樓,9.83,1140805,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690910,16.5,3,2,2,有,有,1500000,90909,,0,0,RPQNMLRJQHKGFAA08EA,13.86,0,2.63,無
信義區,房地(土地+建物),臺北市信義區松山路２０７巷４弄７號二樓,21.88,1140804,土地2建物1車位0,二層，陽臺,四層,公寓(5樓含以下無電梯),住家用,加強磚造,581210,58.3,3,2,1,有,無,11000000,188679,,0,0,RPUOMLRKPHKGFDA88EA,58.3,0,0,無
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段３６巷７號三樓,42.71,1140811,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050311,257.9,2,2,2,有,有,61880000,239938,坡道平面,0,0,RPQNMLLKQHKGFEA97EA,123.35,11.68,12.94,有
文山區,房地(土地+建物),臺北市文山區興隆路三段６９號六樓之５,15.78,1140803,土地2建物1車位0,六層，電梯樓梯間,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851030,45.69,1,1,1,有,有,12000000,262640,,0,0,RPROMLOJQHKGFAA87DA,35.33,0,0,有
南港區,房地(土地+建物),臺北市南港區重陽路６３號二樓之７,9.36,1140801,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,1000901,39,1,1,1,有,有,11000000,282051,,0,0,RPQNMLLKQHKGFDA77DA,21.49,3.2,0,有
松山區,房地(土地+建物),臺北市松山區八德路四段７２巷１２弄６號,7.12,1140808,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,加強磚造,590219,26.73,5,1,1,有,無,2445000,91470,,0,0,RPTOMLSJQHKGFDA78DA,26.73,0,0,無
南港區,房地(土地+建物)+車位,臺北市南港區向陽路１２０巷２弄２７號十樓,17.73,1140805,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131106,149.68,3,2,2,有,有,40000000,329915,坡道平面,37.53,3000000,RPTOMLRJQHKGFDA68DA,73.59,3.72,6.24,有
大安區,房地(土地+建物),臺北市大安區通安街７１號三樓之１,2.27,1140802,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,701229,11.74,0,0,0,無,有,2686000,228790,,0,0,RPPNMLPJQHKGFFA18DA,10.2,0,0,有
士林區,房地(土地+建物),臺北市士林區中山北路五段８２９巷３０號三樓,14.24,1140808,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690506,51.46,3,2,2,有,無,8500000,165177,,0,0,RPQNMLSKQHKGFEA68EA,42.95,0,8.51,無
大安區,房地(土地+建物),臺北市大安區信義路三段３１巷１２號六樓,3.7,1140805,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140305,19.77,1,1,1,有,有,7475000,378098,,0,0,RPSNMLNKQHKGFFA48EA,11.19,0,1,有
萬華區,房地(土地+建物),臺北市萬華區成都路１３５號十樓之６,3.08,1140801,土地10建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,701228,28.13,0,0,0,無,有,5500000,195521,,0,0,RPWNMLLKQHKGFBA18DA,20.59,0,0,有
中山區,房地(土地+建物)+車位,臺北市中山區建國北路一段４１號九樓之５,9.91,1140805,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960913,106.22,2,2,2,有,有,30000000,275575,塔式車位,2.8,1500000,RPPNMLKKQHKGFCA47DA,55.72,0,14.11,有
中山區,房地(土地+建物),臺北市中山區長春路４０號十樓之５,5.43,1140805,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,730326,62.96,0,0,0,無,有,13600000,216010,,0,0,RPPNMLNKQHKGFCA77DA,48.07,0,0,有
