鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
北區,建物,臺南市北區公園路８６２巷３號,0,1140904,土地0建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,751024,29.79,1,0,1,有,無,3000000,100705,,0,0,RPSNMLRJRHKGFAD58DA,29.79,0,0,無
中西區,房地(土地+建物),臺南市中西區健康路一段１４０巷１號二樓之２,34.01,1140801,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700204,120.87,4,2,3,有,無,5700000,47158,,0,0,RPPNMLRJQHKGFAD18DA,101.27,0,0,無
安平區,房地(土地+建物),臺南市安平區慶平路３８８號九樓之３,1.8,1140802,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831216,21.68,1,0,1,有,有,1800000,83026,,0,0,RPROMLLKQHKGFAD97DA,14.16,0,1.94,有
新化區,房地(土地+建物),臺南市新化區信義路１１７巷１１之２號,82.53,1140805,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,710505,95.81,4,2,3,有,無,2300000,24006,,0,0,RPPNMLOKQHKGFHD78EA,95.81,0,0,無
中西區,房地(土地+建物),臺南市中西區頂美一街７號三樓之１５,7.18,1140806,土地1建物1車位0,三層，陽台,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,661202,33.93,1,1,1,有,有,2000000,58945,,0,0,RPSNMLRJQHKGFAD48DA,27.78,0,0,有
安南區,房地(土地+建物),臺南市安南區總安街一段１４６巷８５弄１８號,109.52,1140803,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,950209,223.44,6,2,3,有,無,16300000,72950,,0,0,RPPNMLOKQHKGFBD08DA,206.13,0,17.31,無
新營區,房地(土地+建物),臺南市新營區新北里１１鄰三興街３０１巷７６號,83.17,1140806,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,690712,91.62,3,2,2,有,無,2700000,29470,,0,0,RPPNMLOKQHKGFDD28DA,91.62,0,0,無
北區,房地(土地+建物),臺南市北區開元路１８３巷６號三樓之３,22.98,1140802,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造、鋼骨造,1130711,97.05,3,2,2,有,有,12990000,133849,,0,0,RPRNMLPJQHKGFAD18DA,59.64,0,7.72,有
安平區,房地(土地+建物)+車位,臺南市安平區國平北路１３７號二十六樓之８,7.89,1140809,土地1建物1車位1,二十六層,三十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造、鋼筋混凝土造,1140415,112.56,2,2,1,有,有,7650000,67964,坡道平面,27.92,0,RPWNMLOKQHKGFAD68DA,48.71,0,6.35,有
東區,房地(土地+建物),臺南市東區府連路２６０巷２弄１０號,25.3,1140804,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,621206,40.3,4,1,2,有,無,1250000,31017,,0,0,RPPOMLMKQHKGFCD08DA,40.3,0,0,無
東區,房地(土地+建物)+車位,臺南市東區德高街７８號五樓,27.29,1140802,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,821118,150.77,3,2,1,有,有,7060000,46826,升降平面,0,0,RPWNMLOKQHKGFCD88DA,67.75,0,11.18,有
東區,房地(土地+建物),臺南市東區中華東路三段４４巷４３號三樓,30.93,1140802,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,810904,118.43,2,2,2,有,無,7960000,67213,,0,0,RPXOMLOKQHKGFCD09DA,86.07,0,6.35,有
