鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
中和區,房地(土地+建物),新北市中和區福美路３０１巷３７號四樓,27.9,1140901,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,661105,68.2,4,2,2,有,無,7250000,106305,,0,0,RPPNMLPJRHKGFHF09EA,68.2,0,0,無
新店區,房地(土地+建物),新北市新店區中央七街１２２之１號六樓,30.1,1140804,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1130723,132.52,3,2,2,有,有,33500000,252792,,0,0,RPPNMLRJQHKGFCF68EA,63.15,0,8.46,有
永和區,房地(土地+建物)+車位,新北市永和區秀朗路一段８０號十四樓之七,22.37,1140808,土地1建物1車位2,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851018,164.8,3,1,1,有,有,5000000,30340,坡道平面,0,0,RPROMLLKQHKGFHF98EA,70.54,2.36,8.71,有
三峽區,房地(土地+建物),新北市三峽區紫新路３８巷５號,105.16,1140805,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,710918,122.49,3,2,3,有,無,2000000,16328,,0,0,RPVNMLSJQHKGFIF37EA,96.93,10.92,14.64,無
五股區,房地(土地+建物)+車位,新北市五股區登林路９６號十樓之一,10.45,1140806,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080215,70.48,2,1,1,有,有,7650000,108557,坡道平面,15.89,0,RPRNMLNJQHKGFBF28DA,32.54,2.62,1.53,有
淡水區,房地(土地+建物),新北市淡水區大忠街１１７號六樓之６,5,1140803,土地1建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830629,30.57,1,1,1,有,有,3430000,112202,,0,0,RPRNMLLKQHKGFEF48DA,20.93,0,0,有
中和區,房地(土地+建物),新北市中和區中興街２０４號七樓,5.62,1140801,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971009,45.68,2,1,1,有,有,7500000,164186,,0,0,RPUNMLLKQHKGFHF09DA,27.91,1.97,1.47,有
新店區,房地(土地+建物)+車位,新北市新店區寶興路４５巷２弄５６號六樓,35.08,1140801,土地1建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980922,256.41,3,2,2,有,有,36000000,140400,坡道平面,68.31,0,RPPNMLMKQHKGFCF28EA,114.71,8.15,12.85,有
新店區,房地(土地+建物),新北市新店區中央七街１２２之１號四樓,30.1,1140809,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1130723,132.52,3,2,2,有,有,32000000,241473,,0,0,RPQNMLNKQHKGFCF48EA,63.15,0,8.46,有
淡水區,房地(土地+建物),新北市淡水區沙崙路２１６巷１１號三樓,6.92,1140801,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840704,33.53,1,0,1,有,有,3040000,90665,,0,0,RPVNMLLKQHKGFEF98EA,19.44,0,4.71,有
