鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
八德區,房地(土地+建物),桃園市八德區豐德路４０巷１８弄４９號,69.04,1140903,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,940801,177.16,4,2,3,有,有,12980000,73267,,0,0,RPQNMLPJRHKGFFH56EA,171.16,0,6,無
龜山區,房地(土地+建物),桃園市龜山區文德二路１４８巷１０號,29.22,1140901,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830422,103.86,3,2,2,有,無,13500000,129983,,0,0,RPPNMLSJRHKGFHH96EA,82.99,11.53,0,有
龜山區,房地(土地+建物),桃園市龜山區大同路２３６巷４０號二樓之６,6.33,1140804,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,941224,28.9,1,0,1,有,有,3090000,106920,,0,0,RPQNMLRJQHKGFHH76DA,14.74,0.73,1.6,有
觀音區,房地(土地+建物)+車位,桃園市觀音區大觀路三段６６１之１號四樓,24.12,1140801,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850416,91.38,3,2,1,有,有,3000000,32830,坡道平面,0,0,RPPOMLSJQHKGFBH88DA,45.02,0,3.64,有
桃園區,房地(土地+建物)+車位,桃園市桃園區愛國街９號五樓,15.32,1140801,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140528,115.13,1,1,1,有,有,9560000,118107,坡道平面,48.58,1700000,RPSPMLLKQHKGFAH58DA,39.39,0,4.35,有
中壢區,房地(土地+建物),桃園市中壢區中園路二段１４３之１７號二樓,6.45,1140805,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850315,38.32,1,1,1,有,有,2300000,60021,,0,0,RPUNMLQJQHKGFBH09DA,23.81,1.44,4.54,有
觀音區,房地(土地+建物),桃園市觀音區草新一路３５６號三樓,15.27,1140801,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131213,73.8,1,1,1,有,有,5800000,78591,,0,0,RPWQMLLKQHKGFBH56DA,45.51,0,3.43,有
大溪區,房地(土地+建物),桃園市大溪區復興路１６６號七樓,23.84,1140801,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830201,148.17,4,2,2,有,無,4000000,26996,,0,0,RPQOMLLKQHKGFCH48DA,101.94,0.75,17.48,有
楊梅區,房地(土地+建物),桃園市楊梅區湖山街１８巷５０號３樓,46.77,1140803,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,850917,71.88,2,2,1,有,有,3200000,44519,,0,0,RPWOMLOJQHKGFDH76DA,57.85,0.72,7.15,無
桃園區,房地(土地+建物)+車位,桃園市桃園區中華路１１７號二十三樓之１０,13.66,1140806,土地1建物1車位1,二十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091201,155.58,3,2,2,有,有,16000000,116202,坡道平面,34.24,1900000,RPPNMLMKQHKGFAH28EA,73.86,0,7.89,有
