鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
大寮區,房地(土地+建物),高雄市大寮區鳳林路四段６３１巷６６號,69,1140901,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,820420,181.87,3,2,3,有,無,5000000,27492,,0,0,RPTNMLOJRHKGFLE96DA,162.56,5.85,13.46,無
小港區,房地(土地+建物),高雄市小港區大平路８８巷１２號,102.54,1140804,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土,1140213,217.8,5,2,5,有,無,16800000,77135,,0,0,RPPNMLOJQHKGFCE18DA,195.54,0,22.26,無
苓雅區,房地(土地+建物),高雄市苓雅區自強三路５號十八樓之１８,1.33,1140801,土地2建物1車位0,十八層,八十五層,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,880401,34.91,1,1,1,有,有,1750000,50129,,0,0,RPVNMLQJQHKGFBE88DA,19.43,0,4.89,有
岡山區,房地(土地+建物),高雄市岡山區大仁南路１３７巷２６號三樓,15.45,1140804,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850513,100.02,3,1,2,有,有,5200000,51990,,0,0,RPPNMLSJQHKGFFE98EA,68.94,1.85,7.75,有
楠梓區,房地(土地+建物),高雄市楠梓區興楠路１５１巷６６弄１８之３號,5.1,1140804,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700529,21.64,3,2,2,有,無,300000,13863,,0,0,RPPNMLLKQHKGFEE18DA,21.64,0,0,無
鳳山區,建物,高雄市鳳山區新生街１０６之２號,0,1140801,土地0建物1車位0,全,二層,透天厝,住家用,加強磚造,630525,109.2,4,2,4,有,無,230000,2106,,0,0,RPSOMLLJQHKGFGE68DA,109.2,0,0,無
大社區,房地(土地+建物),高雄市大社區金龍路３０５號,83,1140801,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,740602,158.78,9,2,4,有,無,15000000,94470,,0,0,RPPNMLPJQHKGFIE88DA,158.78,0,0,無
大寮區,房地(土地+建物),高雄市大寮區大寮路６０８巷２８號,30.75,1140801,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,630905,28.64,4,2,2,有,無,500000,17458,,0,0,RPTNMLLJQHKGFLE56DA,28.64,0,0,無
內門區,房地(土地+建物),高雄市內門區菜園頂８之５號,1049.9,1140802,土地1建物1車位0,全,一層,透天厝,農業用,鋼骨混凝土造,890222,82.5,7,2,3,有,無,4000000,48485,,0,0,RPPNMLRJQHKGFHE98DA,82.5,0,0,無
前金區,房地(土地+建物),高雄市前金區大同一路２９０號十一樓,4.17,1140803,土地1建物1車位0,十一層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土造,1070904,65.05,2,1,1,有,有,6800000,104535,,0,0,RPTNMLMKQHKGFAE28DA,37.38,0,5,有
