鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
北區,房地(土地+建物),臺中市北區美德街３６之７號,8.21,1140503,土地2建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,701218,78.43,3,0,3,有,有,6650000,84789,,0,0,RPWVMLTJNHKGFBB86DA,74.28,0,4.15,有
北屯區,房地(土地+建物)+車位,臺中市北屯區南興三路３０９號三樓之３,63.16,1140501,土地1建物1車位2,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130829,228.64,3,2,2,有,有,21370000,93466,坡道平面,0,0,RPPNMLKKNHKGFBB17DA,103.3,0,7.51,有
龍井區,房地(土地+建物),臺中市龍井區新興路２９之４９號,6.1,1140503,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770801,23.96,1,0,1,有,有,1600000,66778,,0,0,RPRNMLTJNHKGFKB09DA,15.85,1.47,0,無
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十三路１１７號二樓之５,19.47,1140508,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030915,127.5,2,2,2,有,有,12000000,94118,坡道平面,29.8,0,RPUNMLTJNHKGFBB48DA,59.7,1.97,4.37,有
南屯區,建物,臺中市南屯區保安三街５號,0,1140501,土地0建物1車位0,全,三層,透天厝,其他,鋼筋混凝土造,950704,52.91,4,2,3,有,無,2600000,49140,,0,0,RPRPMLPJNHKGFCB08DA,49.6,0,3.31,無
梧棲區,房地(土地+建物)+車位,臺中市梧棲區四維路７１巷２號三樓之３,8.65,1140502,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820627,73.77,2,2,1,有,有,3200000,43378,升降機械,0,0,RPQNMLQKNHKGFFB28DA,55.73,0,3.19,有
北區,房地(土地+建物)+車位,臺中市北區進化路５１３號六樓之１,10.5,1140502,土地1建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140116,124.87,2,2,1,有,有,13800000,110515,坡道平面,28.74,0,RPOOMLOKNHKGFBB57DA,58.39,0,6.6,有
西屯區,房地(土地+建物),臺中市西屯區福上巷龍欣一弄１號四樓之２,3.77,1140501,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,781028,21.3,1,1,1,有,無,1640000,76995,,0,0,RPPNMLMKNHKGFCB47DA,14.62,0.46,0.8,無
太平區,房地(土地+建物),臺中市太平區大興十一街１１巷２號二樓之１,15.69,1140507,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740111,42.18,2,1,1,有,無,3850000,91275,,0,0,RPVNMLNKNHKGFJB88DA,35.21,0,0,無
西區,房地(土地+建物),臺中市西區三民路一段５８－３號七樓之４,2.41,1140502,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790625,24.15,1,1,1,有,有,1550000,64182,,0,0,RPVOMLQJNHKGFAB28DA,16.11,0.85,0,有
中區,房地(土地+建物)+車位,臺中市中區自由路二段８７號七樓之３,12.65,1140503,土地3建物1車位1,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140121,161.9,3,2,2,有,有,17500000,124224,坡道平面,34.71,1700000,RPRPMLNKNHKGFAB77DA,74.14,0,10.89,有
西區,房地(土地+建物),臺中市西區臺灣大道二段１８１號六樓之６,4.15,1140505,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,840628,50.87,0,0,0,無,有,3600000,70769,,0,0,RPPNMLQKNHKGFAB67DA,23,0.76,0,有
西區,房地(土地+建物),臺中市西區日進街１１０號四樓之３,4.31,1140507,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830208,34.41,1,0,1,有,有,2000000,58123,,0,0,RPWNMLQKNHKGFAB38DA,24.68,0,0,有
北屯區,房地(土地+建物),臺中市北屯區大鵬路８號,74,1140502,土地1建物1車位0,全,三層,透天厝,商業用,鋼筋混凝土加強磚造,611001,168.6,4,1,3,有,無,26500000,157177,,0,0,RPOPMLPJNHKGFBB67DA,168.6,0,0,無
