鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
大同區,房地(土地+建物),臺北市大同區民權西路２９２巷２２號,8.67,1140502,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),其他,鋼筋混凝土造,691211,38.33,1,1,1,有,無,8230000,214714,,0,0,RPSNMLMJNHKGFBA47DA,33.25,5.08,0,無
松山區,房地(土地+建物),臺北市松山區撫遠街４００巷１６號二樓,18.04,1140505,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,600111,40.3,2,1,1,有,無,6750000,167494,,0,0,RPRNMLPJNHKGFDA87DA,37.9,2.4,0,無
文山區,房地(土地+建物),臺北市文山區興隆路一段１０１號六樓,10.81,1140507,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,990729,56.55,1,2,1,有,有,13800000,244032,,0,0,RPQNMLPKNHKGFAA57DA,28.55,5.61,3.69,有
信義區,房地(土地+建物),臺北市信義區林口街８０巷３２號,13.26,1140507,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,621011,31.32,2,1,2,有,無,3230000,103129,,0,0,RPRNMLOKNHKGFDA97EA,31.32,0,0,無
文山區,房地(土地+建物),臺北市文山區保儀路１６５號二樓,29.31,1140502,土地5建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670420,115.28,3,2,2,有,無,12500000,108432,,0,0,RPWNMLPJNHKGFAA08DA,111.68,0,3.6,無
萬華區,房地(土地+建物),臺北市萬華區漢中街１４７巷５號三樓之２,2.56,1140502,土地5建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,710324,22.08,0,0,0,無,有,2971756,134590,,0,0,RPPOMLOKNHKGFBA57DA,17.2,0,0,有
士林區,房地(土地+建物),臺北市士林區德行東路１０４巷９弄８號三樓,20.27,1140505,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710428,51.27,3,2,2,有,無,7950000,155061,,0,0,RPQOMLOKNHKGFEA97DA,46.4,0,4.88,無
中山區,房地(土地+建物)+車位,臺北市中山區建國北路一段１５號三樓,72.84,1140507,土地2建物1車位3,三層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,920421,624.2,0,0,0,無,有,114100000,223288,坡道平面,142.76,6600000,RPOOMLTLMHKGFCA08DA,282.11,0,21.23,有
內湖區,房地(土地+建物),臺北市內湖區成功路二段３１２巷３號三樓,4.2,1140502,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670113,12.68,3,1,2,有,無,2500000,197161,,0,0,RPOOMLPKNHKGFCA67DA,11.02,0,1.66,無
內湖區,房地(土地+建物),臺北市內湖區成功路四段１８８號十四樓之１２,13.96,1140506,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1050616,75.52,1,1,1,有,有,21830000,289063,,0,0,RPQNMLTKNHKGFCA28EA,43.59,0,7.59,有
文山區,房地(土地+建物),臺北市文山區興隆路三段２２１巷８弄８號五樓,51.38,1140503,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690910,87.32,3,2,1,有,有,10750000,123110,,0,0,RPQNMLKLNHKGFAA17DA,74.58,6.51,6.23,無
萬華區,房地(土地+建物),臺北市萬華區峨眉街１２５巷２０之１號四樓,25.8,1140501,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,631120,91.66,3,2,1,有,無,15600000,170194,,0,0,RPQNMLRJNHKGFBA77DA,86.46,0,5.2,無
內湖區,房地(土地+建物),臺北市內湖區內湖路一段９１巷１６０號三樓,10.87,1140502,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130801,40.22,1,1,1,有,有,11480000,285430,,0,0,RPSOMLPKNHKGFCA08DA,21.68,0,2.92,有
大安區,房地(土地+建物),臺北市大安區信義路四段９８號九樓,3.94,1140501,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,781012,57.97,1,1,1,有,有,20800000,358806,,0,0,RPTNMLTJNHKGFFA68DA,40.2,1.08,5.04,有
大安區,房地(土地+建物),臺北市大安區永康街１７巷２８號三樓之１,26.71,1140502,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720209,83.91,3,1,2,有,無,25000000,297938,,0,0,RPVNMLOKNHKGFFA48DA,71.4,0,3.17,無
士林區,房地(土地+建物),臺北市士林區福國路９５號五樓之１７,3.89,1140507,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660811,23.88,1,1,1,有,有,2450000,102596,,0,0,RPQNMLKLNHKGFEA67EA,23.88,0,0,有
