鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
新營區,房地(土地+建物),臺南市新營區新進路３１８巷１號,91.99,商,,,1140501,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130829,223.39,5,1,5,有,無,18200000,81472,,0,0,,RPQNMLLJNHKGFDD77EA,211.12,0,12.27,無,
北區,房地(土地+建物),臺南市北區公園路１０９２巷２７弄３４號,3.94,住,,,1140501,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,650203,6.79,4,2,2,有,無,300000,44183,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLKMMHKGFAD08DA,6.79,0,0,無,2
新營區,房地(土地+建物),臺南市新營區富強街５７之１號七樓,34.55,住,,,1140505,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,880513,185.87,3,2,3,有,有,3000000,16140,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLSJNHKGFDD48DA,128.87,0,7.22,有,
中西區,房地(土地+建物),臺南市中西區正興街１６１號五樓之１５,3.25,商,,,1140501,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830528,31.21,1,0,1,有,有,1000000,32041,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJNHKGFAD08EA,21.62,0,1.78,有,4
歸仁區,房地(土地+建物),臺南市歸仁區沙崙二街１２號,89,,一般農業區,甲種建築用地,1140504,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,830929,141.73,3,2,3,有,無,4900000,34573,,0,0,,RPROMLNJKHKGFID38EA,133.89,0,7.84,無,
新營區,房地(土地+建物),臺南市新營區民榮里裕民路１６巷９號,77.55,住,,,1140506,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,681124,146.25,4,2,2,有,無,2440000,16684,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTJNHKGFDD48DA,146.25,0,0,無,
永康區,房地(土地+建物),臺南市永康區正南五街２８９巷１１２號四樓,4.68,住,,,1140501,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830413,23.25,1,0,1,有,有,1080000,46452,,0,0,,RPSNMLMJNHKGFKD68DA,14.31,0,2.82,有,5
善化區,房地(土地+建物),臺南市善化區茄拔１７４號之９,116,,鄉村區,乙種建築用地,1140507,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,810622,269.84,5,2,3,有,無,9500000,35206,,0,0,,RPQNMLMKNHKGFHD38EA,245.33,0,24.51,無,
中西區,房地(土地+建物),臺南市中西區南寧街８３巷１６號五樓之２,5.56,住,,,1140503,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,790410,24.84,1,1,1,有,有,1700000,68438,,0,0,頂樓加蓋；,RPUNMLTJNHKGFAD58DA,14.57,0,1.57,有,6
北區,建物,臺南市北區公園路９１８巷２８號五樓之４,0,,,,1140508,土地0建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,791126,32.65,1,1,1,有,無,1100000,33691,,0,0,土地為向仁愛之家租賃使用。；建物坐落地號：實踐段932地號；,RPTNMLMKNHKGFAD87DA,20.35,0.72,2.01,有,7
