鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
中和區,房地(土地+建物),新北市中和區大勇街４３巷２號三樓,32.96,1140502,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,761212,102.31,3,1,2,有,無,6100000,59623,,0,0,RPSOMLRJNHKGFHF56DA,92.27,0,10.04,無
新莊區,房地(土地+建物),新北市新莊區福壽街８４巷４號四樓,20.45,1140501,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,651220,67.28,4,1,1,有,無,9800000,145660,,0,0,RPSRMLMKNHKGFBF48DA,67.28,0,0,無
板橋區,房地(土地+建物),新北市板橋區大智街７１巷８弄３號,36.75,1140507,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,640412,81.28,3,1,1,有,無,9000000,110728,,0,0,RPUPMLRKMHKGFAF88EA,81.28,0,0,無
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段５５５巷１１號八樓,16.01,1140507,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961227,125.71,2,1,1,有,有,11800000,93867,坡道平面,40.64,0,RPTNMLMKNHKGFBF28EA,56.39,0,2.96,有
林口區,房地(土地+建物)+車位,新北市林口區竹林路６０６巷１６號三樓之２,24.03,1140501,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130626,122.63,2,1,1,有,有,11200000,118052,升降平面,41.31,1600000,RPPNMLNKNHKGFBF97EA,49.04,0,4.02,有
新莊區,房地(土地+建物),新北市新莊區中平路８２巷１２號三樓,12.58,1140503,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,771117,54.57,3,2,2,有,無,6000000,109951,,0,0,RPROMLPJNHKGFBF28DA,49.15,0,4.34,無
新店區,房地(土地+建物)+車位,新北市新店區安成街２巷７號,14.77,1140501,土地1建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030708,135.7,1,1,1,有,有,16180000,119234,坡道平面,18.5,0,RPRNMLMJNHKGFCF97DA,64.75,0,15.54,有
新店區,房地(土地+建物)+車位,新北市新店區安成街２巷７之１號,14.26,1140501,土地1建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030708,125.18,1,1,1,有,有,15610000,124700,坡道平面,16.89,0,RPSNMLMJNHKGFCF08DA,61.1,0,13.01,有
萬里區,房地(土地+建物),新北市萬里區新墾丁路２８號３樓之３,22.91,1140504,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,890504,57.63,1,1,1,有,有,2300000,39910,,0,0,RPSNMLMKNHKGFDF28DA,34.92,0,4.52,有
汐止區,房地(土地+建物),新北市汐止區康寧街７５１巷１３號１２樓,15.66,1140503,土地2建物1車位0,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850718,106.56,2,2,2,有,有,12300000,115428,,0,0,RPOOMLMKNHKGFDF97DA,88.93,0,10.12,有
汐止區,房地(土地+建物),新北市汐止區中興路１１０巷８弄８號,18.89,1140501,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,850625,93.15,3,2,2,有,有,13000000,139560,,0,0,RPQNMLNKNHKGFDF18DA,78,0,7.16,有
汐止區,房地(土地+建物),新北市汐止區大同路二段１８７巷４弄１３號,12.8,1140501,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,680324,20.81,2,2,2,有,無,3600000,172994,,0,0,RPRNMLMKNHKGFDF18DA,16.5,2.08,2.23,無
中和區,房地(土地+建物),新北市中和區中正路２７７之３號二十六樓,2.62,1140503,土地2建物1車位0,二十六層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831115,43.78,1,1,1,有,有,5760000,131567,,0,0,RPQOMLMKNHKGFHF58DA,35.18,0,5.68,有
中和區,房地(土地+建物),新北市中和區景平路２６８號十七樓之十六,3.71,1140504,土地1建物1車位0,十七層,三十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,890529,49.98,1,1,1,有,有,9480000,189676,,0,0,RPPNMLOKNHKGFHF58DA,37.7,0,0,有
淡水區,房地(土地+建物),新北市淡水區英專路１３０之２號六樓,21.72,1140506,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,910416,124.33,3,1,2,有,有,12000000,96517,,0,0,RPWNMLNKNHKGFEF98EA,79.7,0,11.2,有
土城區,房地(土地+建物),新北市土城區學士路２３號十五樓,16.77,1140502,土地1建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841223,92.91,2,2,1,有,有,15500000,166828,,0,0,RPWOMLOKNHKGFAF68DA,70.18,0,10.83,有
五股區,房地(土地+建物)+車位,新北市五股區新五路二段５３０號十五樓,10.94,1140508,土地1建物1車位1,十五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120923,83.44,2,1,1,有,有,12350000,148011,坡道平面,23.61,0,RPSNMLQKNHKGFBF48DA,31.59,2.68,4.92,有
淡水區,房地(土地+建物),新北市淡水區大忠街１１７號十一樓之１９,4.86,1140503,土地1建物1車位0,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830629,36.41,1,0,1,有,有,3290000,90360,,0,0,RPSNMLOKNHKGFEF58DA,19.72,3.55,3.72,有
三芝區,房地(土地+建物)+車位,新北市三芝區三民街３３號四樓,18.11,1140511,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850105,138.95,3,2,2,有,有,3100000,22310,坡道平面,46.67,0,RPSSMLPKNHKGFEF56DA,66.29,0.79,9.62,有
中和區,房地(土地+建物)+車位,新北市中和區立德街１２０號四樓,49.92,1140505,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,860913,306.1,0,0,0,無,有,31000000,106494,坡道平面,29.09,1500000,RPPSMLQJNHKGFHF56DA,202.54,0,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區北新路１６９巷３２號十九樓,10.88,1140507,土地2建物1車位1,十九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851228,73.52,1,2,1,有,有,6500000,88411,坡道機械,6.97,0,RPXNMLNKNHKGFEF09EA,43.87,0,7.35,有
永和區,房地(土地+建物),新北市永和區光復街１６巷３３號,74,1140506,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,76,3,2,2,有,無,36640674,482114,,0,0,RPVNMLOKNHKGFHF66EA,76,0,0,無
林口區,房地(土地+建物),新北市林口區中正路６號二樓,9.23,1140509,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,721116,29.33,5,2,3,有,無,600000,20457,,0,0,RPQNMLPKNHKGFBF18DA,27.1,0,2.22,無
萬里區,房地(土地+建物),新北市萬里區孝二街１９號３樓,22.06,1140501,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671221,76,3,1,1,有,無,1800000,23684,,0,0,RPPNMLPKNHKGFDF28DA,62.22,0,13.78,無
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區尖山路２６２之２號十五樓,29.43,1140503,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1111018,157.35,3,2,2,有,有,17450000,123126,坡道平面,28.62,1600000,RPVNMLNKNHKGFIF56DA,75.12,1.91,9.13,有
