鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
觀音區,房地(土地+建物)+車位,桃園市觀音區草新一路３６８號九樓,15.27,1140525,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131213,95.57,1,1,1,有,有,6730000,75346,坡道平面,21.91,1180000,RPSNMLPLMHKGFBH58DA,45.51,0,3.43,有
桃園區,房地(土地+建物)+車位,桃園市桃園區青溪一路１１６號九樓,25.14,1140506,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130806,186.31,3,2,2,有,有,14200000,80026,坡道平面,31.36,1800000,RPUNMLQJNHKGFAH78EA,92.33,0,10.83,有
龍潭區,房地(土地+建物),桃園市龍潭區民強街３５號十一樓之十三,12.47,1140506,土地2建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870407,46.45,1,1,1,有,有,2880000,62002,,0,0,RPTNMLQJNHKGFCH78DA,28.53,0,3.11,有
中壢區,房地(土地+建物),桃園市中壢區興仁路二段９９號五樓之７６,7.04,1140502,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,950520,31.66,0,0,0,無,有,3000000,94757,,0,0,RPRQMLPJNHKGFBH68DA,16.97,0.88,2.2,有
中壢區,房地(土地+建物)+車位,桃園市中壢區榮安十五街７７之１號五樓,23.76,1140502,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830304,150.47,3,2,2,有,有,7500000,49844,坡道平面,33.38,0,RPQNMLRJNHKGFBH48DA,88.53,1.6,12.13,有
觀音區,房地(土地+建物),桃園市觀音區安和街２１６號,124.5,1140506,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1140401,473.51,18,18,18,有,無,30450000,64307,,0,0,RPXRMLSJNHKGFBH07DA,441.02,0,32.49,無
桃園區,房地(土地+建物),桃園市桃園區和興街２５號六樓之１０,4.61,1140502,土地2建物1車位0,六層，陽台,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,690820,27.68,1,0,1,有,有,2150000,77673,,0,0,RPSOMLTJNHKGFAH88DA,26.08,0,0,有
大溪區,房地(土地+建物),桃園市大溪區仁和路二段１５９巷８２弄２０號,52.93,1140501,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,691224,72.9,5,5,4,有,無,3995000,54801,,0,0,RPPNMLKKNHKGFCH87DA,58.9,7,7,無
龍潭區,房地(土地+建物),桃園市龍潭區中興路６３巷１４弄１２衖１７號,58.29,1140501,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,660920,84.16,3,1,2,有,無,1700000,20200,,0,0,RPQNMLOKNHKGFCH48EA,84.16,0,0,無
平鎮區,房地(土地+建物),桃園市平鎮區延平路三段６之１９號六樓,15.73,1140507,土地2建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950716,120.86,3,2,2,有,有,10000000,82740,,0,0,RPTNMLMKNHKGFGH88DA,79.55,0.43,8.69,有
大溪區,房地(土地+建物)+車位,桃園市大溪區僑愛一街４６巷９號,27.42,1140501,土地1建物1車位1,一層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,910320,123.5,0,0,0,無,有,9700000,78543,坡道平面,0,0,RPSNMLOKNHKGFCH68EA,78.73,0,0,有
蘆竹區,房地(土地+建物),桃園市蘆竹區中油街３４５巷５號,101,1140502,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,701231,107.22,4,2,2,有,無,2548000,23764,,0,0,RPRNMLPKNHKGFEH78DA,107.22,0,0,無
中壢區,房地(土地+建物),桃園市中壢區大同路３０號,173,1140509,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,821218,598.73,9,2,10,有,無,28000000,46766,,0,0,RPPNMLQKNHKGFBH48EA,598.73,0,0,無
龍潭區,房地(土地+建物),桃園市龍潭區干城路１１巷１６號,71.19,1140511,土地1建物1車位0,全,一層,透天厝,住家用,磚造,610501,46.2,3,2,1,有,無,5000000,108225,,0,0,RPSNMLOKNHKGFCH58DA,46.2,0,0,無
八德區,房地(土地+建物),桃園市八德區永福西街１７之１號,33.1,1140509,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670617,81.46,0,0,0,無,無,5250000,64449,,0,0,RPSNMLNKNHKGFFH78DA,81.46,0,0,無
平鎮區,房地(土地+建物),桃園市平鎮區中山路１４８號,49.8,1140503,土地2建物1車位0,全,二層,透天厝,商業用,加強磚造,590510,66.8,4,2,2,有,無,3000000,44910,,0,0,RPUNMLPKNHKGFGH66DA,66.8,0,0,無
中壢區,房地(土地+建物),桃園市中壢區龍岡路三段１５４巷７４號,25.17,1140507,土地3建物1車位0,一層,六層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,800814,120.64,3,2,2,有,有,7500000,62168,,0,0,RPRNMLPKNHKGFBH58EA,88.26,10.47,0,有
平鎮區,房地(土地+建物),桃園市平鎮區金陵路三段７２巷６弄２號,131.77,1140507,土地3建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,901108,343.13,4,4,3,有,有,17000000,49544,,0,0,RPQNMLOKNHKGFGH88EA,319.95,0,16.28,無
八德區,房地(土地+建物),桃園市八德區桃鶯路１１巷１４弄２之１號,30.35,1140501,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690130,76.94,3,2,2,有,無,6700000,87081,,0,0,RPSNMLMJNHKGFFH58DA,76.94,0,0,無
龜山區,房地(土地+建物)+車位,桃園市龜山區文化一路３２０號二十四樓,9.5,1140507,土地1建物1車位1,二十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101119,118.11,2,2,1,有,有,14700000,124460,坡道平面,0,0,RPROMLOKNHKGFHH09DA,58.45,1.3,3.71,有
蘆竹區,房地(土地+建物),桃園市蘆竹區奉化路１０４巷４７號六樓,17.89,1140513,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,841207,115.44,3,2,2,有,有,4050000,35083,,0,0,RPPNMLKLNHKGFEH28EA,71.42,0,7.81,有
中壢區,房地(土地+建物),桃園市中壢區大仁二街１５號五樓之２３,5.36,1140503,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,910722,27.54,0,0,0,無,有,2750000,99855,,0,0,RPXSMLMJNHKGFBH56DA,14.88,0,4.01,有
