鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
楠梓區,房地(土地+建物),高雄市楠梓區大學十七街３７６號三樓,7.71,1140602,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1050325,68.64,2,1,1,有,有,6800000,99068,,0,0
旗山區,房地(土地+建物),高雄市旗山區延平一路１３之１６號,71.22,1140505,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,670830,103.04,3,2,2,有,無,3000000,29115,,0,0
大寮區,房地(土地+建物),高雄市大寮區仁德路１０之１號十三樓之４,10.98,1140502,土地1建物1車位0,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840217,109.66,3,2,2,有,有,3000000,27357,,0,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區南福街１８號七樓,30.69,1140502,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131017,158.61,3,2,2,有,有,16050000,111129,坡道平面,35.78,2400000
新興區,房地(土地+建物),高雄市新興區復興二路１５７號１０樓之４,3.1,1140503,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790522,33.75,1,1,1,有,有,1750000,51852,,0,0
新興區,房地(土地+建物),高雄市新興區五福二路１４６號３樓之６,2.7,1140501,土地2建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,680915,17.06,1,1,1,有,有,1470000,86166,,0,0
左營區,房地(土地+建物)+車位,高雄市左營區文川路４１７號九樓,7.9,1140505,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120208,98.22,2,2,2,有,有,13600000,138465,升降機械,11.27,0
梓官區,房地(土地+建物),高雄市梓官區大宅街５８號,25.15,1140507,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,711101,46.93,4,2,3,有,無,2334000,49734,,0,0
大寮區,房地(土地+建物)+車位,高雄市大寮區林厝路１１號五樓之５,56.12,1140503,土地1建物1車位1,五層，見其他登記事項,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140305,180.52,3,2,3,有,有,16880000,96040,一樓平面,21.94,1650000
小港區,房地(土地+建物),高雄市小港區平和十路８１號,28.96,1140507,土地3建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,711228,165.04,4,2,2,有,有,9360000,56714,,0,0
楠梓區,房地(土地+建物),高雄市楠梓區軍校路８７６巷２３號,17.25,1140509,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,710109,35.4,3,1,3,有,無,2500000,70621,,0,0
燕巢區,房地(土地+建物),高雄市燕巢區鳳雄村鳳西巷３３號,37.28,1140502,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,621200,57.49,3,2,2,有,無,1200000,20873,,0,0
鳳山區,房地(土地+建物),高雄市鳳山區南京路３８５巷１之３號,19.03,1140505,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710628,49.42,2,1,1,有,無,2500000,50587,,0,0
前鎮區,房地(土地+建物),高雄市前鎮區明道六街１９號,72.21,1140502,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,640520,129.98,4,2,3,有,無,8400000,64625,,0,0
苓雅區,房地(土地+建物),高雄市苓雅區自強三路５號三十二樓之４７,1.94,1140512,土地2建物1車位0,三十二層,八十五層,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,880401,50.33,1,1,1,有,有,5650000,112259,,0,0
苓雅區,房地(土地+建物),高雄市苓雅區金門街５６之４號,30.67,1140507,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土結構造,690317,113.8,3,2,2,有,無,6100000,53603,,0,0
