鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
南區,房地(土地+建物),臺中市南區復興北路１６８號三樓之一,24.29,1140201,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830620,126.78,2,2,2,有,無,6180000,48746,,0,0,RPPNMLLJKHKGFAB76DA,104.15,3.66,3.08,有
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段７８９號十六樓之２,16.87,1140204,土地1建物1車位2,十六層,二十九層,住宅大樓(11層含以上有電梯),辦公用,鋼骨鋼筋混凝土造、鋼筋混凝土造,1120327,306.16,0,0,0,無,有,32000000,104521,坡道平面,48.06,0,RPTNMLPJKHKGFCB77DA,149.83,7.61,0,有
西屯區,房地(土地+建物),臺中市西屯區福上巷２４３號四樓之１３,3.54,1140205,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780524,20.26,1,0,1,有,有,800000,39487,,0,0,RPQOMLQJKHKGFCB67DA,12.96,0,2.98,無
西區,房地(土地+建物),臺中市西區五權三街４０６巷１１號,79,1140204,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0750626,125.89,4,2,3,有,無,13500000,107236,,0,0,RPUNMLNKKHKGFAB57DA,106.96,12.9,6.03,無
大里區,房地(土地+建物),臺中市大里區青松街１１２巷３之２號,17.06,1140208,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791102,100.23,3,2,2,有,有,7100000,70837,,0,0,RPWNMLLKKHKGFIB38DA,72.28,0,9.07,有
南區,房地(土地+建物)+車位,臺中市南區大慶街一段２３５號五樓之５,23.13,1140207,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1111024,149.6,3,2,2,有,有,12080000,80749,坡道平面,24.85,0,RPWNMLRJKHKGFAB08DA,77.18,0,5.87,有
南區,房地(土地+建物)+車位,臺中市南區忠明南路８１９號２樓之１,9.99,1140210,土地2建物1車位1,二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931224,145.41,3,2,2,有,有,11700000,80462,坡道機械,13.29,0,RPWOMLMKKHKGFAB77DA,84.15,4.07,9.68,有
東區,房地(土地+建物),臺中市東區復興路四段２２０巷５弄７號四樓之１６,11.25,1140207,土地7建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690422,40.12,2,1,1,有,無,2550000,63559,,0,0,RPTOMLNKKHKGFAB57DA,40.12,0,0,無
北區,房地(土地+建物),臺中市北區華富街７５號５樓之５,8.98,1140206,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831020,49.93,3,2,2,有,有,2500000,50070,,0,0,RPTOMLSJKHKGFBB08DA,40.15,0,4,有
南屯區,房地(土地+建物)+車位,臺中市南屯區向上路五段２２號,10.36,1140202,土地1建物1車位1,一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861128,120.82,3,1,2,有,有,10000000,82768,坡道平面,16.35,0,RPUNMLMKKHKGFCB67DA,68.59,0.79,5.8,有
