編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLKKKHKGFDF67DA,升降平面,1500000,48.61,地下三樓
RPQPMLQJKHKGFEF38DA,坡道平面,650000,27.66,地下二樓
RPWNMLKKKHKGFEF28DA,坡道平面,1750000,20.21,地下二樓
RPPNMLPKKHKGFHF38DA,其他,1800000,11.20,地下二樓
RPXNMLSKKHKGFGF86EA,坡道平面,1200000,31.06,地下三樓
RPXNMLSKKHKGFGF86EA,坡道平面,1600000,31.06,地下三樓
RPXNMLSKKHKGFGF86EA,坡道平面,1600000,31.06,地下三樓
RPXNMLSKKHKGFGF86EA,坡道平面,1600000,31.06,地下三樓
RPSNMLSKKHKGFEF68DA,坡道平面,1400000,30.84,地下三樓
RPSNMLKLKHKGFBF67DA,坡道平面,1700000,32.37,地下一樓
RPPNMLKLKHKGFCF57EA,坡道平面,2700000,35.49,地下三樓
RPPNMLTKKHKGFCF38EA,坡道平面,2000000,36.07,地下二樓
RPWNMLKLKHKGFEF48EA,坡道平面,0,49.13,地下一樓
RPUOMLTKKHKGFEF09DA,坡道平面,1300000,33.14,地下二樓
RPRNMLKLKHKGFBF67EA,坡道平面,1600000,33.78,地下三樓
RPRNMLKLKHKGFBF67EA,坡道平面,1600000,33.78,地下三樓
RPQNMLLLKHKGFBF67EA,坡道平面,0,,地下一樓
RPPOMLOJKHKGFEF97DA,坡道平面,0,38.02,地下三樓
RPQNMLLLKHKGFAF57EA,坡道平面,1700000,39.17,地下二樓
RPPOMLSKKHKGFEF48DA,坡道平面,1400000,25.02,地下二樓
RPQNMLOLKHKGFHF58EA,坡道機械,1750000,26.64,地下一樓
RPXNMLLLKHKGFAF18DA,坡道平面,2500000,37.67,地下三樓
RPUNMLPLKHKGFHF98DA,坡道平面,0,,地下一樓
RPQNMLOLKHKGFHF48DA,坡道機械,2200000,21.74,地下四樓
RPSNMLOLKHKGFEF48EA,坡道平面,0,34.90,地下三樓
