鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
八德區,房地(土地+建物),桃園市八德區建國路６３１巷８號,33.4,1140301,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0890919,78.05,4,3,2,有,無,4000000,51249,,0,0,RPSNMLPJLHKGFFH68DA,71.57,0,6.48,無
八德區,房地(土地+建物),桃園市八德區和平路６２１巷２４弄３號,24.49,1140202,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0801128,45.42,4,2,4,有,無,2500000,55042,,0,0,RPPOMLRJKHKGFFH58DA,45.42,0,0,無
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路７４１之９號十二樓,19.65,1140201,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030121,132.93,2,2,1,有,有,15400000,115850,坡道平面,33.84,0,RPSQMLLKKHKGFAH08DA,57.27,1.58,7.29,有
龍潭區,房地(土地+建物)+車位,桃園市龍潭區民有一街１７７號十二樓,10.51,1140208,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1091104,78.47,1,1,1,有,有,3880000,49446,坡道平面,29.06,0,RPSNMLSJKHKGFCH58DA,27.7,0,2.95,有
龍潭區,房地(土地+建物)+車位,桃園市龍潭區公園路６６之５號十樓,24.31,1140206,土地1建物1車位2,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030324,196.91,2,2,2,有,有,17500000,88873,坡道平面,56.52,0,RPSNMLOKKHKGFCH28DA,77.6,5.09,12.58,有
龜山區,房地(土地+建物),桃園市龜山區萬壽路三段９９巷２０弄１６號五樓,1.2,1140204,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720729,79.49,4,1,1,有,無,2000000,25160,,0,0,RPQNMLLKKHKGFHH28DA,79.49,0,0,無
桃園區,房地(土地+建物),桃園市桃園區中埔六街１９０巷２號二樓　,19.59,1140206,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830616,110.03,3,2,2,有,有,9400000,85431,,0,0,RPVVMLPJKHKGFAH56DA,74.41,1.24,5.53,有
桃園區,房地(土地+建物)+車位,桃園市桃園區民有三街４７９號四樓,11.92,1140210,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000506,129.53,3,2,2,有,有,14300000,112855,坡道平面,16.11,1500000,RPRNMLNKKHKGFAH87DA,67.88,0,10.7,有
楊梅區,房地(土地+建物),桃園市楊梅區三民北路１６３巷１６號三樓,40.61,1140206,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030226,121.61,2,1,2,有,有,6800000,55916,,0,0,RPVNMLOKKHKGFDH68DA,80.25,0,4.97,有
平鎮區,房地(土地+建物),桃園市平鎮區廣平街１５６巷５號,65,1140203,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0620720,109.38,4,2,4,有,無,17300000,158164,,0,0,RPRNMLMKKHKGFGH38DA,109.38,0,0,無
蘆竹區,房地(土地+建物),桃園市蘆竹區大華街７３巷２號,62.71,1140206,土地2建物2車位0,全,二層,透天厝,住家用,加強磚造,0631102,114.12,0,0,0,無,無,6100000,53453,,0,0,RPXOMLMKKHKGFEH88DA,114.12,0,0,無
中壢區,房地(土地+建物),桃園市中壢區榮民路５６巷２６之１號,30.75,1140206,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0670106,79.73,3,2,1,有,無,2000000,25085,,0,0,RPUNMLRKKHKGFBH68DA,79.73,0,0,無
大溪區,房地(土地+建物),桃園市大溪區文化路５９巷８弄１號三樓,18.61,1140203,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830709,87.22,3,1,1,有,有,3500000,40128,,0,0,RPWNMLOJKHKGFCH58DA,63.76,0,6.5,有
中壢區,房地(土地+建物),桃園市中壢區富村街５１巷１３號,2.55,1140211,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870701,13.76,3,1,2,有,有,1200000,87273,,0,0,RPUNMLPJKHKGFBH48EA,9.12,0,1.04,有
中壢區,房地(土地+建物),桃園市中壢區東興街３３號,30.25,1140203,土地2建物1車位0,一層，騎樓，地下層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690602,100.27,2,1,1,有,無,2590000,25830,,0,0,RPPRMLOJKHKGFBH18DA,100.27,0,0,無
中壢區,房地(土地+建物),桃園市中壢區大仁街２５號五樓之５,5.71,1140209,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831110,24.44,1,0,1,有,有,2300000,94108,,0,0,RPTOMLLKKHKGFBH08DA,16,0,2.45,有
中壢區,房地(土地+建物)+車位,桃園市中壢區自立五街９號十三樓,31.14,1140211,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920311,179.93,2,2,2,有,有,10500000,58356,坡道平面,0,0,RPWQMLRKKHKGFBH56DA,100.65,0,13.05,有
觀音區,房地(土地+建物)+車位,桃園市觀音區學文一街４６號五樓,24.31,1140206,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130821,77.33,2,2,1,有,有,6450000,83409,一樓平面,0,1450000,RPTSMLSKKHKGFBH56DA,41.59,0,4.88,有
桃園區,房地(土地+建物)+車位,桃園市桃園區中華路６８之２號五樓,11.96,1140214,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070910,125.97,2,1,1,有,有,17680000,140351,坡道平面,33.51,0,RPSNMLTKKHKGFAH68EA,59.53,1.47,3.27,有
中壢區,房地(土地+建物),桃園市中壢區民族路五段４７３號,28.8,1140204,土地4建物1車位0,一層，二層，騎樓,五層,公寓(5樓含以下無電梯),其他,鋼筋混凝土造,0911024,6,10,2,9,有,無,4800000,800000,,0,0,RPQNMLSKKHKGFBH48EA,4.22,0,0.32,無
龍潭區,房地(土地+建物)+車位,桃園市龍潭區民治二十街９７巷１號,402,1140207,土地1建物1車位2,全,三層,透天厝,住家用,鋼筋混凝土造,1111221,487.03,5,2,5,有,無,39880000,81884,一樓平面,0,0,RPQNMLSKKHKGFCH58EA,445.05,0,26.67,有
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路６０號十五樓,19.11,1140210,土地1建物1車位1,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930323,220.45,4,2,2,有,有,20500000,92992,坡道平面,0,0,RPUOMLTKKHKGFAH88DA,120.47,0,18.76,有
中壢區,房地(土地+建物)+車位,桃園市中壢區崇德二路１７０巷３３號四樓,22.52,1140207,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131220,119.88,2,2,2,有,有,10530000,103938,坡道平面,32.52,1450000,RPPNMLLKKHKGFBH57DA,51.91,0,5.54,有
中壢區,房地(土地+建物)+車位,桃園市中壢區崇德二路１７０巷３９號九樓,22.62,1140207,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131220,120.33,2,2,2,有,有,11240000,109213,坡道平面,32.52,1650000,RPQNMLLKKHKGFBH67DA,52.6,0,5.13,有
平鎮區,房地(土地+建物),桃園市平鎮區南京路１２巷６６號,24.46,1140206,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0830415,54.31,4,2,3,有,無,3330000,61315,,0,0,RPTNMLKKKHKGFGH38DA,43.79,3.1,1.6,無
龜山區,房地(土地+建物)+車位,桃園市龜山區同心二路１７號四樓,9.44,1140208,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0940205,46.83,3,2,2,有,有,2540000,54239,坡道平面,0,0,RPTNMLOKKHKGFHH88DA,24.95,0,2.84,有
中壢區,房地(土地+建物)+車位,桃園市中壢區惠州街７６號三樓,29.18,1140210,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810801,141.01,3,1,2,有,有,7700000,54606,坡道平面,0,0,RPPNMLLLKHKGFBH77EA,89.5,0,8.51,有
中壢區,房地(土地+建物),桃園市中壢區大智街１０號四樓之１０,7.41,1140208,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780529,28.48,1,0,1,有,有,1000000,35112,,0,0,RPOOMLSJKHKGFBH18DA,18,0,4.5,無
龍潭區,房地(土地+建物),桃園市龍潭區中興路４９９巷５８號,57.81,1140212,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0680602,84.46,3,2,2,有,無,2000000,23680,,0,0,RPTNMLOLKHKGFCH48DA,84.46,0,0,無
蘆竹區,房地(土地+建物),桃園市蘆竹區南山北路一段１３３巷２２號三樓,34.86,1140213,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850319,121.9,3,1,2,有,無,2800000,22970,,0,0,RPPNMLKLKHKGFEH87DA,80.3,0,8.87,有
龜山區,房地(土地+建物)+車位,桃園市龜山區自強南路３２０號十樓,14.82,1140210,土地1建物1車位2,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950718,122.89,1,1,1,有,有,9354800,105919,坡道平面,55.34,2200000,RPTNMLTKKHKGFHH76DA,43.47,2,3.61,有
桃園區,房地(土地+建物),桃園市桃園區大原路１２號,72.91,1140206,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0590220,121.48,3,2,2,有,無,2000000,16464,,0,0,RPPNMLKLKHKGFAH57EA,121.48,0,0,無
平鎮區,房地(土地+建物),桃園市平鎮區民族路二段２２９號十一樓之２,5.69,1140205,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930205,54.15,1,1,1,有,有,4910000,90674,,0,0,RPPNMLLLKHKGFGH28EA,32.5,0.81,7.41,有
龍潭區,房地(土地+建物)+車位,桃園市龍潭區中原路二段３７８巷６號七樓,29.27,1140213,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831215,134.49,3,2,2,有,有,2640000,19630,坡道平面,0,0,RPQNMLKLKHKGFCH77DA,88.63,0.02,9.87,有
龜山區,房地(土地+建物),桃園市龜山區萬壽路一段５１６巷１７弄１之２號,21.73,1140209,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650802,52.54,3,2,1,有,無,5450000,103730,,0,0,RPXNMLMKKHKGFHH09DA,52.54,0,0,無
龜山區,房地(土地+建物)+車位,桃園市龜山區樂善二路４７７號五樓,15.9,1140210,土地1建物1車位1,五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110518,148.39,2,2,2,有,無,12000000,80868,坡道平面,0,0,RPSNMLLLKHKGFHH58DA,73.65,0,7.28,有
中壢區,房地(土地+建物)+車位,桃園市中壢區永福路１１０１號五樓,35.48,1140212,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920602,211.43,4,2,2,有,有,12600000,59594,坡道平面,0,0,RPWNMLPJKHKGFBH68EA,113.24,0,13.66,有
桃園區,房地(土地+建物),桃園市桃園區南興街２５號,112,1140214,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0620120,221,6,6,6,有,無,17800000,80543,,0,0,RPTNMLKLKHKGFAH87DA,221,0,0,無
中壢區,房地(土地+建物),桃園市中壢區新生路５９８巷２號四樓之１,33,1140204,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030520,95.67,2,2,2,有,有,8300000,86757,,0,0,RPVSMLTKKHKGFBH86DA,47.66,2.45,10.11,有
中壢區,房地(土地+建物),桃園市中壢區百韜二街５２巷１３號七樓,5.44,1140209,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860811,32.4,1,1,1,有,有,2100000,64815,,0,0,RPTPMLLLKHKGFBH28DA,23.27,0,0,有
